model	objective_value	load_time	simulate_time	repeat
ic_1306	1.0319222801447767	2.154458411	0.886910971	1
ic_1306	1.0319222801447767	0.850346278	0.872927298	2
ic_1306	1.0319222801447767	0.630002115	0.880301721	3
ic_1306	1.0319222801447767	0.506998509	0.874331775	4
ic_1306	1.0319222801447767	0.647187553	0.875442561	5
iSbBS512_1146	0.9828118163913904	0.477903666	0.698946785	1
iSbBS512_1146	0.9828118163913904	0.481277917	0.698181031	2
iSbBS512_1146	0.9828118163913904	0.472407454	0.702954964	3
iSbBS512_1146	0.9828118163913904	0.483790054	0.6993146	4
iSbBS512_1146	0.9828118163913904	0.475697936	0.706395477	5
iBWG_1329	0.982478438696395	0.498335136	0.887896365	1
iBWG_1329	0.982478438696395	0.499221232	0.887376377	2
iBWG_1329	0.982478438696395	0.499763099	0.88523121	3
iBWG_1329	0.982478438696395	0.511608618	0.8886377	4
iBWG_1329	0.982478438696395	0.518044857	0.881829207	5
iECSP_1301	0.9824784386965519	0.487646335	0.795743107	1
iECSP_1301	0.9824784386965519	0.495186124	0.79015966	2
iECSP_1301	0.9824784386965519	0.496381921	0.79735061	3
iECSP_1301	0.9824784386965519	0.483904329	0.779555978	4
iECSP_1301	0.9824784386965519	0.474990508	0.785869406	5
iUMNK88_1353	0.9824784386970891	0.492512451	0.792862659	1
iUMNK88_1353	0.9824784386970891	0.503941601	0.792427883	2
iUMNK88_1353	0.9824784386970891	0.49767463	0.794412449	3
iUMNK88_1353	0.9824784386970891	0.511105949	0.793472016	4
iUMNK88_1353	0.9824784386970891	0.5146709	0.790510732	5
iIS312_Trypomastigote	53.03632988598521	0.11052755	0.045109262	1
iIS312_Trypomastigote	53.03632988598521	0.112523064	0.042944016	2
iIS312_Trypomastigote	53.03632988598521	0.108191279	0.044801272	3
iIS312_Trypomastigote	53.03632988598521	0.113065442	0.045203828	4
iIS312_Trypomastigote	53.03632988598521	0.113873451	0.045146963	5
iS_1188	0.8570768327627752	0.466085318	0.772867029	1
iS_1188	0.8570768327627752	0.467108117	0.779962948	2
iS_1188	0.8570768327627752	0.469629506	0.77451035	3
iS_1188	0.8570768327627752	0.479743039	0.788136518	4
iS_1188	0.8570768327627752	0.47557853	0.776165427	5
iEK1008	0.058173872989264866	0.304061926	0.223617465	1
iEK1008	0.058173872989264866	0.303535584	0.224746442	2
iEK1008	0.058173872989264866	0.28027832	0.223038745	3
iEK1008	0.058173872989264866	0.275170375	0.226471435	4
iEK1008	0.058173872989264866	0.280737634	0.224691186	5
iHN637	0.22445454221240968	0.17764978	0.096204608	1
iHN637	0.22445454221240968	0.164434162	0.096104621	2
iHN637	0.22445454221240968	0.167172853	0.096126624	3
iHN637	0.22445454221240968	0.164617015	0.094290798	4
iHN637	0.22445454221240968	0.16357907	0.096198327	5
iYS854	1.3602249869871212	0.318939099	0.290962909	1
iYS854	1.3602249869871212	0.294957189	0.28880749	2
iYS854	1.3602249869871212	0.296528518	0.293598875	3
iYS854	1.3602249869871212	0.294684288	0.294816755	4
iYS854	1.3602249869871212	0.296870179	0.298587455	5
iECNA114_1301	0.9824784386971577	0.497345713	0.77970863	1
iECNA114_1301	0.9824784386971577	0.497495844	0.778037764	2
iECNA114_1301	0.9824784386971577	0.493401931	0.794322889	3
iECNA114_1301	0.9824784386971577	0.489852793	0.777896477	4
iECNA114_1301	0.9824784386971577	0.491814956	0.777526296	5
iAF1260b	0.736700938466933	0.447633791	0.72462882	1
