ACh	IntermediateACh	ActiveACh	BasalACh	DesensitisedACh	IntermediateACh2	Active	Intermediate	ActiveACh2	Desensitised	DesensitisedACh2	Basal	BasalACh2
9.999999999999999e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000000000002e-06	0.0
8.089339593963942e-06	5.739924878103808e-09	5.135703354505129e-10	1.0904603513765852e-08	2.619851603355162e-10	8.705819914282648e-07	1.803093402198247e-12	9.460919689056775e-12	3.5474054418630365e-08	4.318194209928122e-13	3.973664698228808e-08	3.594805920562574e-08	8.274682450229732e-10
8.08564164807246e-06	5.487025501783453e-09	4.904238872158903e-10	1.0412937570961299e-08	5.423124509875989e-10	8.318445964244306e-07	1.7225836589229748e-12	9.048199564801416e-12	3.386067671370781e-08	8.942803102122298e-13	8.221773133852109e-08	3.434280926721866e-08	7.898217816399049e-10
8.08218407099952e-06	5.2449691333271954e-09	4.6878858986009e-10	9.953543972686008e-09	8.100339232558572e-10	7.948083004344631e-07	1.647290701171022e-12	8.652744623905268e-12	3.235298953537431e-08	1.3363279703940092e-12	1.227533527381168e-07	3.284173132689698e-08	7.54653982724453e-10
8.078880000752276e-06	5.0138257589666595e-09	4.4812851394470436e-10	9.514859522809932e-09	1.0657074294659639e-09	7.594708401665457e-07	1.5753323020479138e-12	8.274805053462004e-12	3.091445166948355e-08	1.7588363431700314e-12	1.6143234804071288e-07	3.140713078984395e-08	7.210991345282828e-10
8.075722806507847e-06	4.793109855794707e-09	4.284002436197233e-10	9.095962102090196e-09	1.3098671329011116e-09	7.257540793997999e-07	1.5065651488322122e-12	7.913628784481062e-12	2.9541880299013584e-08	2.1626410496383645e-12	1.9833988438508957e-07	3.003615075173544e-08	6.890829949729191e-10
8.07270613513046e-06	4.582356951191226e-09	4.0956229256327994e-10	8.695970602742977e-09	1.5430241430446442e-09	6.935834941931948e-07	1.4408518667710905e-12	7.56849400835952e-12	2.8232242955105886e-08	2.5485442833666734e-12	2.3355720346152308e-07	2.872605268029964e-08	6.585348301761355e-10
8.069823892681016e-06	4.381122718468077e-09	3.9157497246446246e-10	8.31404211653614e-09	1.7656675510187352e-09	6.628879990673018e-07	1.3780606265774737e-12	7.238708065751105e-12	2.6982647028992407e-08	2.9173161187337887e-12	2.671618167154012e-07	2.7474208576452185e-08	6.293871685543158e-10
8.067070235998584e-06	4.188982200775712e-09	3.7440032383125596e-10	7.949370463068438e-09	1.978265263534735e-09	6.335997941385145e-07	1.3180649704016775e-12	6.9236065316928e-12	2.5790333556452102e-08	3.269695491456611e-12	2.9922766952433603e-07	2.6278097506692287e-08	6.015756558016175e-10
8.064439563612918e-06	4.005529023980582e-09	3.5800204201696065e-10	7.601184615536947e-09	2.1812648524319344e-09	6.056542091055975e-07	1.26074362364888e-12	6.622552300786758e-12	2.465267062995343e-08	3.6063911853083072e-12	3.2982530928988243e-07	2.513530185236425e-08	5.750389011264602e-10
