Values[V]	Values[m]	Values[h]	Values[n]	Values[V_neg]	Values[E]	Values[i_Na]	Values[i_K]	Values[i_L]	Values[V_Na]	Values[V_K]	Values[V_L]	Values[alpha_m]	Values[beta_m]	Values[auxiliary alpha_h]	Values[beta_h]	Values[alpha_n]	Values[beta_n]
0.0	0.052932	0.59612	0.31768	-0.0	-75.0	1.2200220801069976	-4.399904427244643	3.1839	-115.0	12.0	-10.613	0.22356372458463003	4.0	0.07	0.04742587317756678	0.05819767068693265	0.125
-0.0032732884441976414	0.052948617490198496	0.5961132235772961	0.31768407062277015	0.0032732884441976414	-75.00327328844419	1.2211228433282741	-4.40133018715643	3.18291801346674	-115.0	12.0	-10.613	0.22361418089642826	3.999272668702325	0.06998854442790568	0.0474406629922307	0.05820875802168175	0.1249948855914375
-0.005461869581537454	0.052963753269256425	0.59609671356718	0.3176943857717491	0.005461869581537454	-75.00546186958154	1.2221132367733454	-4.402704464521499	3.1822614391255386	-115.0	12.0	-10.613	0.22364792243449036	3.998786435333746	0.06998088606652872	0.047450554180210346	0.05821617212081179	0.12499146612010054
-0.0066455734865193015	0.052972589331614285	0.5960755669573523	0.31770724047761	0.0066455734865193015	-75.00664557348652	1.2226690404576743	-4.40385124953146	3.181906327954044	-115.0	12.0	-10.613	0.22366617353845322	3.9985234784734427	0.06997674435668833	0.04745590468999484	0.05822018237081997	0.12498961672270098
-0.006978941572513836	0.052975846676733086	0.5960539221372173	0.3177198121744058	0.006978941572513836	-75.00697894157251	1.2228466532100877	-4.404670627256524	3.1818063175282454	-115.0	12.0	-10.613	0.22367131385423666	3.9984494247081535	0.06997557796574277	0.04745741166455151	0.05822131182097386	0.12498909587941999
-0.006693877120515979	0.05297488327928201	0.5960346862273073	0.3177302635851418	0.006693877120515979	-75.00669387712051	1.222743509296851	-4.405145635859334	3.181891836863845	-115.0	12.0	-10.613	0.22366691834224284	3.9985127483092495	0.06997657535034003	0.04745612304145509	0.05822034602235905	0.12498954125456503
-0.006039179952194157	0.05297124782144441	0.5960194948481186	0.31773769364562315	0.006039179952194157	-75.0060391799522	1.222467592091316	-4.405317479369308	3.182088246014341	-115.0	12.0	-10.613	0.223656823613507	3.998658185119364	0.0699788660611194	0.04745316363347627	0.058218127954217234	0.12499056413748462
-0.005237219063317226	0.052966381285823295	0.5960088793210959	0.317741962879096	0.005237219063317226	-75.00523721906332	1.2221174500117666	-4.405259974196053	3.1823288342810043	-115.0	12.0	-10.613	0.22364445877510838	3.9988363428365687	0.06998167213305947	0.047449538792676556	0.0582154110550842	0.12499181711306381
-0.004458800840612547	0.05296143264191394	0.5960025468616749	0.31774346099249384	0.004458800840612547	-75.00445880084061	1.221770224290413	-4.4050574138256335	3.182562359747816	-115.0	12.0	-10.613	0.22363245749126007	3.9990092780802557	0.06998439593650778	0.04744602061569931	0.05821277400712342	0.1249930333178324
-0.0038142975486401896	0.052957180833429617	0.5959996939621649	0.31774287118268335	0.0038142975486401896	-75.00381429754864	1.2214769912722883	-4.404788206579749	3.1827557107354076	-115.0	12.0	-10.613	0.22362252126763776	3.9991524681239947	0.0699866512315246	0.04744310787474828	0.05821059069208914	0.12499404030215676
-0.0033569412492661975	0.052954039229764084	0.5959992939253532	0.31774096816940406	0.0033569412492661975	-75.00335694124927	1.2212636548195404	-4.404514861143779	3.18289291762522	-115.0	12.0	-10.613	0.22361547049745417	3.9992540826134597	0.06998825169161468	0.047441041021076824	0.05820904139299061	0.12499475488934585
-0.003093751562561901	0.05295211450556638	0.5960003231220122	0.3177384696197464	0.003093751562561901	-75.00309375156256	1.2211353950636874	-4.404279751671597	3.182971874531231	-115.0	12.0	-10.613	0.22361141315752675	3.99931255873147	0.0699891727069765	0.047439851670820085	0.058208149849573836	0.12499516610665201
