DR	DRG	G_GDP	DRG_GTP	DRG_GDP	GDP	D	GTP	G_GTP	R
0.0	0.0	1e-06	0.0	0.0	0.0	3.100000000000001e-05	1e-05	0.0	1e-10
4.3596040600380186e-13	4.7849290926866926e-11	9.998837595647751e-07	4.2702553185995844e-11	8.984072952974858e-12	1.2457852410900793e-10	3.099990002812255e-05	9.999923270766825e-06	1.67045181571545e-11	2.8122528158796274e-14
4.3764950583534606e-13	4.805034043496165e-11	9.998796645651383e-07	4.290149671373227e-11	8.58227781856425e-12	1.6784482915074516e-10	3.099990002823555e-05	9.999880205511285e-06	2.0801319892304155e-11	2.8235526906726035e-14
4.376555474317656e-13	4.805124103076195e-11	9.998791029217137e-07	4.29021961720321e-11	8.5806713168175e-12	2.1074854757563707e-10	3.099990002823596e-05	9.999837302693456e-06	2.1362969765114116e-11	2.8235932956923472e-14
4.3765452366511784e-13	4.8051326408102636e-11	9.998790271962423e-07	4.290208815752616e-11	8.58069504383213e-12	2.536506833837003e-10	3.09999000282359e-05	9.999794400643025e-06	2.1438694146783207e-11	2.8235866874146565e-14
4.3765356626982045e-13	4.8051423169686667e-11	9.998790166148664e-07	4.290199141529893e-11	8.580696043451066e-12	2.965527336469058e-10	3.099990002823583e-05	9.999751498689526e-06	2.1449274503476526e-11	2.8235805293691794e-14
4.3765274712037015e-13	4.8051536838094375e-11	9.998790151920842e-07	4.290191141833264e-11	8.580663243472396e-12	3.3945470837506675e-10	3.099990002823577e-05	9.999708596828466e-06	2.1450696414110482e-11	2.823575298049091e-14
4.376517095598902e-13	4.8051624528779335e-11	9.998790150196145e-07	4.290180569053666e-11	8.58068238510208e-12	3.8235652990341835e-10	3.09999000282357e-05	9.99966569509463e-06	2.1450867779186482e-11	2.823568602205272e-14
4.376501884997425e-13	4.8051654724455595e-11	9.998790150037216e-07	4.290164302122303e-11	8.580816479123241e-12	4.2525814115847237e-10	3.09999000282356e-05	9.999622793513572e-06	2.145088205186847e-11	2.823558669861648e-14
4.376496124254318e-13	4.805179754090814e-11	9.998790150889424e-07	4.290159188877041e-11	8.580725407106845e-12	4.681598502123095e-10	3.0999900028235567e-05	9.999579891947334e-06	2.1450796218999452e-11	2.8235550789737883e-14
4.3764835011724767e-13	4.805185846144844e-11	9.998790151177155e-07	4.290145964538066e-11	8.580798074296199e-12	5.110613048007908e-10	3.099990002823548e-05	9.999536990553668e-06	2.1450766101670527e-11	2.823546875850844e-14
4.376474167241954e-13	4.805195858872252e-11	9.998790151787123e-07	4.290136623671668e-11	8.580792349069449e-12	5.539627242414252e-10	3.099990002823542e-05	9.999494089234352e-06	2.1450704111282266e-11	2.823540876790074e-14
4.376463960022608e-13	4.805204840723837e-11	9.998790152348214e-07	4.290126261469166e-11	8.580807239033757e-12	5.96864018856406e-10	3.0999900028235357e-05	9.999451188029556e-06	2.145064691581426e-11	2.823534303411849e-14
4.376452873424346e-13	4.805212764419843e-11	9.998790152795037e-07	4.290114851342281e-11	8.580843283741941e-12	6.397651881565461e-10	3.099990002823528e-05	9.999408286939492e-06	2.1450601053118888e-11	2.823527129416518e-14
4.3764425817486956e-13	4.805221639819455e-11	9.998790153307778e-07	4.290104383724942e-11	8.58086030145403e-12	6.826662685381784e-10	3.0999900028235214e-05	9.99936538594787e-06	2.1450548683757502e-11	2.8235204926937467e-14
4.376432801463914e-13	4.805231124380305e-11	9.998790153895894e-07	4.2900945194475304e-11	8.580865139593647e-12	7.25567253798208e-10	3.0999900028235146e-05	9.999322485057452e-06	2.1450488830927758e-11	2.823514198169608e-14
4.3764225194046543e-13	4.805240010984394e-11	9.998790154453174e-07	4.290084062922475e-11	8.580881933314041e-12	7.684681220753057e-10	3.099990002823508e-05	9.999279584278043e-06	2.1450432008542286e-11	2.823507567730217e-14
4.376411806231232e-13	4.80524838399634e-11	9.99879015497263e-07	4.290073097715812e-11	8.580908995768788e-12	8.113688748972876e-10	3.099990002823501e-05	9.99923668360895e-06	2.145037892251474e-11	2.823500648742113e-14
4.3764010410730964e-13	4.8052566956019925e-11	9.99879015544828e-07	4.2900620716502675e-11	8.580937286419477e-12	8.54269520453034e-10	3.099990002823494e-05	9.999193783046511e-06	2.14503302114345e-11	2.8234936951692914e-14
