G*T	D	Pi	GD	RG*T	RGA	RG*AT	RGD	R	A	GA	RGAD	G	RG	G*AT	GAD	T	Values[Z]	Values[v]
0.0	0.000149	0.0044	0.0	0.0	0.0	0.0	0.0	1e-05	0.0	0.0	0.0	1e-08	0.0	0.0	0.0	0.000468	0.0	0.0
9.617630806634105e-12	0.00014900004712704247	0.004400000128829782	3.280981384539579e-16	9.908340523393824e-09	0.0	0.0	8.170240631103147e-11	9.990009617959231e-06	0.0	0.0	0.0	3.248107138279705e-19	3.3911106557989863e-13	0.0	0.0	0.0004679899532120689	0.9917958154200458	0.012893345600460593
9.595994682213453e-12	0.0001490001536667668	0.0044000002575874326	3.811844955192347e-16	9.88607237397639e-09	0.0	0.0	1.0392027947137058e-10	9.990009596376183e-06	0.0	0.0	0.0	3.1649694272919063e-19	4.109703694046207e-13	0.0	0.0	0.0004679898467442038	0.9895668368658602	0.012864368879256183
9.59013082961516e-12	0.00014900027624096965	0.00440000038618317	3.955720401988973e-16	9.880037226543655e-09	0.0	0.0	1.0994180098712984e-10	9.990009590526724e-06	0.0	0.0	0.0	3.2482721715987597e-19	4.304457431760906e-13	0.0	0.0	0.00046798972418947627	0.988962735737327	0.01285651556458525
9.588561025296437e-12	0.00014900040318060952	0.004400000514734827	3.9942371050273407e-16	9.878421565298612e-09	0.0	0.0	1.1155381449942322e-10	9.990009588960772e-06	0.0	0.0	0.0	3.2609588234679704e-19	4.3565942760915853e-13	0.0	0.0	0.00046798959725505003	0.9888010126323908	0.012854413164221078
9.588119065916442e-12	0.00014900053126684434	0.004400000643274906	4.005081008659242e-16	9.877966695740144e-09	0.0	0.0	1.1200765712647037e-10	9.990009588519895e-06	0.0	0.0	0.0	3.2509814003702117e-19	4.371272356945212e-13	0.0	0.0	0.00046798946917028285	0.9887554814806061	0.012853821259247876
9.587934573584379e-12	0.00014900065961482575	0.00440000077181234	4.009607708265825e-16	9.877776814125202e-09	0.0	0.0	1.1219711008986956e-10	9.990009588335857e-06	0.0	0.0	0.0	3.2469557091598355e-19	4.37739927473706e-13	0.0	0.0	0.00046798934082291414	0.9887364748698786	0.012853574173308421
9.587820894355043e-12	0.0001490007880347965	0.004400000900349047	4.012396947585114e-16	9.87765981379266e-09	-6.156631797271593e-33	-1.8081016494107897e-31	1.1231384631567789e-10	9.990009588222458e-06	-1.8959963867739389e-31	-8.456724376973111e-42	-1.698595130154095e-30	3.2592742662840484e-19	4.3811743269644156e-13	-4.4121701380124785e-38	-2.4994698219498637e-36	0.00046798921240332093	0.9887247634687012	0.012853421925093117
9.587357444906557e-12	0.00014900091609918034	0.004400001028889345	4.0237681771205215e-16	9.877182824410012e-09	-5.431321460733639e-32	-1.595089915233315e-30	1.1278975880320897e-10	9.990009587760154e-06	-1.672629808643463e-30	-7.460441050984752e-41	-1.4984843153348955e-29	3.333421995575037e-19	4.3965662908705416e-13	-3.89237413379426e-37	-2.2050082791094372e-35	0.000467989084340477	0.9886770181854918	0.012852801236411393
9.586980839065607e-12	0.0001490010442518512	0.0044000011574287495	4.0330086045204014e-16	9.876795215860736e-09	-1.2882753271226346e-31	-3.783453064219197e-30	1.1317649226192526e-10	9.990009587384483e-06	-3.967372819789176e-30	-1.7695697455805303e-40	-3.554310650700177e-29	3.3915525598076116e-19	4.409073915605653e-13	-9.232466899169984e-37	-5.23014110399226e-35	0.0004679889561890577	0.9886382196699801	0.012852296855709742
9.586836000810303e-12	0.0001490011726401432	0.004400001285965774	4.036562358829647e-16	9.876646146398176e-09	-2.3421582020660816e-31	-6.878533990311764e-30	1.1332522521168418e-10	9.990009587240004e-06	-7.212910621580746e-30	-3.2171789729113485e-40	-6.461939981278392e-29	3.3996716117863357e-19	4.413883827528877e-13	-1.6785152690528983e-36	-9.508695561249642e-35	0.00046798882780124733	0.9886232982398986	0.012852102877118682
9.58706785411875e-12	0.00014900130141139026	0.004400001414498932	4.0308735690931485e-16	9.876884774275683e-09	-3.7499431118492592e-31	-1.1012967071924048e-29	1.1308713617234306e-10	9.990009587471283e-06	-1.1548325163484383e-29	-5.150906594786376e-40	-1.0345973769236686e-28	3.3237848043157677e-19	4.406182652999343e-13	-2.6874088888471815e-36	-1.5224021755287768e-34	0.0004679886990292305	0.98864718421298	0.012852413394768737
9.587297947266496e-12	0.00014900143018084706	0.004400001543032107	4.0252279716341265e-16	9.877121590357098e-09	-7.441036628523035e-31	-2.1869802685925902e-29	1.1285085483495802e-10	9.990009587700807e-06	-2.3800045141539743e-29	-1.0219116639905966e-39	-2.0529108297668245e-28	3.2571462711488434e-19	4.3985399664306386e-13	-4.8376417103232285e-36	-2.2829277954099467e-34	0.00046798857025900985	0.9886708888304362	0.012852721554795669
9.587230571955566e-12	0.0001490015586478876	0.004400001671568334	4.026881100413402e-16	9.877052246482066e-09	-1.5046954491128083e-30	-4.4254594535434137e-29	1.1292004219361496e-10	9.990009587633602e-06	-4.97372587624277e-29	-2.066128571496594e-39	-4.151224362457551e-28	3.2728927136148066e-19	4.400777173612228e-13	-8.881701022093613e-36	-3.273496692631236e-34	0.0004679884417921937	0.988663947705402	0.012852631320170225
9.587242213896509e-12	0.00014900168719525855	0.00440000180010375	4.0265954588021213e-16	9.877064228272427e-09	-2.5779196231351045e-30	-7.584425744964239e-29	1.1290808750188372e-10	9.99000958764522e-06	-8.654030611869168e-29	-3.5395156158321556e-39	-7.112014223176922e-28	3.280730115743793e-19	4.400390009738994e-13	-1.4473513208438598e-35	-4.500506516865299e-34	0.0004679883132447847	0.9886651470486321	0.012852646911632216
9.587359242476114e-12	0.00014900181584976774	0.004400001928638083	4.0237240451246506e-16	9.877184675531095e-09	-4.0109741491125684e-30	-1.180287010246426e-28	1.1278791223338379e-10	9.990009587761961e-06	-1.358630809034276e-28	-5.5068615736299206e-39	-1.1065487332425112e-27	3.2754883412874625e-19	4.3965026708594647e-13	-2.1839196759459083e-35	-5.988403948699626e-34	0.0004679881845898872	0.9886772034773569	0.01285280364520564
9.587608027081161e-12	0.000149001944638223	0.004400002057171064	4.017619857705355e-16	9.877440728060985e-09	-5.8510569912385814e-30	-1.721978348565268e-28	1.1253243786173468e-10	9.990009588010135e-06	-1.993594768097313e-28	-8.032955221522528e-39	-1.6141850610702284e-27	3.251997253997478e-19	4.3882393530221655e-13	-3.120487016525597e-35	-7.761635668721709e-34	0.00046798805580060575	0.9887028336088064	0.012853136836914483
9.587732367326284e-12	0.00014900207330016397	0.00440000218570532	4.014569045342222e-16	9.877568700560697e-09	-7.085258326768849e-30	-2.0888735827907165e-28	1.1240475434526707e-10	9.990009588134171e-06	-2.628148619197403e-28	-9.727483379470992e-39	-1.954572412527648e-27	3.2469405892726134e-19	4.384109151756449e-13	-4.058085475375916e-35	-9.696658986017843e-34	0.0004679879271382521	0.9887156432928023	0.012853303362806429
9.587814539622799e-12	0.00014900220191923507	0.004400002314240009	4.012552867936685e-16	9.877653273192533e-09	-7.97052067820778e-30	-2.3559175137001727e-28	1.1232037271178407e-10	9.990009588216144e-06	-3.310227511389673e-28	-1.0943129810787787e-38	-2.1986148317062162e-27	3.2468673342118006e-19	4.3813794409832686e-13	-5.063166915023786e-35	-1.1847200590003598e-33	0.0004679877985189082	0.9887241087732154	0.012853413414051803
9.587879317455666e-12	0.0001490023305206218	0.004400002442774877	4.010963480965047e-16	9.87771994323299e-09	-8.548054716981375e-30	-2.5352666485081764e-28	1.1225385325285488e-10	9.990009588280764e-06	-4.055474156619377e-28	-1.1736465145301681e-38	-2.357680693295156e-27	3.246843735495009e-19	4.3792274209281557e-13	-6.157091743212046e-35	-1.4236871344659363e-33	0.00046798766991730653	0.9887307822550444	0.012853500169315574
9.587918061483205e-12	0.00014900245909554117	0.00440000257131001	4.010012859210799e-16	9.877759818969541e-09	-8.733717303901636e-30	-2.6025935361231095e-28	1.1221406760624083e-10	9.990009588319412e-06	-4.8607673243471505e-28	-1.1991999607901317e-38	-2.408544393441731e-27	3.2468851047600943e-19	4.3779400213428717e-13	-7.335019388759672e-35	-1.6871782920132013e-33	0.00046798754134225857	0.9887347737031024	0.012853552058140334
9.587900352299307e-12	0.00014900258761306798	0.004400002699845721	4.010447372438128e-16	9.87774159241164e-09	-8.67475296032593e-30	-2.5876448293866806e-28	1.1223225307188055e-10	9.990009588301747e-06	-5.485699671309445e-28	-1.1911660679680752e-38	-2.3922572853341697e-27	3.2469200817419114e-19	4.378527592557434e-13	-8.227771410903575e-35	-1.9212932046678905e-33	0.00046798741282479063	0.9887329492763937	0.012853528340593117
