HO*	LOO*	O2*-	Cu(II)ZnSOD	L*	H2O2	LOOH	Values[HO2*]	Values[Cu(I)ZnSOD]
0.0	0.0	0.0	5e-06	0.0	0.0	0.0	0.0	5e-06
4.507335455169958e-23	4.1210418944072696e-10	4.1224234697095794e-11	5e-06	1.0989622595337335e-13	9.71194241848018e-10	1.3744477654288295e-09	4.1224234697095786e-13	5e-06
4.5073364288155035e-23	8.241849077977244e-10	4.122423459098887e-11	5e-06	2.060483942481877e-13	9.711944519500647e-10	4.57492066225893e-09	4.122423459098887e-13	5e-06
4.5073364426486223e-23	1.2361459424378897e-09	4.12242344849128e-11	5e-06	3.0217263680366384e-13	9.711944552844247e-10	9.205885516135312e-09	4.12242344849128e-13	5e-06
4.5073364071992033e-23	1.6479303343338411e-09	4.1224234378882224e-11	5e-06	3.982556631825659e-13	9.711944479997532e-10	1.4826436862328446e-08	4.1224234378882216e-13	5e-06
4.507336385782414e-23	2.0594746672210955e-09	4.122423427291344e-11	5e-06	4.942826762555643e-13	9.711944437384783e-10	2.1070205095552677e-08	4.122423427291344e-13	5e-06
4.507336372570621e-23	2.470718610253901e-09	4.1224234167022024e-11	5e-06	5.902395988241025e-13	9.71194441244871e-10	2.7721258566774564e-08	4.1224234167022016e-13	5e-06
4.507336359371313e-23	2.8816028907591387e-09	4.122423406122321e-11	5e-06	6.861126005962997e-13	9.711944387536447e-10	3.464718330107687e-08	4.1224234061223207e-13	5e-06
4.50733634618223e-23	3.2920686952516055e-09	4.122423395553214e-11	5e-06	7.818879584238506e-13	9.711944362642629e-10	4.176458723609028e-08	4.1224233955532143e-13	5e-06
4.507336333002302e-23	3.702057406645117e-09	4.122423384996393e-11	5e-06	8.775519949846638e-13	9.711944337764438e-10	4.901192155851173e-08	4.122423384996392e-13	5e-06
4.507336319842998e-23	4.111510640397078e-09	4.12242337445336e-11	5e-06	9.730910872165453e-13	9.711944312926086e-10	5.634988423952417e-08	4.1224233744533596e-13	5e-06
4.507336306702825e-23	4.520370318618533e-09	4.1224233639256094e-11	5e-06	1.0684916836094967e-12	9.711944288123863e-10	6.375177851411094e-08	4.1224233639256087e-13	5e-06
4.5073362935835683e-23	4.9285786053203714e-09	4.122423353414632e-11	5e-06	1.1637402890966912e-12	9.711944263361111e-10	7.119538419487835e-08	4.122423353414631e-13	5e-06
4.507336280487115e-23	5.3360779256655464e-09	4.12242334292191e-11	5e-06	1.258823469546516e-12	9.711944238641408e-10	7.86600086096336e-08	4.1224233429219096e-13	5e-06
4.5073362674152556e-23	5.7428111852596124e-09	4.1224233324489127e-11	5e-06	1.3537279029302317e-12	9.711944213968114e-10	8.613563595547786e-08	4.122423332448912e-13	5e-06
4.5073362543698297e-23	6.148721740575175e-09	4.1224233219970985e-11	5e-06	1.4484403724212974e-12	9.711944189344715e-10	9.361236194211748e-08	4.1224233219970977e-13	5e-06
4.5073362413526544e-23	6.553753222206009e-09	4.122423311567921e-11	5e-06	1.5429477251545664e-12	9.71194416477464e-10	1.0108488082436677e-07	4.12242331156792e-13	5e-06
4.507336228365864e-23	6.957839099818355e-09	4.122423301163091e-11	5e-06	1.6372344373805908e-12	9.711944140261917e-10	1.0854883954408834e-07	4.122423301163091e-13	5e-06
4.507336215410175e-23	7.360957087473292e-09	4.1224232907831835e-11	5e-06	1.7312953090452972e-12	9.711944115807891e-10	1.1600326043155748e-07	4.1224232907831833e-13	5e-06
4.507336202491504e-23	7.762923134935613e-09	4.122423280432938e-11	5e-06	1.8250873950814277e-12	9.711944091423738e-10	1.234429161398035e-07	4.122423280432938e-13	5e-06
4.5073361896084604e-23	8.16378047993106e-09	4.12242327011124e-11	5e-06	1.9186207842944976e-12	9.711944067106834e-10	1.3086680312506188e-07	4.12242327011124e-13	5e-06
4.5073361767608814e-23	8.563534165914678e-09	4.122423259817961e-11	5e-06	2.0118966534910164e-12	9.711944042856866e-10	1.382748043291901e-07	4.1224232598179603e-13	5e-06
4.5073361639554903e-23	8.961975048387887e-09	4.1224232495584844e-11	5e-06	2.104866202266915e-12	9.71194401868653e-10	1.456623717871808e-07	4.122423249558484e-13	5e-06
4.5073361511905444e-23	9.359157342113549e-09	4.122423239331415e-11	5e-06	2.19754208073899e-12	9.711943994592528e-10	1.530306844296109e-07	4.1224232393314153e-13	5e-06
4.507336138465111e-23	9.755110039393751e-09	4.122423229136007e-11	5e-06	2.2899310537806483e-12	9.71194397057311e-10	1.6038037271043116e-07	4.122423229136007e-13	5e-06
4.507336125782655e-23	1.0149725375760452e-08	4.122423218975035e-11	5e-06	2.3820079763366713e-12	9.711943946634807e-10	1.677088729334476e-07	4.122423218975034e-13	5e-06
4.507336113151945e-23	1.0542730450937076e-08	4.122423208855525e-11	5e-06	2.473709171643761e-12	9.711943922794177e-10	1.7500969285299677e-07	4.1224232088555244e-13	5e-06
