RA	cyp26_mRNA	CYP26	FGF	FGF_mRNA	Values[vs1]	Values[rho]	Values[alpha2]	Values[alpha1]
0.1	0.1	0.1	1.0	1.5	4.97	5.5	0.5	0.09090909090909091
2.6249747543778956	4.255234889112307	2.4394392341959046	0.3964684701254778	1.5	4.97	0.3920643695764294	0.2839079281824771	0.7241360098322627
0.9820768647847882	4.347749526009475	5.809493541893987	0.16553080445574372	1.5	4.97	0.28663556895502684	0.14202181857650686	0.4954786982448438
0.6655783662421532	3.2152004907228426	7.642335559900881	0.12499318725345983	1.5	4.97	0.2780368271980756	0.11110572816766667	0.3996079558500863
0.6019004970487907	2.7419578496548707	8.313031494234698	0.13492623786086777	1.5	4.97	0.31640228330711	0.11888546881705679	0.3757415008970173
0.5763974075611201	2.7572889797006765	8.660969424150192	0.14852707702325424	1.5	4.97	0.3536780351058151	0.12931961291518337	0.36564219453575314
0.5532737160819263	2.9386311383654067	9.02763789032211	0.16086254632459837	1.5	4.97	0.3890291047496947	0.13857157062557024	0.35619846673098815
0.5266492340883768	3.174699910295667	9.490887749814817	0.17432424810594502	1.5	4.97	0.4303160843116297	0.14844643494938534	0.3449706863429307
0.49687390701827205	3.450600202603749	10.064945783481837	0.19078543785715063	1.5	4.97	0.4826704767743875	0.16021814828410563	0.33194105708478144
0.46497146664475325	3.769667991466385	10.758986273558186	0.21133192097783696	1.5	4.97	0.549673502555808	0.1744624386743157	0.31739284841477805
0.43200527149283974	4.129987363263121	11.581129117453477	0.23672903198400644	1.5	4.97	0.6345013299725244	0.19141544013423617	0.3016785483216008
0.3991787929024654	4.52011048223466	12.53154549664897	0.267484966040174	1.5	4.97	0.7397114041247471	0.2110360069010048	0.2852950565913069
0.36776969632061185	4.9200166676971655	13.596274220599081	0.3036463219277073	1.5	4.97	0.8662540488810189	0.2329207828996934	0.26888276389653604
0.3389151287852515	5.3054181974551335	14.744927520173736	0.3445612770318564	1.5	4.97	1.0123902686121788	0.2562629780566652	0.2531266706148408
0.3134004509213708	5.654316914553041	15.933909716225363	0.38880952824690235	1.5	4.97	1.1732532230360877	0.27995885709230234	0.2386175904702298
