(DIN) intramitochondrial diphospyridine nucleotide	(XI) low energy intermediate in oxidative phosphorylation	(TP1) adenosine triphosphate in store 1 (cytoplasm)	(DPN) extramitochondrial diphospyridine nucleotide	(ADP) adenosine diphosphate	(PID) inorganic phosphate	(DHA) dihydroxacetone phosphate	(PGA) 3 phosphoglycerate	(ETZ) phosphofructokinase	(ENG) hexokinase-glucose intermediate	(DPH) extramitochondrial reduced diphospyridine nucleotide	(MOB) acyl enzyme intermediate of glyceraldehyde 3-phoshphate dehydrogenase	(GLP) glucose 6-phosphate	(PYR) pyruvate	(TP2) adenosine triphosphate in store 2 (mitochondria)	(XSI) high energy intermediate in oxidative phosphorylation	(GPP) hexose diphosphate	(OXY) oxygen	(LAC) lactate	(AGP) alpha-glycerophosphate	(GLU) glucose	(DGA) 1,3 diphosphoglycerate	(ENZ) hexokinase	(XSP) phosphorylated intermediate in oxidative phosphorylation	(ETG) phosphofructokinase intermediate	(PUE) enzyme concerned in ATP utilization	(PPP) enzyme intermediate concerned in ATP utilization	(DIH) intramitochondrial reduced diphospyridine nucleotide	(MOD) glyceraldehyde 3-phoshphate dehydrogenase-DPN complex	(GAP) glyceraldehyde 3-phosphate	(MOX) glyceraldehyde 3-phoshphate dehydrogenase	Values[relative GLU]	Values[relative ENZ]	Values[relative ENG]	Values[relative TP1]	Values[relative ADP]	Values[relative GLP]	Values[relative ETZ]	Values[relative ETG]	Values[relative GPP]	Values[relative GAP]	Values[relative DHA]	Values[relative DPN]	Values[relative DPH]	Values[relative PID]	Values[relative DGA]	Values[relative PGA]	Values[relative PYR]	Values[relative LAC]	Values[relative DIN]	Values[relative DIH]	Values[relative XI]	Values[relative XSI]	Values[relative OXY]	Values[relative XSP]	Values[relative TP2]	Values[relative DBP]	Values[relative PUE]	Values[relative PPP]	Values[relative AGP]	Values[relative MOD]	Values[relative MOB]	Values[relative MOX]
3.0000000000000004e-05	2e-05	0.0005	0.00010000000000000002	0.00010000000000000002	0.004	0.0	0.0	1e-05	0.0	0.00010000000000000002	0.0	0.0	0.001	0.0005	2e-05	0.0	0.0005	0.001	0.0	0.0	0.0	1e-05	2e-05	0.0	2e-06	1e-06	3.0000000000000004e-05	5.000000000000001e-05	0.0	0.0	0.0	0.9803921568627452	0.0	0.3333333333333333	0.1	0.0	1.0	0.0	0.0	0.0	0.0	0.4	0.5	0.8	0.0	0.0	0.5	0.8333333333333334	0.42857142857142855	0.42857142857142855	0.3333333333333333	0.3333333333333333	1.0	0.3333333333333333	0.3333333333333333	0.0	0.6535947712418301	3.26797385620915e-07	0.0	1.0	0.0	0.0
3.082190411531577e-05	3.482017091460746e-05	0.0004973152058362318	0.00013772222979858875	7.800918112361401e-05	0.003981953427035442	0.0	0.0	1e-05	0.0	6.227777020141128e-05	0.0	0.0	0.0009616848064768617	0.0005244014479551538	9.124074997216238e-06	0.0	0.0004968062409864844	0.0010377222297985893	0.0	0.0	0.0	1e-05	1.6055754088176306e-05	0.0	1.725834914999709e-06	1.2741650850002908e-06	2.917809588468422e-05	5.000000000000001e-05	0.0	0.0	0.0	0.9803921568627452	0.0	0.3315434705574878	0.07800918112361399	0.0	1.0	0.0	0.0	0.0	0.0	0.5508889191943549	0.3113888510070564	0.7963906854070884	0.0	0.0	0.4808424032384308	0.8647685248321578	0.4403129159330824	0.41682994120977446	0.5803361819101241	0.15206791662027058	0.9936124819729687	0.267595901469605	0.3496009653034359	0.0	0.563998338235199	4.16393818627546e-07	0.0	1.0	0.0	0.0
3.2346389272234826e-05	3.8606328750634255e-05	0.0004947535006576984	0.00015999496357732828	6.501305184780004e-05	0.003971395242989025	0.0	0.0	1e-05	0.0	4.000503642267178e-05	0.0	0.0	0.0009388126064770033	0.0005399546559153613	7.775862390589657e-06	0.0	0.0004928838909450909	0.0010599949635773283	0.0	0.0	0.0	1e-05	1.361780885877609e-05	0.0	1.7212084208601878e-06	1.278791579139812e-06	2.7653610727765148e-05	5.000000000000001e-05	0.0	0.0	0.0	0.9803921568627452	0.0	0.32983566710513224	0.06501305184780004	0.0	1.0	0.0	0.0	0.0	0.0	0.639979854309313	0.20002518211335885	0.7942790485978047	0.0	0.0	0.46940630323850163	0.8833291363144403	0.4620912753176403	0.3950515818252163	0.6434388125105708	0.12959770650982758	0.9857677818901818	0.22696348097960145	0.3599697706102408	0.0	0.562486412045813	4.1790574481693197e-07	0.0	1.0	0.0	0.0
3.3748955545206656e-05	3.912552524373421e-05	0.0004922028506871329	0.00017345343154728628	5.5450107554467366e-05	0.003961946902286746	0.0	0.0	1e-05	0.0	2.6546568452713815e-05	0.0	0.0	0.0009247382861142455	0.0005520717799409757	7.371269488545386e-06	0.0	0.0004890179151009191	0.001073453431547286	0.0	0.0	0.0	1e-05	1.3503205267720425e-05	0.0	1.7247381825762433e-06	1.2752618174237564e-06	2.6251044454793338e-05	5.000000000000001e-05	0.0	0.0	0.0	0.9803921568627452	0.0	0.3281352337914219	0.055450107554467366	0.0	1.0	0.0	0.0	0.0	0.0	0.693813726189145	0.13273284226356905	0.7923893804573491	0.0	0.0	0.46236914305712273	0.8945445262894051	0.48212793636009504	0.37501492078276194	0.65209208739557	0.12285449147575642	0.9780358302018382	0.2250534211286737	0.36804785329398376	0.0	0.5636399289464847	4.1675222791626026e-07	0.0	1.0	0.0	0.0
3.4878651104068665e-05	3.879069308804649e-05	0.0004896598894263217	0.00018170041496369833	4.7361433360436663e-05	0.003953132320856438	0.0	0.0	1e-05	0.0	1.829958503630185e-05	0.0	0.0	0.0009158595389902636	0.0005627071989527139	6.980194407956762e-06	0.0	0.0004853611647117771	0.001081700414963698	0.0	0.0	0.0	1e-05	1.4229112503996764e-05	0.0	1.7285217394724252e-06	1.2714782605275744e-06	2.51213488959313e-05	5.000000000000001e-05	0.0	0.0	0.0	0.9803921568627452	0.0	0.3264399262842145	0.047361433360436654	0.0	1.0	0.0	0.0	0.0	0.0	0.7268016598547933	0.09149792518150925	0.7906264641712875	0.0	0.0	0.4579297694951318	0.9014170124697485	0.498266444343838	0.3588764127990185	0.6465115514674413	0.11633657346594602	0.9707223294235541	0.2371518750666127	0.37513813263514256	0.0	0.5648763854485049	4.1551577141424e-07	0.0	1.0	0.0	0.0
3.574181119324053e-05	3.811942531209912e-05	0.0004871245249303517	0.00018679766678019916	4.024250823547e-05	0.003944954378624726	0.0	0.0	1e-05	0.0	1.3202333219801015e-05	0.0	0.0	0.0009101172977035109	0.0005723652850873059	6.592445077157332e-06	0.0	0.0004819180467415975	0.0010867976667801988	0.0	0.0	0.0	1e-05	1.528812961074354e-05	0.0	1.7323182531275354e-06	1.2676817468724645e-06	2.4258188806759412e-05	5.000000000000001e-05	0.0	0.0	0.0	0.9803921568627452	0.0	0.32474968328690107	0.04024250823546999	0.0	1.0	0.0	0.0	0.0	0.0	0.7471906671207965	0.06601166609900508	0.7889908757249452	0.0	0.0	0.4550586488517554	0.9056647223168323	0.510597302760579	0.3465455543822773	0.635323755201652	0.10987408461928884	0.9638360934831949	0.254802160179059	0.3815768567248705	0.0	0.566117076185469	4.142750806772759e-07	0.0	1.0	0.0	0.0
3.636895474631168e-05	3.720303506079117e-05	0.0004845967646023952	0.00018996503797548439	3.39471724672489e-05	0.0039373817045294315	0.0	0.0	1e-05	0.0	1.003496202451581e-05	0.0	0.0	0.0009062947716990582	0.0005811921832052249	6.231497001390573e-06	0.0	0.0004786702839518552	0.0010899650379754835	0.0	0.0	0.0	1e-05	1.6565467937818266e-05	0.0	1.7361202748687257e-06	1.2638797251312741e-06	2.3631045253688273e-05	5.000000000000001e-05	0.0	0.0	0.0	0.9803921568627452	0.0	0.32306450973493006	0.033947172467248904	0.0	1.0	0.0	0.0	0.0	0.0	0.7598601519019375	0.05017481012257905	0.7874763409058863	0.0	0.0	0.453147385849529	0.908304198312903	0.519556496375881	0.33758636076697524	0.6200505843465194	0.10385828335650951	0.9573405679037102	0.2760911322969711	0.3874614554701498	0.0	0.5673595669505639	4.13032589912181e-07	0.0	1.0	0.0	0.0
3.678929999408556e-05	3.605410785933266e-05	0.0004820766187770409	0.00019193969990307475	2.841142814985426e-05	0.00393036488882817	0.0	0.0	1e-05	0.0	8.06030009692538e-06	0.0	0.0	0.0009036578107009949	0.0005892518805927617	5.899352818983246e-06	0.0	0.0004756007424221901	0.0010919396999030742	0.0	0.0	0.0	1e-05	1.8046539321684127e-05	0.0	1.7399275196568447e-06	1.2600724803431552e-06	2.321070000591441e-05	5.000000000000001e-05	0.0	0.0	0.0	0.9803921568627452	0.0	0.32138441251802724	0.028411428149854256	0.0	1.0	0.0	0.0	0.0	0.0	0.767758799612299	0.04030150048462689	0.786072977765634	0.0	0.0	0.4518289053504974	0.9099497499192286	0.5255614284869364	0.33158142865592005	0.6009017976555443	0.09832254698305408	0.9512014848443802	0.30077565536140205	0.39283458706184116	0.0	0.5686037645937401	4.117883922690049e-07	0.0	1.0	0.0	0.0
3.702696273855333e-05	3.467671804513361e-05	0.00047956409776880334	0.0001931731730215714	2.3593344593044965e-05	0.003923859869869573	0.0	0.0	1e-05	0.0	6.826826978428751e-06	0.0	0.0	0.0009017577693700344	0.0005965862975615342	5.589807231392512e-06	0.0	0.00047269680682786633	0.0010931731730215704	0.0	0.0	0.0	1e-05	1.9733474723473912e-05	0.0	1.7437399233825275e-06	1.2562600766174722e-06	2.297303726144663e-05	5.000000000000001e-05	0.0	0.0	0.0	0.9803921568627452	0.0	0.31970939851253555	0.023593344593044963	0.0	1.0	0.0	0.0	0.0	0.0	0.7726926920862854	0.03413413489214375	0.7847719739739146	0.0	0.0	0.4508788846850172	0.9109776441846421	0.5289566105507618	0.32818624659209467	0.5779453007522267	0.09316345385654184	0.9453936136557325	0.3288912453912318	0.3977241983743561	0.0	0.5698496481642246	4.105425086985203e-07	0.0	1.0	0.0	0.0
3.7101122059440025e-05	3.308107133521118e-05	0.00047705921177982946	0.0001939444036696798	1.9457620650280746e-05	0.0039178342097767604	0.0	0.0	1e-05	0.0	6.055596330320387e-06	0.0	0.0	0.0009003184057066096	0.0006032307249980699	5.2955177912661295e-06	0.0	0.0004699501154457135	0.001093944403669679	0.0	0.0	0.0	1e-05	2.1623410873522725e-05	0.0	1.7475574281804527e-06	1.252442571819547e-06	2.2898877940559936e-05	5.000000000000001e-05	0.0	0.0	0.0	0.9803921568627452	0.0	0.3180394745198863	0.019457620650280744	0.0	1.0	0.0	0.0	0.0	0.0	0.7757776146787192	0.030277981651601935	0.7835668419553521	0.0	0.0	0.45015920285330474	0.9116203363913992	0.5300160294205717	0.3271268277222847	0.5513511889201862	0.08825862985443547	0.9399002308914268	0.3603901812253787	0.40215381666537986	0.0	0.5710971987517819	4.0929495811096303e-07	0.0	1.0	0.0	0.0
