LIPID	Xa_l	IIa_f	TF_VIIa_l	mIIa_l	VIIIa_l	Va_l	APC_PS_l	AT_f	IXa_l	VIII_l	V_l	Xa_Va_l	IIa_TM_l	VII_l	IX_l	X_l	VIIa_l	Xa_f	APC_l	XIa_l	IXa_VIIIa_l	Xa_Va_mIIa_l	TF_VIIa_Xa_l	VIIIai_l	Vai_l	II_l	PC_l	PS_l	TF_VII_Xa_l	TFPI_Xa_l	mIIa_f	V_Xa_l	VIII_IIa_l	TF_l	IXa_f	V_IIa_l	VIII_Xa_l	V_mIIa_l	XI_IIa_l	TF_VIIa_X_l	APC_PS_VIIIa_l	VIIIa_f	Va_f	TF_VIIa_IX_l	VII_Xa_l	VIII_mIIa_l	APC_f	IX_f	IIa_AT_f	VIIa_f	VIII_f	V_f	X_f	II_f	XIa_IX_l	TFPI_f	IIa_TM_PC_l	IXa_AT_f	Vai_f	mIIa_AT_l	APC_PS_Va_l	TF_VII_l	VIIIai_f	Xa_Va_II_l	Xa_AT_f	XI_f	TM_l	PS_f	VII_f	TFPI_Xa_TF_VIIa_l	PC_f	IXa_VIIIa_X_l
849079.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3400.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	90.0	0.0	0.1	0.7	20.0	170.0	1400.0	0.0	2.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	1.0	300.0	10.0	0.0	60.0	0.0
649551.0714031076	8.184132603532448e-06	3.0057706231800673e-15	0.00011839371036292647	1.6382361401508365e-14	5.810624480346671e-10	3.636478517813776e-08	1.374508349151241e-17	3399.999999999694	4.161849076982438e-06	0.6997844234960003	19.99107094597941	1.5607840439627342e-14	2.2417057654628545e-16	9.979483317683627	89.96810984792138	165.16855777343667	0.09969398438125648	1.4152617041370656e-07	5.727072379944811e-18	5.4121191424401954e-17	1.8944161528390257e-17	2.5462198602095193e-15	3.292037326479679e-05	8.953229722680782e-31	5.528808280553041e-29	1351.6084923571086	57.94811121612073	299.81537071745913	1.5248949144149021e-12	1.5967869231068572e-09	2.3301938147683483e-17	3.7601179728031763e-06	8.716097805924568e-18	0.004527084148683024	1.4629159701685726e-09	3.5738711937168116e-16	1.088234965709063e-07	1.847288594913793e-15	4.30709374252756e-16	5.618068069704354e-05	4.1350634873144936e-29	5.914903825017339e-13	1.6498487616815878e-11	2.911683050097988e-05	6.539535813674104e-08	4.722653489601551e-17	5.971084518256296e-20	0.03185687193555534	6.910738516437284e-17	6.968102128764405e-05	0.0002154670988491604	0.00892525752128095	4.831340863603417	48.39150764289232	3.688591777360562e-18	2.4999999984032155	6.328226973989937e-17	7.001693606123762e-13	2.4169134257419194e-32	5.269320248358358e-20	2.5699279899883048e-27	0.00023630425496597783	8.736942173298462e-34	1.74419782875031e-14	3.1219408816630897e-10	30.0	0.9999999999999998	0.18462928254080468	0.020280035667165196	3.486735920508358e-16	2.0518887838793267	1.158484005502719e-17
649551.0709575138	3.9042078310211156e-05	1.1180025817985871e-12	0.00020233284195414738	6.839093552712774e-12	9.640706643949639e-09	6.807445196209058e-07	3.632468524017771e-14	3399.999999996724	1.985250225452592e-05	0.6997837264069069	19.991042376256104	2.837524710607137e-12	1.622894876519622e-13	9.979267489557058	89.96806096414961	165.16840526228003	0.09948302776800298	6.799515151539003e-07	7.115909357769272e-15	5.654831639837688e-14	3.0355017725509693e-15	5.054409983604785e-13	8.857135064663396e-05	1.7485111864321654e-25	1.209539793151473e-23	1351.608492326325	57.94811121476279	299.81537071733277	1.426583989855882e-11	1.675056158333178e-08	9.875400976334702e-15	3.1697862119400844e-05	4.143350310378962e-15	0.004099966788256802	7.0064919139624916e-09	1.9532236185508904e-13	7.970574294761406e-07	1.1088045737187811e-12	2.144407384825111e-13	9.718097877163763e-05	3.60973418755078e-24	9.88628161093634e-12	3.108852246822447e-10	6.232167981504713e-05	3.189783362961278e-07	2.5214793473590914e-14	7.555627342220576e-17	0.03185685465478224	5.622809417677185e-14	6.953351851229347e-05	0.0002154668850362754	0.00892524481842563	4.831336429416282	48.39150767366172	7.502404489069266e-15	2.4999999832494293	6.389996318127968e-14	7.2001212343084255e-12	5.4311346492265114e-27	4.861992723507932e-17	2.523650057088055e-22	0.0004496263462765874	1.7588084987948868e-28	3.289635679431444e-12	3.275235411439848e-09	29.999999999999723	0.9999999999997742	0.18462928266728101	0.02027959696636113	1.3298032839943402e-14	2.0518887852371503	2.220480653588439e-15
649551.0704088797	9.005113772822701e-05	2.702509175959192e-11	0.00027508904651337123	1.8059288919293093e-10	4.248050034286248e-08	3.2692989607004817e-06	2.482858414422991e-12	3399.999999988114	4.599219993196556e-05	0.699782320558072	19.990976715563857	4.690280229239995e-11	5.785580073266865e-12	9.97906755327853	89.96800630292749	165.16820277726978	0.09929819067077615	1.5715971163651214e-06	3.1981874888053416e-13	2.323517317539574e-12	4.730813667316986e-14	8.589809905471499e-12	0.00014463430319978165	1.2014009615343868e-22	9.036271515608561e-21	1351.6084922868065	57.94811121308474	299.8153707171746	4.739743948991525e-11	6.067669448891017e-08	2.619936856159506e-13	9.479792695675123e-05	1.0934787700420289e-13	0.0037150793709667257	1.6251691652614166e-08	5.505753458134538e-12	2.170463846978473e-06	3.377085661915428e-11	5.774906323472895e-12	0.00013265201883185898	1.5532387406553684e-21	4.365985006384061e-11	1.4960789843442625e-09	9.085326141813885e-05	7.405570277035835e-07	7.272924441040383e-13	3.4147169270332477e-15	0.03185683533299313	2.1531749845245048e-12	6.940427126781386e-05	0.00021546645300007795	0.008925215564350057	4.831330532025788	48.39150771286612	4.340801730244748e-13	2.4999999393232075	2.5904783845160206e-12	2.6097691375090038e-11	4.091160488503148e-24	2.032644279725363e-15	1.1831366784188203e-19	0.0006416919515712092	1.2197978030197497e-25	5.5009577605593034e-11	1.1865117552112265e-08	29.999999999991466	0.9999999999916243	0.18462928282304228	0.020279190593380757	1.0146763358671901e-13	2.0518887869099105	3.6799779681413563e-14
649551.0697673822	0.0001586861204494827	2.2948841818559697e-10	0.0003400878590118732	1.6538345612639883e-09	1.1409530269276792e-07	9.338269723480751e-06	4.240715569386782e-11	3399.999999971259	8.12409748737222e-05	0.6997802602677391	19.990872120830755	3.0910213860905415e-10	6.452030421562984e-11	9.978879056041167	89.96794582425662	165.16795516075422	0.09913969594105283	2.772143391597526e-06	4.115839372105982e-12	2.803265216792109e-11	3.0237684085173757e-13	5.736557638277596e-11	0.0001967289395034283	9.613845846740066e-21	7.6902947430602605e-19	1351.6084922384364	57.94811121105876	299.81537071695254	1.0649952087995792e-10	1.46547375611224e-07	2.4046599342546364e-12	0.00019336657835270169	9.70408705384719e-13	0.0033681618979637144	2.8723535852859188e-08	5.070604306811161e-11	4.159691663449224e-06	3.3333041831126563e-10	5.181404121441265e-11	0.00016432765159804755	8.919609269637978e-20	1.1738415715061294e-10	4.277438345235343e-09	0.00011609201919224836	1.3089846193084882e-06	6.96342332942226e-12	4.4060341414533695e-14	0.03185681395575107	2.5368401957198454e-11	6.929343545786371e-05	0.00021546581943220164	0.008925168928663178	4.831323313091483	48.39150775869159	6.486879980801077e-12	2.499999853452215	3.089575014963317e-11	6.314038905603446e-11	3.495531233864697e-22	2.5754129711991893e-14	7.230604587315626e-18	0.000814601525818342	9.804489352816389e-24	3.645416967732101e-10	2.865932366881164e-08	29.999999999913666	0.9999999999045842	0.1846292830051692	0.02027880749568003	4.128187483905845e-13	2.051888788863813	2.4240835919005514e-13
649551.0690432056	0.0002430813445219609	1.126987477311059e-09	0.00039861762342648755	8.684534379408614e-09	2.378455446932813e-07	2.0362108498846957e-05	3.510895809569885e-10	3399.9999999437823	0.0001246144044467933	0.6997775996841781	19.990729602822043	1.2585198103555507e-09	3.899005346641955e-10	9.97869802266426	89.96787981023624	165.16766680486572	0.09900772817918814	4.2488762023200065e-06	2.7645052785878705e-11	1.7887790349071938e-10	1.2141179741054122e-12	2.353697037463653e-10	0.00024415045822805565	2.508190967860498e-19	2.1011517449445503e-17	1351.6084921750992	57.94811120837089	299.8153707164384	1.9481433183276514e-10	2.8602478333605614e-07	1.2643630236760748e-11	0.00032491529974545865	4.89202224785505e-12	0.003055400257963432	4.407319044561579e-08	2.616662834132528e-10	6.6971797737374305e-06	1.8322347486829372e-09	2.6297880661077305e-10	0.00019284691251210648	1.8002567338576794e-18	2.448451172263744e-10	9.332099786964725e-09	0.00013874049058583304	2.0086824017552962e-06	3.7549197343048496e-11	2.9638930036589374e-13	0.03185679062210741	1.6070155941379064e-10	6.920114014793298e-05	0.00021546500101253456	0.00892510536078109	4.831314901235382	48.39150781020777	4.795661765262891e-11	2.4999997139740193	1.9449509540433518e-10	1.2340161677506044e-10	9.572346262068157e-21	1.7387184145176003e-13	1.5282034931889256e-16	0.0009702440612692212	2.564490093132439e-22	1.4890165933034624e-09	5.5940949514128e-08	29.999999999510187	0.9999999994156045	0.18462928321062755	0.020278439591979457	1.20052587723041e-12	2.0518887910556254	9.90684936731866e-13
649551.0682456231	0.00034166671870528454	3.961266949896865e-09	0.00045146363163334555	3.242759368177151e-08	4.257102213156766e-07	3.7695060876651645e-05	1.8683799739580764e-09	3399.9999999033403	0.0001752993986387958	0.6997743828820413	19.990550761731818	3.817312671838343e-09	1.6173659867249108e-09	9.978520880064453	89.9678087078632	165.16734163813769	0.09890246042271478	5.974275940761805e-06	1.2498599217494822e-10	7.750005661339865e-10	3.670892228404751e-12	7.174879459729735e-10	0.00028708278118925903	3.3154214482326363e-18	2.877767660399309e-16	1351.608492079988	57.94811120376449	299.8153707146955	3.138885535878257e-10	4.895733208596018e-07	4.7250463471375484e-11	0.000486483284916661	1.749368703333719e-11	0.0027733741688881386	6.201261340706696e-08	9.50744146152967e-10	9.726791138448303e-06	7.054158727726273e-09	9.446973060638888e-10	0.00021859524398197327	1.9259924773650568e-17	4.3840278653122516e-10	1.7282030072627902e-08	0.00015916478637819815	2.8265569243382505e-06	1.4268506231891517e-10	1.3413123956363355e-12	0.03185676548981944	6.957632313609282e-10	6.912750629571942e-05	0.00021546401131647357	0.008925025574760322	4.831305411496235	48.39150786607968	2.3134379720653018e-10	2.4999995104238497	8.291425655677399e-10	2.1142979538534755e-10	1.3130001594938644e-19	7.970998179959977e-13	1.6929869329576293e-15	0.0011103190712075887	3.395513057689278e-21	4.525861653779544e-09	9.575966200221856e-08	29.999999998048967	0.9999999975534916	0.1846292834362027	0.020278079618514855	2.832937195049231e-12	2.051888793411693	3.0301449452654212e-12
649551.067382944	0.00045305860810459467	1.112672585688377e-08	0.0004992355769310675	9.624118289583384e-08	6.885457200553153e-07	6.256821894080315e-05	7.3910002016741e-09	3399.9999998473786	0.00023258490968027746	0.6997706474256913	19.990337207476067	9.501501380773743e-09	5.2072507188388974e-09	9.978344409368132	89.96773297487508	165.16698318545662	0.09882406023777653	7.92409423038935e-06	4.3344857909427964e-10	2.591786551015064e-09	9.172970400457786e-12	1.792094327521542e-09	0.00032590495730216095	2.77142694739788e-17	2.4729896536000626e-15	1351.608491917368	57.948111193669256	299.8153707089313	4.6402594829978355e-10	7.666220625896014e-07	1.403163535456424e-10	0.0006752186151366846	4.97365932736294e-11	0.0025190143624213043	8.228993670965749e-08	2.734315094567822e-09	1.3199962124245634e-05	2.1398382045295415e-08	2.6946502735460763e-09	0.0002418705052774582	1.347137270481345e-16	7.09258544658643e-10	2.8692640070267162e-08	0.00017761801711727385	3.751073869905899e-06	4.287500460009961e-10	4.6547993493137636e-12	0.03185673872058249	2.3316110764579525e-09	6.907265102984544e-05	0.00021546286191256316	0.008924930289382195	4.83129494708946	48.39150792448111	8.395790678820305e-10	2.499999233372144	2.7219479573717363e-09	3.313254546965389e-10	1.1294867698021281e-18	2.8139255559025494e-12	1.2165010441732062e-14	0.0012363561111281432	2.841672725610825e-20	1.1281495167716765e-08	1.4996338686812322e-07	29.999999993873992	0.9999999920708011	0.18462928367782078	0.02027772103162725	5.796637552698892e-12	2.0518887957797127	7.63357075143053e-12
649551.0664625192	0.0005760201379081299	2.6629438388055102e-08	0.000542454889636646	2.422589506286465e-07	1.0363020746269903e-06	9.610131870560616e-05	2.3651613783117037e-08	3399.999999772789	0.00029583717815988384	0.6997664262112769	19.990090417193255	2.053058950109764e-08	1.3980959501865026e-08	9.978165708117245	89.9676530378374	165.16659461431328	0.09877269058316375	1.0076655567682536e-05	1.2438148066646578e-09	7.206187712171511e-09	1.9994481105680726e-11	3.882229054838293e-09	0.0003610131724831408	1.6722408563532618e-16	1.5253473070187578e-14	1351.608491622838	57.94811116983134	299.81537069241915	6.446360634876207e-10	1.1256800554184453e-06	3.533586434232324e-10	0.0008885070188187304	1.2010400541599038e-10	0.0022895652424391733	1.0468067646548819e-07	6.6600890157931535e-09	1.7073609979649298e-05	5.475097024626503e-08	6.522914562322059e-09	0.0002629270161463847	6.964120567912549e-16	1.0676782148105181e-09	4.407819252850185e-08	0.00019430682613354533	4.771922868069844e-06	1.0892208251591983e-09	1.336396890106557e-11	0.031856710465119675	6.503512862510245e-09	6.903668825881399e-05	0.00021546156293122674	0.008924820164246465	4.831283600764552	48.391507982584116	2.489107540871128e-09	2.4999988743092527	7.414966549379733e-09	4.867930853718179e-10	6.97201283999132e-18	8.232861282743036e-12	6.423710869181967e-14	0.0013497321978303118	1.716088820603458e-19	2.440279332444331e-08	2.202207872368539e-07	29.9999999837818	0.9999999786040739	0.18462928392925823	0.020277357930916378	1.0694727246956149e-11	2.0518887978448714	1.6739277011572597e-11
649551.0654907753	0.0007094404637852962	5.654423097278798e-08	0.0005815822614284349	5.389000112958557e-07	1.4782377870658173e-06	0.00013931891696040126	6.458020995722172e-08	3399.999999675458	0.0003644879828270713	0.6997617482013465	19.989811704685273	3.9904674282341526e-08	3.276024857322337e-08	9.977982157770985	89.96756928404534	165.16617877308133	0.09874850948084073	1.241249333481877e-05	3.097656750169632e-09	1.7454255675553788e-08	3.9332258753209424e-11	7.560528355979823e-09	0.00039277728718571236	7.9082998886847e-16	7.342847985846917e-14	1351.6084910920058	57.948111115715626	299.8153706512395	8.545051160897304e-10	1.5744316824410901e-06	7.86300263945919e-10	0.0011239840911680284	2.567806965817159e-10	0.002082551816888057	1.289835649655292e-07	1.4334915702842128e-08	2.1309145003784437e-05	1.2334116487199618e-07	1.3972200493314879e-08	0.0002819893552338895	2.872976384447844e-15	1.5232136134700875e-09	6.390922661147316e-08	0.00020941102605839186	5.879843461776745e-06	2.440159613088842e-09	3.329493579996131e-11	0.031856680860296374	1.5808544426976934e-08	6.901972844173256e-05	0.00021546012329158595	0.008924695786057028	4.8312714559274195	48.39150803622787	6.348421960983715e-09	2.4999984255500785	1.7570477339836422e-08	6.811829686026226e-10	3.35820026109846e-17	2.0914621218354353e-11	2.6953703463811733e-13	0.0014516873804584721	8.12095348262289e-19	4.746965338707548e-08	3.0803985049744655e-07	29.99999996222513	0.9999999496692742	0.18462928418013327	0.020276984993170325	1.8241919683551526e-11	2.051888799002509	3.308115076114845e-11
