time	EmptySet	u	z	v
0.0	1.0	0.0	0.0	0.0
1.0	1.0	9.869205484056851e-05	0.014865801514104597	0.014964493568945166
2.0	1.0	0.0003025189934868673	0.02946623283344072	0.02976875182692759
3.0	1.0	0.0005426389894848118	0.043805154860857086	0.0443477938503419
4.0	1.0	0.0007944078385983869	0.05788535465534385	0.05867976249394224
5.0	1.0	0.0010494171251633046	0.07170855191765492	0.07275796904281823
6.0	1.0	0.0013051775244274572	0.08527552503610371	0.08658070256053116
7.0	1.0	0.0015613397214836414	0.09858614986363187	0.10014748958511552
8.0	1.0	0.0018183273389352954	0.11163942577867055	0.11345775311760584
9.0	1.0	0.0020768504067922217	0.12443347555364946	0.12651032596044168
10.0	1.0	0.0023377443449965297	0.1369655210387587	0.13930326538375523
11.0	1.0	0.0026019122336440295	0.1492318419108642	0.15183375414450823
12.0	1.0	0.0028703216217240515	0.16122771371973604	0.16409803534146009
13.0	1.0	0.003144031306256947	0.1729473145268763	0.17609134583313327
14.0	1.0	0.0034242141679385733	0.1843835980786577	0.18780781224659626
15.0	1.0	0.0037121772166107555	0.1955281443000142	0.19924032151662496
16.0	1.0	0.004009410481435088	0.2063709500107782	0.2103803604922133
17.0	1.0	0.004317646242274102	0.21690016472449242	0.22121781096676651
18.0	1.0	0.004638930117801634	0.22710174368237354	0.23174067380017518
19.0	1.0	0.0049757257113831645	0.23695899151299454	0.2419347172243777
20.0	1.0	0.0053310686975120945	0.24645189594690842	0.2517829646444205
21.0	1.0	0.005708756397455242	0.25555630903881926	0.2612650654362745
22.0	1.0	0.006113671372544284	0.2642426754935748	0.27035634686611903
23.0	1.0	0.006552183440918468	0.2724743314990568	0.27902651493997527
24.0	1.0	0.007032914351065356	0.28020495466386786	0.2872378690149332
25.0	1.0	0.007567940401475334	0.2873746044551772	0.29494254485665256
26.0	1.0	0.0081748627787025	0.29390318982102615	0.30207805259972864
27.0	1.0	0.008880617224466786	0.2996793634562701	0.30855998068073687
28.0	1.0	0.009729062136609293	0.3045404700298189	0.31426953216642817
29.0	1.0	0.010797454430077765	0.3082317553442982	0.319029209774376
30.0	1.0	0.012237438547623531	0.3103150770616509	0.32255251560927445
31.0	1.0	0.014395261781034278	0.30992544514024506	0.32432070692127934
32.0	1.0	0.018273482308559144	0.3049394204224499	0.32321290273100906
33.0	1.0	0.0283557899263164	0.28754209228006766	0.31589788220638404
34.0	1.0	0.10433322567404854	0.1759779666349122	0.28031119230896073
35.0	1.0	0.1284267667799929	0.0049546842993577755	0.13338145107935068
36.0	1.0	0.05252582305315315	0.010943800576758908	0.06346962362991206
37.0	1.0	0.021490304083971054	0.02224323068055157	0.04373353476452262
38.0	1.0	0.008840313937405156	0.035678386676296664	0.04451870061370182
39.0	1.0	0.003907703739911577	0.0496335652078447	0.05354126894775627
40.0	1.0	0.002143639593879261	0.06353060338882252	0.06567424298270177
41.0	1.0	0.0016281865487124275	0.07722140366231406	0.07884959021102649
42.0	1.0	0.0015911990818317278	0.09067197526434212	0.09226317434617384
43.0	1.0	0.0017358800680841316	0.10387261815708554	0.10560849822516967
44.0	1.0	0.0019503199870825035	0.11681855061702177	0.11876887060410428
45.0	1.0	0.002192854522061665	0.1295059199994639	0.13169877452152556
46.0	1.0	0.0024482426660860446	0.14193075484993795	0.14437899751602398
47.0	1.0	0.0027112683478295865	0.15408851981463548	0.15679978816246506
48.0	1.0	0.00298054744982551	0.1659738467156625	0.16895439416548802
49.0	1.0	0.0032562347364243514	0.17758033155195893	0.1808365662883833
50.0	1.0	0.003539169860855119	0.18890034749462156	0.19243951735547668
51.0	1.0	0.003830569488749205	0.19992484310458417	0.20375541259333338
52.0	1.0	0.004131954815540372	0.2106430844476612	0.21477503926320157
53.0	1.0	0.004445151640352842	0.22104236802046293	0.22548751966081576
54.0	1.0	0.004772350147594254	0.23110763996841824	0.2358799901160125
55.0	1.0	0.005116207798849418	0.24082098591426682	0.24593719371311623
56.0	1.0	0.005480035582590749	0.2501608426260258	0.25564087820861653
57.0	1.0	0.005868014566071111	0.2591010291514704	0.2649690437175415
58.0	1.0	0.006285553463396983	0.26760939390191824	0.2738949473653152
59.0	1.0	0.006739824580482222	0.2756457961591021	0.28238562073958434
60.0	1.0	0.00724066603369208	0.2831590563473707	0.29039972238106276
61.0	1.0	0.007802076750533648	0.29008202460713634	0.29788410135766996
62.0	1.0	0.008444791184360131	0.2963237034089428	0.30476849459330296
63.0	1.0	0.009201281658693756	0.3017553978031253	0.3109566794618191
64.0	1.0	0.010126065350611911	0.30618410758290715	0.31631017293351904
65.0	1.0	0.011318925038016698	0.3092971892501059	0.3206161142881226
66.0	1.0	0.012986685797393203	0.3105300119823358	0.323516697779729
67.0	1.0	0.0156417225556037	0.30868154996564484	0.32432327252124854
68.0	1.0	0.020988684577351202	0.30039782553063415	0.32138651010798536
69.0	1.0	0.03939960495954361	0.2691990819532597	0.3085986869128033
70.0	1.0	0.19345497007783113	0.02940951617500348	0.22286448625283461
71.0	1.0	0.08966734587045273	0.00635119659219488	0.09601854246264761
72.0	1.0	0.03668501235034099	0.015071105534291092	0.05175611788463208
73.0	1.0	0.014998168627697588	0.02750974375562494	0.04250791238332253
74.0	1.0	0.006269869507284104	0.041275497648591813	0.047545367155875914
75.0	1.0	0.0029632854451927134	0.05524134260808804	0.05820462805328075
76.0	1.0	0.001845546794569731	0.06906322546788464	0.07090877226245437
77.0	1.0	0.00157880515433583	0.08265933890182765	0.08423814405616348
78.0	1.0	0.0016362390472424925	0.09601014269824544	0.09764638174548794
79.0	1.0	0.0018169679450914828	0.1091088548074091	0.11092582275250058
80.0	1.0	0.0020456559960827445	0.12195127886990564	0.1239969348659884
81.0	1.0	0.0022944128897384847	0.13453358853726805	0.13682800142700652
82.0	1.0	0.002553209084206841	0.1468516250648192	0.14940483414902603
83.0	1.0	0.002818801531187224	0.15890054550306143	0.16171934703424864
84.0	1.0	0.003090590788197084	0.17067458795194723	0.17376517874014433
85.0	1.0	0.0033690665522286135	0.18216687924451008	0.18553594579673868
86.0	1.0	0.0036552404482425365	0.19336924539999106	0.1970244858482336
87.0	1.0	0.003950461554455031	0.20427199447584798	0.208222456030303
88.0	1.0	0.004256365240413299	0.2148636508917194	0.21912001613213272
89.0	1.0	0.004574902260442922	0.22513062610873322	0.22970552836917613
90.0	1.0	0.004908430829406974	0.23505678288819692	0.2399652137176039
91.0	1.0	0.005259870598447389	0.2446228072700531	0.24988267786850046
92.0	1.0	0.005632856369930394	0.2538054099593074	0.2594382663292378
93.0	1.0	0.006031986775786604	0.26257623698961574	0.26860822376540233
94.0	1.0	0.006463291591168855	0.2709002603512968	0.27736355194246565
95.0	1.0	0.006934935211047935	0.27873326190737613	0.28566819711842406
96.0	1.0	0.007458160939285023	0.28601833835071494	0.29347649928999997
