time	Br	Ce	HBrO2	BrO3	HOBr
0.0	1e-07	0.05	5e-11	0.06	0.0
1.0	0.028812197941813656	0.018393995402766067	-3.12923845178576e-11	0.06	0.0
2.0	0.035131879190679664	0.006766800421319487	9.934743270587909e-11	0.06	0.0
3.0	0.03381274373113816	0.0024894114177394667	-2.767777831739473e-11	0.06	0.0
4.0	0.030224759202049065	0.00091582758603266	5.0304710350522614e-11	0.06	0.0
5.0	0.02626297110633231	0.00033692800171283355	5.103506424032551e-11	0.06	0.0
6.0	0.02255606696802397	0.00012396646500505265	1.0866684927174412e-10	0.06	0.0
7.0	0.019277061426582243	4.5621308764256664e-05	4.999642865703894e-11	0.06	0.0
8.0	0.016439967428240294	1.6797980315102507e-05	6.63279156933621e-11	0.06	0.0
9.0	0.01400767867604583	6.1953481569942096e-06	5.154699623180436e-11	0.06	0.0
10.0	0.011930567975457065	2.293910882191296e-06	5.0068136310353156e-11	0.06	0.0
11.0	0.010159739898482066	8.595243536671123e-07	5.045280096546909e-11	0.06	0.0
12.0	0.008651117576969375	3.31161869068168e-07	4.882129149550646e-11	0.06	0.0
13.0	0.007366276034432343	1.3749324302426994e-07	4.737602486169427e-11	0.06	0.0
14.0	0.006272171828335881	6.607453150071914e-08	4.768499129569667e-11	0.06	0.0
15.0	0.005340546502286348	3.94257564468647e-08	4.771747592126634e-11	0.06	0.0
16.0	0.004547291489181666	2.9787700400520315e-08	4.2648661784181475e-11	0.06	0.0
17.0	0.0038718589937178543	2.52603317840711e-08	4.236491748548266e-11	0.06	0.0
18.0	0.0032967462548692413	2.4664517165309244e-08	4.921345245686437e-11	0.06	0.0
19.0	0.002807058833364462	2.4309174752270516e-08	5.101947616382551e-11	0.06	0.0
20.0	0.0023901088744136033	2.4239222026142743e-08	4.978329237944988e-11	0.06	0.0
21.0	0.002035091224976197	2.4078415478932362e-08	4.573772135194556e-11	0.06	0.0
22.0	0.00173280581600313	2.390983903509435e-08	4.013866137642949e-11	0.06	0.0
23.0	0.0014754162787102684	2.549440225632758e-08	5.025647026728335e-11	0.06	0.0
24.0	0.0012562642149446988	2.4631817689660816e-08	5.02853075591966e-11	0.06	0.0
25.0	0.0010696655725299764	2.4313831250280856e-08	5.028034542078913e-11	0.06	0.0
26.0	0.0009107845767663069	2.4194854000836097e-08	5.022154584292814e-11	0.06	0.0
27.0	0.0007755022926458032	2.4167512503043598e-08	5.0397508983066694e-11	0.06	0.0
28.0	0.000660310057987207	2.4069107967059335e-08	4.9598154244415117e-11	0.06	0.0
29.0	0.0005622285121350317	2.4194784842296557e-08	5.225453842254417e-11	0.06	0.0
30.0	0.0004787155010834775	2.47396068657013e-08	4.8688825565408763e-11	0.06	0.0
31.0	0.00040761226275535633	1.9979783261443692e-08	2.975061181549624e-11	0.06	0.0
32.0	0.00034706361186054627	2.307848179153756e-08	4.942427470012935e-11	0.06	0.0
33.0	0.0002955112759519061	2.3801195436532245e-08	5.1433286292272896e-11	0.06	0.0
34.0	0.0002516169239400404	2.411947124221679e-08	5.098639141894688e-11	0.06	0.0
35.0	0.00021424293735558712	2.4172098347047746e-08	5.341333227453677e-11	0.06	0.0
36.0	0.00018242009760005592	2.468984911416736e-08	6.057202956041497e-11	0.06	0.0
37.0	0.0001553230881909582	2.5658060874347827e-08	4.847133002786133e-11	0.06	0.0
38.0	0.0001322527586067235	2.467411249827287e-08	5.040496940237952e-11	0.06	0.0
39.0	0.00011260888734528727	2.4324777842101468e-08	5.161799693572816e-11	0.06	0.0
40.0	9.588247193379933e-05	2.4327734085440368e-08	5.86210648953922e-11	0.06	0.0
41.0	8.164117497360582e-05	2.3573111885372124e-08	5.214036433045219e-11	0.06	0.0
42.0	6.951448202396764e-05	2.3443023931609224e-08	5.0764946039193833e-11	0.06	0.0
43.0	5.918918948726943e-05	2.3487673323599557e-08	4.784446976695093e-11	0.06	0.0
44.0	5.0397430165341667e-05	2.3718004752271737e-08	4.411534308556081e-11	0.06	0.0
45.0	4.291171485275927e-05	2.3731512383663e-08	4.751713327179307e-11	0.06	0.0
46.0	3.653802849722159e-05	2.351698853584066e-08	6.279624360242838e-11	0.06	0.0
47.0	3.110989226352224e-05	2.4564911840594435e-08	5.0344955685945974e-11	0.06	0.0
48.0	2.6489168047478053e-05	2.4390497988199953e-08	5.1403674490123505e-11	0.06	0.0
49.0	2.255483923382874e-05	2.4176672108090662e-08	4.668630517439585e-11	0.06	0.0
50.0	1.9204128820001488e-05	2.4722401156173136e-08	5.632669140415689e-11	0.06	0.0
51.0	1.635039303652568e-05	2.5998311166573816e-08	6.072999555810826e-11	0.06	0.0
52.0	1.3922946844987308e-05	2.4587066377064695e-08	5.111786774861742e-11	0.06	0.0
53.0	1.1854747867867761e-05	2.475257821449887e-08	5.1830899179789295e-11	0.06	0.0
54.0	1.0093868339349845e-05	2.47788387120382e-08	5.238211294810964e-11	0.06	0.0
55.0	8.594573842335047e-06	2.477888475720643e-08	5.255468198482118e-11	0.06	0.0
56.0	7.318265014157174e-06	2.450519770022164e-08	4.6612556364009646e-11	0.06	0.0
57.0	6.230750983409238e-06	2.503707904254358e-08	5.218539157387719e-11	0.06	0.0
58.0	5.3046932353725864e-06	2.5671005361760205e-08	5.331531673226246e-11	0.06	0.0
59.0	4.516504008665407e-06	2.592847464039997e-08	6.100368893389527e-11	0.06	0.0
60.0	3.8463846985625395e-06	2.5179297756899115e-08	8.754728305360042e-11	0.06	0.0
61.0	3.274102467261494e-06	2.627886010997834e-08	5.5307010948807983e-11	0.06	0.0
62.0	2.7872928527599777e-06	2.6614693275268306e-08	5.627831978259254e-11	0.06	0.0
63.0	2.372870978073577e-06	2.7076872069031177e-08	5.752824398335772e-11	0.06	0.0
64.0	2.0200011355314095e-06	2.7694515078801985e-08	5.916104358647876e-11	0.06	0.0
65.0	1.7193931023223246e-06	2.846540519758728e-08	6.106200885770167e-11	0.06	0.0
66.0	1.4632639815289032e-06	2.9401909368117963e-08	6.340074636521846e-11	0.06	0.0
67.0	1.244945378900323e-06	3.0569036569613145e-08	6.641678883799808e-11	0.06	0.0
68.0	1.058716237600993e-06	3.2072086072686774e-08	7.038040122846485e-11	0.06	0.0
69.0	8.997138006423197e-07	3.403968903588645e-08	7.559354115815328e-11	0.06	0.0
70.0	7.637403187318707e-07	3.6636009398112894e-08	8.252179257457239e-11	0.06	0.0
71.0	6.471141561702363e-07	4.013358461307312e-08	9.208913464453182e-11	0.06	0.0
72.0	5.464648941789829e-07	4.5083684177471634e-08	1.0624489176659798e-10	0.06	0.0
73.0	4.5840118334674774e-07	5.25858309908913e-08	1.2882855794933931e-10	0.06	0.0
74.0	3.790436298252314e-07	6.480193791160135e-08	1.6740574282375932e-10	0.06	0.0
75.0	1.2846255042357136e-08	0.00011866112744168173	5.755979483516837e-06	0.06	0.0
76.0	0.00032395117266915946	0.0004116307884794344	5.104271768733562e-11	0.06	0.0
77.0	0.0005130163559161488	0.00015144653565866517	5.031494191800157e-11	0.06	0.0
78.0	0.0005240694836523877	5.5729799243369595e-05	5.8047512219958577e-11	0.06	0.0
79.0	0.0004783255551555811	2.0516862160022965e-05	5.0252170012506176e-11	0.06	0.0
80.0	0.00041908552437317143	7.562534349437574e-06	5.0272163528540125e-11	0.06	0.0
81.0	0.0003611795755213603	2.7972860368452254e-06	5.1380667757172387e-11	0.06	0.0
82.0	0.000309126404184915	1.0467690235151987e-06	7.01219493511476e-11	0.06	0.0
83.0	0.0002637987496584992	4.0038029210362595e-07	3.518300026044242e-11	0.06	0.0
84.0	0.00022483061120341966	1.6283962690387943e-07	5.032178222549709e-11	0.06	0.0
85.0	0.00019151477066072862	7.528398237613291e-08	5.0326301161732085e-11	0.06	0.0
86.0	0.00016309729505882705	4.3028270615039795e-08	5.032923719753954e-11	0.06	0.0
87.0	0.0001388821129120773	3.1099645198513695e-08	5.047420257356309e-11	0.06	0.0
88.0	0.00011825688619932588	2.6667103201850532e-08	4.9933275529539624e-11	0.06	0.0
89.0	0.00010069194728423723	2.5701348109478295e-08	5.557435803560411e-11	0.06	0.0
90.0	8.573474587618763e-05	2.6181465776047193e-08	5.0157418972032313e-11	0.06	0.0
91.0	7.300189051872732e-05	2.3860770682672792e-08	5.16381405347247e-11	0.06	0.0
92.0	6.215790964372775e-05	2.438741511314892e-08	5.2095523585857616e-11	0.06	0.0
93.0	5.29249277047451e-05	2.475209724329099e-08	5.3266756216642236e-11	0.06	0.0
94.0	4.506442737779735e-05	2.390973902897255e-08	4.3447205076150833e-11	0.06	0.0
95.0	3.83705310752316e-05	2.394699985505247e-08	5.064603549342075e-11	0.06	0.0
96.0	3.266997459627645e-05	2.4188879654457992e-08	5.071923292159937e-11	0.06	0.0
97.0	2.781721192646849e-05	2.4300236691865797e-08	5.078933804354467e-11	0.06	0.0
98.0	2.368538042734782e-05	2.437010642114978e-08	5.0902462215997666e-11	0.06	0.0
99.0	2.016711491021692e-05	2.4418768134434188e-08	5.0927187229287374e-11	0.06	0.0
100.0	1.717114101883892e-05	2.451261815974457e-08	5.136871592889352e-11	0.06	0.0
