time	EGFR	L_EGFR	L_EGFR_dimer	SOS	L_dpEGFR	pSOS	SOS_Grb2	Grb2	Dok	pDok	Crk	FRS2	Shc	pSOS_Grb2	Rap1_GDP	MEK	MKP3	pShc_dpEGFR	dpEGFR_c_Cbl	B_Raf_Rap1_GTP	pShc_dpEGFR_c_Cbl	pFRS2_dpEGFR_c_Cbl	Shc_dpEGFR	c_Cbl	RasGAP	c_Raf	B_Raf	ERK	PP2A	Ras_GDP	Rap1GAP	C3G	NGFR	pShc	pFRS2_dpEGFR	pTrkA_endo	MEK_ERK	pMEK_ERK	FRS2_dpEGFR_c_Cbl_ubiq	Crk_C3G_pFRS2_dpEGFR_c_Cbl	pShc_dpEGFR_c_Cbl_ubiq	Crk_C3G_pFRS2_dpEGFR	Grb2_SOS_pShc_dpEGFR_c_Cbl_ubiq	Grb2_SOS_pShc_dpEGFR_c_Cbl	Shc_dpEGFR_c_Cbl_ubiq	dpEGFR_c_Cbl_ubiq	proteosome	Grb2_SOS_pShc	Shc_dpEGFR_c_Cbl	Grb2_SOS_pShc_dpEGFR	pFRS2	FRS2_dpEGFR	pDok_RasGAP	pMEK	FRS2_dpEGFR_c_Cbl	pFRS2_dpEGFR_c_Cbl_ubiq	Ras_GTP	Crk_C3G_pFRS2_dpEGFR_c_Cbl_ubiq	c_Raf_Ras_GTP	B_Raf_Ras_GTP	ppMEK	ppERK	pTrkA	Crk_C3G	Rap1_GTP	L_NGFR	ppMEK_ERK	dppERK	Shc_pTrkA	Shc_pTrkA_endo	pShc_pTrkA	pFRS2_pTrkA	FRS2_pTrkA	pShc_pTrkA_endo	FRS2_pTrkA_endo	pFRS2_pTrkA_endo	Crk_C3G_pFRS2_pTrkA_endo	Grb2_SOS_pShc_pTrkA	Crk_C3G_pFRS2_pTrkA	Grb2_SOS_pShc_pTrkA_endo	c_Raf_Ras_GTP_MEK	c_Raf_Ras_GTP_pMEK	c_Raf_Ras_GTP_MEK_ERK	c_Raf_Ras_GTP_pMEK_ERK	B_Raf_Ras_GTP_MEK	B_Raf_Ras_GTP_pMEK	B_Raf_Ras_GTP_MEK_ERK	B_Raf_Ras_GTP_pMEK_ERK	B_Raf_Rap1_GTP_MEK	B_Raf_Rap1_GTP_pMEK	B_Raf_Rap1_GTP_MEK_ERK	B_Raf_Rap1_GTP_pMEK_ERK	ppERK_MKP3	dppERK_MKP3	pro_TrkA	NGF	EGF	pro_EGFR	degradation
0.0	0.3	0.0	0.0	0.1	0.0	0.0	0.0	1.0	0.3	0.0	1.0	1.0	1.0	0.0	0.2	0.68	0.018	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.1	0.5	0.2	0.26	0.24	0.1	0.012	0.5	0.061894	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.020631	0.0	0.001613	0.3	0.0
1.0	0.29889882561299935	0.0010932234310236848	1.8638140221344808e-06	0.09707338962212005	5.567511887225745e-07	1.4800640421702165e-49	0.0029266093319725967	0.9970733896221194	0.2999969325677058	3.049425024326765e-06	0.7178717304580325	0.9999998563213514	0.9999985632146111	4.648758583194913e-50	0.19999999999692106	0.4401144235720558	0.018	2.205852245638876e-07	1.1003621376515656e-08	1.1165581076051058e-12	2.0444618298030914e-08	1.955286249936979e-09	1.118270813132321e-06	0.4999998912717466	0.09999998199272989	0.4999999998735451	0.19999999994809145	0.020114423625043888	0.24	0.09999999978869442	0.012	0.2178717304580327	0.06189399889713315	8.263005432786299e-09	2.1267810475459612e-08	0.0	0.23988557634609112	1.2607843694426835e-12	6.150934127293135e-11	1.0219037820665477e-10	1.5396719083533812e-10	9.031235307478705e-10	5.776174968515546e-13	1.0001129701258888e-10	6.15093221346879e-10	1.2846839068435114e-10	1.4827783721714913e-13	5.483754281678778e-11	6.740676019481112e-08	8.904808911832886e-10	8.054164042663308e-10	1.1182716241542288e-07	1.8007270214296623e-08	2.3153052933828676e-12	6.7406795923842815e-09	1.485429262574291e-11	3.4769076062852876e-11	6.162453984853577e-13	6.415621132424638e-11	3.4813974753416375e-11	3.386492790521795e-24	1.3790267156112623e-26	0.0	0.28212826853603695	1.2521884576052234e-12	0.0	1.8226738728984807e-24	3.787618833253414e-46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.032869924873385e-11	1.1464473716211482e-22	2.1969804284560997e-11	6.240449569600938e-23	9.883934298634996e-12	2.664277084736521e-23	5.383844889516697e-12	1.4501944589338492e-23	4.598288524679004e-13	1.2581252365368617e-24	2.504817405328227e-13	6.8481710632571e-25	1.7938733621732962e-28	1.3180737748444502e-47	0.020631	0.0	0.001613	0.3	0.0
2.0	0.2978049777706558	0.0021331827777621645	8.952319855293476e-06	0.09428846942483839	3.1534350087181472e-06	5.266391020804835e-43	0.005711435609268809	0.9942884694248378	0.2999924870346614	7.435350303609449e-06	0.6132894435376688	0.9999982494040018	0.9999824942263275	3.217129205084153e-44	0.19999999958621756	0.4400647871907178	0.018	4.371530239261494e-06	9.347052821951245e-08	1.4156166785439722e-10	7.482309106105753e-07	6.629264017987152e-08	1.0776716214459915e-05	0.49999781869030097	0.09999992238496488	0.49999997432172394	0.19999998960829832	0.020064802095543986	0.24	0.0999999609535743	0.012	0.11328944353766895	0.06189399779457264	3.822319921085435e-07	3.9696282478757637e-07	0.0	0.23993518977796932	7.235628810691742e-10	2.2422508825250623e-09	1.069790238854783e-08	1.2439366479817714e-08	4.993653027311465e-08	1.8578595543367222e-10	1.4810338703662061e-08	2.2422415621278114e-08	2.2858875929540424e-09	1.2915957239731698e-11	1.015415405562103e-08	1.0972366404019974e-06	6.981561510425832e-08	3.578670450910232e-08	1.0776821132163e-06	7.761503522886896e-08	1.3270874812242564e-09	1.097244593017346e-07	1.1263547361646232e-09	3.292564039146695e-09	1.4421824557202797e-10	9.550184043514e-09	5.397580053874723e-09	1.166395576858955e-18	9.73096447297627e-21	0.0	0.3867104956836861	9.76665194072191e-11	0.0	6.221742030499458e-19	1.2359560041822071e-39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0437368386700864e-08	1.8442375292081705e-17	5.6907233728348715e-09	1.0055225004180056e-17	3.027394827964455e-09	4.809976849138888e-18	1.6506109237931415e-09	2.6225117592137495e-18	1.1296366785959361e-10	1.8372992990429343e-19	6.159065410916878e-11	1.0017387559562423e-19	2.5878691344698233e-22	3.7664459452749614e-41	0.020631	0.0	0.001613	0.3	0.0
3.0	0.2967182126989147	0.003082364278126161	2.0387646880484796e-05	0.0916379299740766	7.826126086476101e-06	6.973399046073241e-38	0.00836097387784853	0.9916379299740761	0.2999825123501131	1.727152838694495e-05	0.5637016049025443	0.999993198405256	0.9999319871428207	5.394826150237723e-39	0.19999999441750047	0.4400644325256423	0.018	2.0300610890799134e-05	3.304649365439094e-07	1.7217375539309649e-09	4.870232190478673e-06	4.0248119693809686e-07	3.390277744459786e-05	0.4999886879614649	0.0999997838784999	0.49999954250734496	0.1999998168134947	0.020064743049144122	0.24	0.09999932665788479	0.012	0.06370160490254426	0.06189399669231837	2.9686621285416813e-06	1.7474566386910667e-06	0.0	0.23993508764353866	2.2517893122603485e-08	1.5168709115827932e-08	1.1765712419558931e-07	1.3078752624990494e-07	3.863882949211719e-07	4.262606315888162e-09	2.1236920154280063e-07	1.5168438818359638e-07	1.2035750474662114e-08	1.598572517710513e-10	1.7468203180312205e-07	4.59195448944844e-06	7.048342810541573e-07	2.69086400411652e-07	3.390415964382877e-06	2.1612150018586372e-07	4.129943011599956e-08	4.5921000948650266e-07	1.114247843009333e-08	3.7344873292290646e-08	2.5879279187641347e-09	1.4343086545978274e-07	7.951333845781697e-08	1.2245393604133117e-15	1.582644236122472e-17	0.0	0.43629788846426093	9.005812490639785e-10	0.0	6.465051719476798e-16	2.1787037122867387e-34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.032462474551057e-07	1.2099050147160122e-14	1.1081552318526069e-07	6.596854699215249e-15	6.406254909067488e-08	3.3184823716100827e-15	3.4928694410897684e-08	1.809361697164621e-15	1.9156917318039433e-09	1.0266919175790826e-16	1.0444888915170503e-09	5.597910847392566e-17	6.562016026646575e-19	5.083932398237789e-36	0.020631	0.0	0.001613	0.3	0.0
4.0	0.29563819517392886	0.003916350091027801	3.44715791016442e-05	0.08911485181518695	1.4126467862799755e-05	2.710636991891024e-33	0.01087951845531448	0.9891148518151864	0.29996038294827676	3.9082117709879864e-05	0.5374760565878389	0.9999829636225723	0.9998296569020048	3.3219041735636384e-34	0.1999999689439435	0.4400623132498298	0.01799999999999987	5.412012032397765e-05	8.169917650830451e-07	8.798400588031142e-09	1.6269735035197204e-05	1.2763747953978305e-06	7.011423377293933e-05	0.49996578218425697	0.09999946506598659	0.4999968544234614	0.19999874958190123	0.02006468687359488	0.24	0.09999544564070612	0.012	0.037476056587838945	0.06189399559037023	1.1474133612239957e-05	4.474712253580691e-06	0.0	0.23993401895878813	2.2643818503287032e-07	5.3972722809774026e-08	5.483216243637867e-07	6.207555581902695e-07	1.4249492706144545e-06	3.449986812684995e-08	1.2181643215568358e-06	5.397009214658467e-07	3.946921482023801e-08	9.028652131871378e-10	1.1746090531436264e-06	1.1574689199963096e-05	3.2024563283065004e-06	1.0207236546001102e-06	7.012182390360235e-06	5.349340134854614e-07	4.1530982811467655e-07	1.157570730793764e-06	5.0338270106122274e-08	1.8567296074948314e-07	1.7231715479579765e-08	8.857159693455053e-07	4.7543771601906904e-07	1.3224304284391607e-13	2.314248145468982e-15	0.0	0.46252195290973364	3.747752480348289e-09	0.0	6.900292738246008e-14	6.407890090623224e-30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4624764518646612e-06	9.323822354825053e-13	7.973826763397764e-07	5.083606168312362e-13	4.838585713332498e-07	2.6321549371713566e-13	2.6381310072613906e-07	1.435124381883052e-13	1.1978747166871372e-08	6.812044492063058e-15	6.531145784246733e-09	3.714116103837244e-15	1.3076196354458537e-16	2.040890965012945e-31	0.020631	0.0	0.001613	0.3	0.0
5.0	0.294564539954377	0.00462477765945776	4.948525121754571e-05	0.08671264342990044	2.1464595482207452e-05	6.579438954889122e-30	0.013268602513116732	0.9867126434299002	0.2999180346235438	8.074383726838956e-05	0.5228032198957262	0.9999662294391586	0.9996623793990216	9.883365243356141e-31	0.19999989128902199	0.44005409653076727	0.017999999999993244	0.00010778644107195365	1.6354123599657013e-06	2.8847457172775792e-08	3.825001592191986e-05	2.9025527676758436e-06	0.00011647568654143641	0.4999226361215143	0.09999877846081213	0.4999869772692659	0.19999484912089752	0.02006478657761603	0.24	0.09998132902827163	0.012	0.022803219895726277	0.06189399448872816	3.0574256650860316e-05	8.674081147768718e-06	0.0	0.239929384917302	1.2522496462796561e-06	1.373584657754119e-07	1.6398564443919877e-06	1.9335529282256554e-06	3.5922985119716744e-06	1.601528835928155e-07	4.291830013191464e-06	1.373441514457125e-06	9.919368046153614e-08	3.3356334698854793e-09	4.773664530788388e-06	2.2473149294355036e-05	9.528409627611967e-06	2.7068645222839412e-06	1.1650186769939341e-05	1.2215391879305439e-06	2.2967476873952305e-06	2.2477412686111964e-06	1.512463891985308e-07	5.956866734976183e-07	6.837455424246457e-08	3.4062781048779235e-06	1.768936774120148e-06	4.255226541837904e-12	9.411118175453364e-14	0.0	0.47719147957494584	1.0386196445822235e-08	0.0	2.1984042451648095e-12	1.2961418314572332e-26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.223303993275559e-06	2.3037982540208068e-11	3.3931130367428225e-06	1.2560944942369751e-11	2.124999957917631e-06	6.639391129352604e-12	1.1586073295928066e-06	3.6199794783835813e-12	4.496238800532941e-08	1.482244028837987e-13	2.451470737202054e-08	8.081603796089736e-14	6.754561492644224e-15	5.035486714070857e-28	0.020631	0.0	0.001613	0.3	0.0
6.0	0.29349685108457435	0.005209255640265931	6.403533460401802e-05	0.08442497986878021	2.9269959357182153e-05	3.195506593297358e-27	0.015527307202074537	0.98442497986878	0.29984701203856134	0.0001504296211112227	0.5143346570942631	0.9999421395234488	0.9994216532632395	5.797406479430198e-28	0.1999997129724308	0.44003003506227195	0.01799999999984817	0.00017949118577859235	2.83906751384534e-06	7.240330430504319e-08	7.249431263360907e-05	5.410301208083111e-06	0.0001691985049582998	0.4998542588313554	0.09999744165967242	0.4999606425026025	0.19998448742457955	0.020064783835055316	0.24	0.09994393727848182	0.012	0.01433465709426303	0.06189399338739206	6.469528980345523e-05	1.4221305559030513e-05	0.0	0.2399162701913275	4.787288777023516e-06	2.849549144625184e-07	3.755539206652321e-06	4.646848144278927e-06	7.210016326970877e-06	5.26889294899813e-07	1.1186042010969377e-05	2.8490066222286577e-06	2.0923537436317976e-07	9.444941123967678e-09	1.4175560831520739e-05	3.7258659602290195e-05	2.182443708026326e-05	5.771430685743585e-06	1.6926616531361954e-05	2.558340327636309e-06	8.780358181009784e-06	3.72716361551983e-06	3.549959717626445e-07	1.457106589215202e-06	1.9815253200028798e-07	9.756702909104744e-06	4.9139661255437855e-06	6.503755305871803e-11	1.7412553263257525e-12	0.0	0.48565417919785403	2.2569680416411565e-08	0.0	3.328995566432042e-11	5.342340444474609e-24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9155992929792466e-05	2.8239273912208773e-10	1.0444365197401112e-05	1.539681612190974e-10	6.687705581587935e-06	8.28096378098741e-11	3.646317864874659e-06	4.515005693481846e-11	1.2428727551171836e-07	1.6351500823103498e-12	6.776478232920334e-08	8.915280930461237e-13	1.5183279607099733e-13	2.4907309389026938e-25	0.020631	0.0	0.001613	0.3	0.0
7.0	0.292434752173052	0.0056797219558532095	7.720044377584713e-05	0.08224575518627675	3.708716000263661e-05	5.522574427730745e-25	0.01765324023682726	0.9822457551862765	0.2997393152363279	0.00025576485547292065	0.5093591467401328	0.9999102431418304	0.9991030686073378	1.1517826745881811e-25	0.19999937226192005	0.43997419620144257	0.01799999999805077	0.00026507197036500544	4.447163897171106e-06	1.5216511699215773e-07	0.00011890876096799526	8.846970056531561e-06	0.00022469917740602888	0.4997576708690954	0.09999508009180065	0.4999039610716476	0.19996224018454267	0.020064781196866138	0.24	0.09986382177788268	0.012	0.009359146740132992	0.061893992286361846	0.00011711812318413094	2.0874120182211595e-05	0.0	0.23988582940232459	1.4250213300228584e-05	5.154287888304403e-07	7.210479788301245e-06	9.376635651633536e-06	1.2454111170741898e-05	1.3725977405246033e-06	2.37735081674405e-05	5.1526808527199435e-06	3.8941696470105365e-07	2.2287533673342906e-08	3.3985481101180684e-05	5.5599467265748495e-05	4.187298995989889e-05	1.063543214731458e-05	2.2484295272643267e-05	4.91990819941217e-06	2.613628900256041e-05	5.563125230664909e-06	7.0703569349414e-07	2.9654248003335393e-06	4.65859839292094e-07	2.2858346189798572e-05	1.1201243938379289e-05	6.002144086728815e-10	1.8922554508159367e-11	0.0	0.49062072280925184	4.179158721868048e-08	0.0	3.0452363495170905e-10	7.659906952136114e-22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.73569631683386e-05	2.1509458795891338e-09	2.5820295294179744e-05	1.1727539899338072e-09	1.6807649889253022e-05	6.408603661252949e-10	9.163984862266467e-06	3.4941444577104006e-10	2.8071196840273475e-07	1.1426968648660316e-11	1.5305175005655004e-07	6.2302930381013626e-12	1.9492355882192285e-12	4.354320816935659e-23	0.020631	0.0	0.001613	0.3	0.0
8.0	0.29137790529216956	0.006050668415090452	8.851370899991475e-05	0.08016905575558687	4.4607384393525556e-05	3.8793862780579284e-23	0.01964375772984571	0.9801690557555867	0.2995879562633687	0.00040328181334535365	0.5064051213199897	0.999870398389207	0.9987053401141277	9.236253613087268e-24	0.19999879914609445	0.43986334066996075	0.01799999998342403	0.0003595218853089323	6.447702227358898e-06	2.819697532428237e-07	0.00017602662508578454	1.31948278254462e-05	0.0002801546457389508	0.499631892699345	0.09999123807671395	0.49979919094629033	0.19992118452207702	0.020064782755835394	0.24	0.09971621980372924	0.012	0.006405121319989993	0.061893991185637424	0.0001896283628864809	2.8354917714918283e-05	0.0	0.23982538549293417	3.5414665431313055e-05	8.453259023189895e-07	1.2228271174938641e-05	1.6696930809811295e-05	1.9364865424733297e-05	3.022811769263907e-06	4.36362347640688e-05	8.44927583464774e-06	6.596970580409692e-07	4.606383856333856e-08	6.979034736881776e-05	7.699564556513822e-05	7.073712074043035e-05	1.7667424949981452e-05	2.8042025162630575e-05	8.76192328611667e-06	6.495398150972931e-05	7.706221386117868e-06	1.2534257832611042e-06	5.287348531138535e-06	9.443054692155119e-07	4.629857322666813e-05	2.214456837799864e-05	3.838044419994217e-09	1.3938133980778118e-10	0.0	0.49356234123812526	6.917001255718954e-08	0.0	1.9312177281985974e-09	4.7743969549161703e-20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.998047484977437e-05	1.1615184856017212e-08	5.451205753544241e-05	6.332912696713647e-09	3.5938925436624204e-05	3.512001618028331e-09	1.9594873375534948e-05	1.914838325554966e-09	5.498384295875557e-07	5.755638161951338e-11	2.9978677247821914e-07	3.138129614430584e-11	1.6575975661831902e-11	3.1046366175186887e-21	0.020631	0.0	0.001613	0.3	0.0
9.0	0.29032601956388365	0.0063380972596201405	9.785712102519068e-05	0.0781891543563362	5.1655977047907437e-05	1.4881470984093656e-21	0.021497034463340794	0.9781891543563359	0.299387234020616	0.0005981605415786995	0.5046404043537975	0.9998226716602098	0.9982292987411755	4.036968181954069e-22	0.1999979203814791	0.43966731084327415	0.01799999989653099	0.00045812971662844153	8.804873592923751e-06	4.7587582597261664e-07	0.0002416161048240511	1.8391358091278774e-05	0.00033365739299971	0.49947759366210315	0.09998539456219459	0.4996262462392797	0.19985348093428426	0.020064782761696487	0.24	0.09947316249010278	0.012	0.004640404353798011	0.061893990085218724	0.000282642267401652	3.64055301819687e-05	0.0	0.23971850433197078	7.681824151742168e-05	1.2885101840920203e-06	1.8927688932876378e-05	2.708619127080686e-05	2.788009277949264e-05	5.868070661069451e-06	7.177288650571174e-05	1.2876469894834323e-05	1.0387838952195806e-06	8.609551636608416e-08	0.00012752397817233604	0.00010088193540500561	0.00010864624506097544	2.7171723948674992e-05	3.3409971033098586e-05	1.4605437805505338e-05	0.00014089224749166238	1.0100590329152194e-05	2.038091388633583e-06	8.538857875005056e-06	1.714782921520343e-06	8.401351435429612e-05	3.933703529923667e-05	1.8631675915571356e-08	7.66790868488711e-10	0.0	0.49531107308175243	1.0544410714675951e-07	0.0	9.302486449217861e-09	1.643787245339171e-18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00018745815827465306	4.842770559334472e-08	0.00010220725629757014	2.6404087917826e-08	6.807084569263321e-05	1.4848959719085833e-08	3.7114065297749674e-05	8.096052777089412e-09	9.69403105734629e-07	2.2695726977962202e-10	5.285447815461515e-07	1.23743213653403e-10	1.034690158484436e-10	1.2116239337339011e-19	0.020631	0.0	0.001613	0.3	0.0
