time	GTPgS_C	KCNQsites_M	PIP2_M	GGDPbS_M	ATP_C	oxoM_EX	GDPbS_C	GGTPMg_M	GDP_C	GGDPAlF4Mg_M	ip3_C	AlF4_C	G_M	GGTP_M	GGDPAlF4_M	GGTPgS_M	PI_M	PIP_M	PIP2xKCNQ_M	GGTPgSMg_M	GGDP_M	Mg2_C	GTP_C
0.0	0.0	6.7	5000.0	0.0	3000.0	0.0	0.0	0.1	0.0	0.0	0.48	0.0	0.065	0.048	0.0	0.0	200000.0	1150.0	33.3	0.0	200.0	2100.0	95.53907412953698
1.0	0.0	6.6728887207495635	5002.210920366276	0.0	2999.9237118476126	0.0	0.0	0.12788513598695525	0.00019948884730643316	0.0	0.38505192375915587	0.0	0.0047136735390544545	0.031934085683352466	0.0	0.0	199985.1131888439	1128.0029670235704	33.32711127925039	0.0	200.04846710479052	2100.0	95.57609404789562
2.0	0.0	6.664365531163279	5005.578291045173	0.0	2999.848580063186	0.0	0.0	0.11437771165710747	0.0003990105068240478	0.0	0.3127665535189296	0.0	0.004711850105974199	0.031776168769297015	0.0	0.0	199970.2275796563	1107.176924616424	33.33563446883669	0.0	200.06213426946755	2100.0	95.61280674878527
3.0	0.0	6.659678267423803	5008.577236473187	0.0	2999.7745430091095	10.0	0.0	0.11209592143475022	0.0005985385171388557	0.0	0.25865930721349334	0.0	0.004710111812303828	0.03177635563365892	0.0	0.0	199955.3431709419	1087.4631087280088	33.34032173257617	0.0	200.06441761111924	2100.0	95.64921478171381
4.0	0.0	7.168853415458437	3816.7059719748454	0.0	2999.701568713128	10.0	0.0	21.21203546804234	0.050870544072673794	0.0	1.2964124518409041	0.0	1.1179944320393922	7.62831264687852	0.0	0.0	199940.45996127362	1066.796061753204	32.831146584541514	0.0	170.25465745304462	2100.0	95.68532067503148
5.0	0.0	9.258043120862316	2174.3980905005083	0.0	2999.6298908390195	10.0	0.0	25.297967268657814	0.09746727806194572	0.0	2.396730037488559	0.0	1.0911081857493947	7.378263613437052	0.0	0.0	199925.57794912532	1039.199980807248	30.74195687913763	0.0	166.4456609321597	2100.0	95.72112693610647
6.0	0.0	12.243991857075779	1209.6139435723105	0.0	2999.5598485969595	10.0	0.0	25.74846428080961	0.1436373313927645	0.0	2.634998514431673	0.0	1.0877959844609622	7.348250112470842	0.0	0.0	199910.69713256645	1006.8285915523527	27.756008142924177	0.0	166.02848962226207	2100.0	95.75663605149913
7.0	0.0	15.598157618315192	688.1907247306192	0.0	2999.4916121370516	10.0	0.0	25.797687558641435	0.18976066076722514	0.0	2.4370493386766365	0.0	1.0870776967298297	7.344958970563071	0.0	0.0	199895.81750934751	972.6921815911271	24.401842381684762	0.0	165.98327577406926	2100.0	95.79185048713448
8.0	0.0	18.98422887604496	408.1947081624747	0.0	2999.4252260156827	0.0	0.0	25.803019857827156	0.23587885199175687	0.0	2.0860273025437004	0.0	1.08664618904436	7.3445961513755424	0.0	0.0	199880.93907709408	938.4869442674016	21.015771123954995	0.0	165.97873780175655	2100.0	95.82677268847361
9.0	0.0	22.055728506163245	323.9551460110805	0.0	2999.360666366471	0.0	0.0	6.323898674013774	0.23606152233961436	0.0	1.655769466009804	0.0	0.004580775932769763	0.046287073079447405	0.0	0.0	199866.06183342336	905.1921697661588	17.94427149383671	0.0	193.83823347697768	2100.0	95.86140508068341
