time	TGF_beta_ex	T1R_surf	T1R_endo	T2R_surf	T2R_endo	LRC_surf	LRC_endo	Smad2c	Smad2n	Smad4c	Smad4n	PSmad2c	PSmad2_PSmad2_c	PSmad2_Smad4_c	PSmad2n	PSmad2_PSmad2_n	PSmad2_Smad4_n	TGF_beta_endo	TGF_beta_ns	AA	empty_degraded
0.0	9.997420030394188e-11	1.6157359703453453e-12	1.5003906249999998e-11	4.62476754026754e-13	3.311930303030303e-12	0.0	0.0	1.3938e-10	2.85e-11	1.1683999999999998e-10	5.0799999999999995e-11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.9900990099009901	9.59999478413917e-11	1.1833144084441196e-13	1.3893288834692231e-11	-1.0330383952823907e-12	2.236990364585962e-12	1.4374947242651705e-12	1.1652145064447903e-12	1.2989173498326146e-10	2.7314523845897326e-11	1.0829557991988692e-10	4.9858647823211254e-11	6.491185961176043e-13	1.0082068731248944e-16	2.976490959745615e-12	5.701476793042559e-13	7.038745567203007e-17	6.4756494773369434e-12	7.790887193802741e-14	1.1874564709373847e-12	0.0	0.0
1.9801980198019802	9.206980667625318e-11	-1.6252486334876956e-12	1.226128159097874e-11	-2.7737436949599053e-12	6.590976499072218e-13	3.090415890629844e-12	2.8797508465322252e-12	1.1550092997259965e-10	2.5512639707190862e-11	9.532217981220208e-11	4.843139748392979e-11	1.6215313471775447e-12	2.5433763843467414e-16	7.475362225327014e-12	1.437434840391458e-12	1.775645428359597e-16	1.632622396486083e-11	1.9574348607434742e-13	1.4707362623924161e-12	0.0	0.0
2.9702970297029703	8.813966551111465e-11	-3.368828707819804e-12	1.0629274347265251e-11	-4.514448994637421e-12	-9.187950647715188e-13	4.743337056994518e-12	4.59428718661966e-12	1.011101249619378e-10	2.371075556848439e-11	8.234877970451724e-11	4.7004147144648326e-11	2.5939440982374846e-12	4.0785458955685884e-16	1.1974233490908415e-11	2.3047220014786595e-12	2.8474162999988943e-16	2.6176798452384722e-11	3.135781002106675e-13	1.7540160538474478e-12	0.0	0.0
3.9603960396039604	8.472837644948715e-11	-4.706937053412492e-12	9.062571769004612e-12	-5.848894938849938e-12	-2.422240566016593e-12	5.7723343858307015e-12	6.009227380001521e-12	8.813692465573414e-11	2.1986192407757454e-11	7.114893003447122e-11	4.581877197817482e-11	3.442151233205025e-12	5.040015747655997e-14	1.5400296299653695e-11	3.11926653904735e-12	2.938691758901705e-13	3.5096250299207565e-11	4.229259031861154e-13	1.9739066388165158e-12	0.0	0.0
4.9504950495049505	8.310957915290275e-11	-4.644251743539601e-12	7.721478905441116e-12	-5.779826193201962e-12	-3.6684913558839185e-12	4.645845915889229e-12	6.3891450261596055e-12	8.006115994174e-11	2.0528752027020242e-11	6.60762108758827e-11	4.54690092193466e-11	3.861262017765261e-12	2.725718015771538e-13	1.5120100019663287e-11	3.751599772693489e-12	1.6013370716421425e-12	4.079892870633988e-11	5.029541004118755e-13	1.974804894661695e-12	0.0	0.0
5.9405940594059405	8.149078185631837e-11	-4.58156643366671e-12	6.380386041877622e-12	-5.710757447553987e-12	-4.914742145751243e-12	3.519357445947756e-12	6.76906267231769e-12	7.198539522774587e-11	1.907131164628303e-11	6.100349171729417e-11	4.5119246460518375e-11	4.280372802325496e-12	4.947434456777476e-13	1.4839903739672875e-11	4.383933006339627e-12	2.908804967394114e-12	4.650160711347219e-11	5.829822976376355e-13	1.9757031505068743e-12	0.0	0.0
6.930693069306931	7.987198455973398e-11	-4.51888112379382e-12	5.039293178314127e-12	-5.6416887019060116e-12	-6.1609929356185685e-12	2.3928689760062837e-12	7.148980318475774e-12	6.390963051375174e-11	1.7613871265545817e-11	5.5930772558705626e-11	4.4769483701690143e-11	4.699483586885731e-12	7.169150897783414e-13	1.4559707459682466e-11	5.016266239985766e-12	4.2162728631460864e-12	5.2204285520604494e-11	6.630104948633955e-13	1.9766014063520535e-12	0.0	0.0
7.920792079207921	7.895001197887453e-11	-4.287254244232296e-12	4.436798852347903e-12	-5.401242225457246e-12	-6.6569467759101786e-12	2.5240705027498816e-12	8.043952668723124e-12	5.778000580069245e-11	1.6498594330181295e-11	5.313028706207373e-11	4.42848567580927e-11	5.00738527707028e-12	9.038711469436374e-13	1.4234098101697492e-11	5.4781640647256196e-12	5.6243116485886425e-12	5.581500747149715e-11	7.700190981834459e-13	1.963361023962095e-12	0.0	0.0
8.910891089108912	7.821079771754787e-11	-4.011318549729551e-12	4.028018992149762e-12	-5.115847994745902e-12	-6.956117972646474e-12	2.9851301776049964e-12	9.074009969407234e-12	5.216080109444417e-11	1.5473057633460293e-11	5.0925747140094714e-11	4.376485857806035e-11	5.28611982271157e-12	1.0815911059275422e-12	1.3896578118799533e-11	5.895361280807828e-12	7.058727464551201e-12	5.887706569412296e-11	8.841039339717648e-13	1.9464124582858316e-12	0.0	0.0
9.900990099009901	7.747158345622123e-11	-3.735382855226806e-12	3.6192391319516208e-12	-4.83045376403456e-12	-7.25528916938277e-12	3.4461898524601105e-12	1.0104067270091343e-11	4.6541596388195886e-11	1.4447520936739291e-11	4.8721207218115695e-11	4.3244860398028006e-11	5.5648543683528596e-12	1.2593110649114468e-12	1.3559058135901574e-11	6.312558496890034e-12	8.493143280513757e-12	6.193912391674876e-11	9.981887697600838e-13	1.929463892609568e-12	0.0	0.0
10.89108910891089	7.673236919489456e-11	-3.459447160724062e-12	3.2104592717534813e-12	-4.545059533323217e-12	-7.554460366119064e-12	3.907249527315223e-12	1.113412457077545e-11	4.0922391681947636e-11	1.3421984240018294e-11	4.651666729613668e-11	4.272486221799566e-11	5.8435889139941494e-12	1.4370310238953505e-12	1.3221538153003616e-11	6.729755712972239e-12	9.92755909647631e-12	6.500118213937456e-11	1.1122736055484023e-12	1.9125153269333046e-12	0.0	0.0
11.881188118811881	7.59931549335679e-11	-3.183511466221317e-12	2.8016794115553407e-12	-4.2596653026118736e-12	-7.85363156285536e-12	4.368309202170338e-12	1.2164181871459558e-11	3.5303186975699354e-11	1.2396447543297291e-11	4.431212737415767e-11	4.220486403796332e-11	6.1223234596354385e-12	1.614750982879255e-12	1.2884018170105662e-11	7.146952929054446e-12	1.1361974912438867e-11	6.806324036200037e-11	1.2263584413367213e-12	1.895566761257041e-12	0.0	0.0
