time	default	CYTOPLASM	compartment_0000004	EmptySet	M	P0	P1	P2	Pn	Pt	rM	rTL	rP01	rP10	rP12	rP21	rP2n	rPn2	rmRNAd	rVd
0.0	1.0E-15	1.0E-15	1.0E-15	0.0	0.1	0.25	0.25	0.25	0.25	1.0	7.570428015564203E-16	3.800000000000001E-17	3.555555555555556E-16	1.7555555555555559E-16	5.555555555555556E-16	2.777777777777778E-16	4.75E-16	3.2500000000000005E-16	1.0833333333333335E-16	5.277777777777778E-16
1.0	9.999999999995055E-16	9.999999999999981E-16	9.999999999999997E-16	0.0	0.593186296501695	0.2151541444185983	0.16022577943378488	0.11758694277018827	0.22681847057655197	0.7197853371991234	7.579937765115316E-16	2.254107926705326E-16	3.108105428573771E-16	1.1718994093836543E-16	3.7085424347583995E-16	1.3882185944200594E-16	2.234151912633573E-16	2.9486401174951746E-16	3.527039206034387E-16	3.5173862834944165E-16
2.0	9.99999999999496E-16	9.999999999999983E-16	9.999999999999993E-16	0.0	0.9574322327810391	0.27898177895882903	0.15734635228125712	0.09287110940672998	0.16741469023974911	0.6966139308865652	7.594034500403532E-16	3.6382424845661147E-16	3.917283152110622E-16	1.1523751684169743E-16	3.6467568620790316E-16	1.109374449641289E-16	1.7645510787278665E-16	2.176390973116737E-16	4.270050691277471E-16	3.012504514874006E-16
3.0	9.999999999994938E-16	9.999999999999983E-16	9.999999999999989E-16	0.0	1.268708066312191	0.37964271488257706	0.19369717956693877	0.09820485781808719	0.14601496703126454	0.8175597192988675	7.596546927280447E-16	4.821090651983886E-16	5.10520625649549E-16	1.3950947585946156E-16	4.4148568309956184E-16	1.1701056912075038E-16	1.8658922985436534E-16	1.898194571406437E-16	4.662500606006529E-16	3.1285410844680076E-16
4.0	9.99999999999547E-16	9.999999999999981E-16	9.999999999999995E-16	0.0	1.5487202533221949	0.49771968236724634	0.24630092679121735	0.11982041574427846	0.1570455234717605	1.0208865483745027	7.595379896050304E-16	5.885136962621676E-16	6.376628229416363E-16	1.7324280094832225E-16	5.482367118617793E-16	1.4130963035164556E-16	2.276587899141286E-16	2.041591805132886E-16	4.91364383705885E-16	3.5591659992112524E-16
5.0	9.999999999994919E-16	9.999999999999993E-16	9.999999999999997E-16	0.0	1.8073310003993792	0.6267387609837068	0.3072561699302445	0.1521560669964304	0.19021376457028782	1.2763647624806698	7.590063963012332E-16	6.867857801514151E-16	7.635186509361069E-16	2.1040782329101454E-16	6.658475420601726E-16	1.7674841212698476E-16	2.890965272932175E-16	2.472778939413741E-16	5.091446134326865E-16	4.1046648686042356E-16
6.0	9.999999999995778E-16	1.0E-15	9.999999999999999E-16	0.0	2.0495855165969217	0.7648249780731341	0.37384796181649055	0.1930749882273036	0.23925917627291218	1.5710071043898404	7.575176263332848E-16	7.788424963065015E-16	8.852060977616395E-16	2.488279743147752E-16	7.874302984644785E-16	2.2009619970105205E-16	3.6684247763187684E-16	3.110369291547858E-16	5.225283000376485E-16	4.666316715879958E-16
7.0	9.999999999995755E-16	1.0E-15	1.000000000000001E-15	0.0	2.277549748515456	0.9116617341234342	0.44520389869447036	0.2418736566054883	0.30122920741563514	1.8999684968390278	7.537935858265414E-16	8.654689044355058E-16	1.0019424698292635E-15	2.87674234575215E-16	9.103615018203007E-16	2.697226669005503E-16	4.595599475504278E-16	3.915979696403261E-16	5.329903946189602E-16	5.200128370186256E-16
8.0	9.999999999997234E-16	9.999999999999997E-16	1.0000000000000009E-15	0.0	2.4903283479229383	1.0671050541769802	0.5210439959691632	0.2984353230091342	0.374996933761677	2.2615813069169546	7.452626225393715E-16	9.463247722104548E-16	1.1133417711649392E-15	3.2655103002865144E-16	1.033389335533707E-15	3.246070490015134E-16	5.670271137173549E-16	4.874960138901805E-16	5.41316282967473E-16	5.688071125197557E-16
9.0	9.999999999997295E-16	9.999999999999989E-16	1.0000000000000015E-15	0.0	2.682938471240296	1.2301210786051993	0.6010794295173357	0.3627895065160494	0.46025482903290227	2.6542448436714867	7.2736052655763E-16	1.0195166190710367E-15	1.2186501235540087E-15	3.6511976061170094E-16	1.1554422804167752E-15	3.8385720090126106E-16	6.893000623804931E-16	5.983312777427738E-16	5.478930937759035E-16	6.123959796688532E-16
10.0	9.999999999996135E-16	9.999999999999989E-16	1.0000000000000009E-15	0.0	2.8444505256655064	1.3974703222028053	0.6845721909079958	0.43480164079296724	0.5568698083194494	3.073713962223218	6.9332660699895E-16	1.0808911997524749E-15	1.3162455023741136E-15	4.0290369739276686E-16	1.2750117006100217E-15	4.464446235662963E-16	8.261231175066368E-16	7.239307508152849E-16	5.528240969612397E-16	6.506939053234636E-16
11.0	9.999999999991741E-16	9.999999999999989E-16	1.0000000000000003E-15	0.0	2.956714895843995	1.5620131947153582	0.7698950924775265	0.5138753800538213	0.664391787967191	3.510175455213897	6.360639130460688E-16	1.1235516604197901E-15	1.4032632530684854E-15	4.391625695204412E-16	1.3897549668368392E-15	5.110390357166578E-16	9.763632221022593E-16	8.637093243573487E-16	5.559800967702749E-16	6.838471036980209E-16
12.0	9.99999999998546E-16	9.999999999999995E-16	1.0000000000000007E-15	0.0	2.9966485741148765	1.7112496873701124	0.854118344250473	0.5986493096622877	0.7815971790275225	3.9456145203103956	5.53455151653448E-16	1.1387264581619974E-15	1.475513495688508E-15	4.728279703728066E-16	1.4962910454835653E-15	5.759235263453901E-16	1.1374336883583459E-15	1.0160763327357799E-15	5.570538565396811E-16	7.120983356507968E-16
13.0	9.999999999985018E-16	9.999999999999999E-16	1.0000000000000015E-15	0.0	2.944497244458685	1.827654079141336	0.9328164312155031	0.6867366417711763	0.9060626474445639	4.35326979957258	4.540137490004693E-16	1.118908952892624E-15	1.527957577233384E-15	5.025374058988271E-16	1.5903082465152755E-15	6.390062865618819E-16	1.3047996193652347E-15	1.1778814416779348E-15	5.556466076369078E-16	7.35731195656365E-16
14.0	9.999999999985204E-16	9.999999999999997E-16	1.0000000000000017E-15	0.0	2.794311324081924	1.8921601434822266	1.000314214123892	0.7746040343166163	1.0338542206030248	4.70093261252576	3.5473405820795534E-16	1.06183830314956E-15	1.5556688923200195E-15	5.267769791829162E-16	1.6670157569079624E-15	6.97941061802176E-16	1.4717476652015705E-15	1.3440104867839344E-15	5.513450861112608E-16	7.55049031904299E-16
15.0	9.999999999985115E-16	9.999999999999997E-16	1.0000000000000022E-15	0.0	2.5575420112308973	1.8897889859080517	1.0503487942324103	0.8576278244583951	1.159430364488804	4.957195969087661	2.7074345398287673E-16	9.718659642662944E-16	1.5546665325070446E-15	5.440528958606576E-16	1.7216863793058784E-15	7.502969920697603E-16	1.6294928664709501E-15	1.5072594738354487E-15	5.437054670692283E-16	7.70352683991367E-16
16.0	9.99999999998519E-16	9.999999999999995E-16	1.0000000000000022E-15	0.0	2.2569902353917906	1.814312453324996	1.0768427832736054	0.9302480584182442	1.2757455826723927	5.097148877689238	2.0828517550932522E-16	8.576562894476102E-16	1.5221091406864105E-15	5.529731992877711E-16	1.749915187619529E-15	7.9365981981095E-16	1.767471310994663E-15	1.6584692574741142E-15	5.321178269592908E-16	7.81895309543021E-16
17.0	9.999999999985235E-16	9.999999999999999E-16	1.0000000000000024E-15	0.0	1.9184378348663853	1.6699509618152195	1.0745795628628663	0.9861397642284228	1.3744646353149805	5.105134924221489	1.6634203760016863E-16	7.290063772481501E-16	1.456107488467788E-15	5.522171973791449E-16	1.7475227765162811E-15	8.255974620156699E-16	1.873665552034003E-15	1.786804025909479E-15	5.156157312317453E-16	7.898165159536708E-16
18.0	9.999999999985399E-16	9.999999999999997E-16	1.0000000000000024E-15	0.0	1.5662882811062453	1.4705774485993928	1.039906619257244	1.0183792368580717	1.4461851059600515	4.97504841067476	1.4141721801190882E-16	5.951895468195041E-16	1.3559264719527224E-15	5.404943849320939E-16	1.7104252687724487E-15	8.434818465009513E-16	1.9349205500303354E-15	1.8800406377480715E-15	4.927131378657375E-16	7.940551231897483E-16
19.0	9.999999999985498E-16	9.999999999999993E-16	1.0000000000000024E-15	0.0	1.2234275702411763	1.2374886335976494	0.9717885152760097	1.0198480808514634	1.4808026526981648	4.709927882423288	1.308479395636417E-16	4.649024766909728E-16	1.2231590827585325E-15	5.166672682943219E-16	1.635023000931398E-15	8.442875713833183E-16	1.937711353617779E-15	1.9250434485076187E-15	4.614223042430961E-16	7.942428996015806E-16
20.0	9.999999999985204E-16	9.99999999999999E-16	1.0000000000000024E-15	0.0	0.9132305823306283	0.9961681825694457	0.8732762288763397	0.9842618897804355	1.4684004192658098	4.322106720492031	1.3453238174400625E-16	3.470276212851253E-16	1.063938333891688E-15	4.802101614031758E-16	1.5196524095037208E-15	8.245438287026903E-16	1.8700975905828256E-15	1.9089205450455577E-15	4.2003045075345955E-16	7.895625143056597E-16
21.0	9.999999999983293E-16	9.999999999999983E-16	1.0000000000000024E-15	0.0	0.6613620566207589	0.7720911873050719	0.752770992407899	0.9082369279078307	1.4012318345867965	3.8343309422075977	1.5653518523247095E-16	2.5131758151546846E-16	8.912736387211505E-16	4.3206578799499326E-16	1.3672967974525101E-15	7.807453024135226E-16	1.7256501630248754E-15	1.82160138496284E-15	3.701561751159148E-16	7.785565160162183E-16
22.0	9.999999999985018E-16	9.999999999999983E-16	1.000000000000002E-15	0.0	0.49471863632222746	0.5861828668841659	0.6236797979749885	0.7943134718186724	1.2771233232136225	3.281299459891449	2.0763300034281712E-16	1.879930818021648E-16	7.253103398249926E-16	3.7558473467724364E-16	1.1885592869533027E-15	7.106517216388878E-16	1.509195596455475E-15	1.6602603201777126E-15	3.23274443513371E-16	7.589133805534412E-16
23.0	9.999999999981082E-16	9.999999999999981E-16	1.0000000000000017E-15	0.0	0.43691414493839503	0.4515643479677358	0.5014817979514942	0.6536231190506978	1.1035679283880233	2.710237193357951	3.0605814660184994E-16	1.6602737507627603E-16	5.894219805793036E-16	3.167487532438657E-16	1.002369472290714E-15	6.157836754946974E-16	1.2418839261963234E-15	1.4346383069044328E-15	3.0311656168733557E-16	7.274193367544948E-16
24.0	9.999999999982139E-16	9.99999999999998E-16	1.0000000000000017E-15	0.0	0.5045291308280923	0.3737487430964993	0.39981691114433415	0.505830188272637	0.9001227889886578	2.1795186315021287	4.588102699864284E-16	1.9172106971433263E-16	5.038427008701211E-16	2.632328810895912E-16	8.330154464860482E-16	5.046532987749299E-16	9.610773577180083E-16	1.170159625685257E-15	3.264653308440303E-16	6.808134404608226E-16
25.0	9.999999999984354E-16	9.999999999999995E-16	1.0000000000000022E-15	0.0	0.6938100340577695	0.35305586794387733	0.3285900463634802	0.3747760880188568	0.696295119208098	1.7527171215343123	6.153561564279797E-16	2.6364781294153995E-16	4.8013257688081095E-16	2.229556353489877E-16	7.055558080664168E-16	3.945383418563804E-16	7.120745672358276E-16	9.051836549705293E-16	3.777623820137257E-16	6.194364919478577E-16
26.0	9.999999999984636E-16	1.0E-15	1.0000000000000042E-15	0.0	0.9578219663373796	0.38308439306387615	0.29259929972125837	0.27977880781521863	0.5234655689675347	1.478928069567888	7.069209277466144E-16	3.6397234720764504E-16	5.144048030243407E-16	2.016518515101165E-16	6.381387706016344E-16	3.068047729631929E-16	5.315797348489155E-16	6.80505239657798E-16	4.27064684505662E-16	5.539841758221711E-16
27.0	9.999999999984817E-16	9.999999999999987E-16	1.000000000000004E-15	0.0	1.2386108458624767	0.45071506581419724	0.289461982493499	0.22655509678658814	0.40245278625642433	1.3691849313507087	7.405720459040088E-16	4.706721214270265E-16	5.885172987771469E-16	1.9976306042069275E-16	6.321615836097872E-16	2.5437849832860306E-16	4.304546838945169E-16	5.231886221333537E-16	4.630691518614233E-16	5.045710239278652E-16
28.0	9.999999999984965E-16	9.999999999999983E-16	1.0000000000000038E-15	0.0	1.5087737702224948	0.5435695124044848	0.3117323883314478	0.20818012741188782	0.33620208915372124	1.3996841173015415	7.504125803447952E-16	5.733340326836861E-16	6.838509548142993E-16	2.1305977112653082E-16	6.742397820459835E-16	2.3569196736668214E-16	3.955422420825862E-16	4.370627158998393E-16	4.882097552159873E-16	4.8451923001563845E-16
29.0	9.999999999984732E-16	9.999999999999983E-16	1.000000000000004E-15	0.0	1.7628677292589765	0.6539866337299083	0.35168791762907303	0.21458350123935033	0.3153421224980539	1.5356001750963857	7.52558368927692E-16	6.698897371173882E-16	7.885334467546077E-16	2.362842899725178E-16	7.477350948497397E-16	2.422391175578414E-16	4.077086523547649E-16	4.099447592474717E-16	5.063769345429527E-16	4.917087283212744E-16
30.0	9.99999999998457E-16	9.999999999999983E-16	1.0000000000000042E-15	0.0	2.0015099831289302	0.7779195428293577	0.40381790016752234	0.23836572627300637	0.328133802989536	1.7482369722594224	7.512901320193615E-16	7.605737935878199E-16	8.961175796036567E-16	2.654245490975917E-16	8.39951104739214E-16	2.662274125661952E-16	4.528948799187113E-16	4.265739438863986E-16	5.200784717263104E-16	5.165719543920917E-16
31.0	9.999999999984373E-16	9.999999999999985E-16	1.000000000000003E-15	0.0	2.225202625287363	0.9131981459302417	0.4648083579765972	0.275249180328117	0.36559996807261397	2.01885565230757	7.466602518888144E-16	8.455769976078767E-16	1.0031017186589765E-15	2.9795306528654483E-16	9.428894471093191E-16	3.024385007012974E-16	5.229734426234215E-16	4.752799584943996E-16	5.307428126685691E-16	5.502097260455611E-16
32.0	9.999999999984626E-16	9.999999999999981E-16	1.000000000000003E-15	0.0	2.432312605780204	1.0582356135532782	0.53270418322835	0.3229390694969361	0.4221223099987607	2.336001176277325	7.366120559134025E-16	9.242787901950564E-16	1.1072900820208468E-15	3.3232171963641665E-16	1.0516510115076477E-15	3.475543910487419E-16	6.135842320441774E-16	5.487590029983906E-16	5.39165977952228E-16	5.866689523068541E-16
33.0	9.999999999984758E-16	9.99999999999998E-16	1.0000000000000026E-15	0.0	2.6175954059857847	1.2108955670831196	0.6061186858736032	0.38013770472433334	0.4944404519875794	2.6915924096686354	7.171392774309156E-16	9.946862542730821E-16	1.2067866218975245E-15	3.6746888346693584E-16	1.1628762135029615E-15	3.9928120962265916E-16	7.222616389762318E-16	6.427725875838549E-16	5.457529898279927E-16	6.224915507943343E-16
34.0	9.999999999987263E-16	9.999999999999981E-16	1.0000000000000038E-15	0.0	2.7705962427221227	1.3671839909724741	0.6836000040543925	0.44587312771403387	0.5805435002128319	3.0772006229537325	6.82477558257086E-16	1.0528265722330655E-15	1.2993019635521524E-15	4.024772711186978E-16	1.2736622503756256E-15	4.557402453359833E-16	8.471589426566628E-16	7.547065502766843E-16	5.506297396925077E-16	6.558245778509536E-16
35.0	9.999999999987501E-16	9.999999999999983E-16	1.0000000000000038E-15	0.0	2.874845793449538	1.5197352679110694	0.7630889925179432	0.5190087106476182	0.6787816947128569	3.4806146657894876	6.269149900129399E-16	1.0924414015094591E-15	1.3816814297518608E-15	4.363524343382214E-16	1.3808621339817132E-15	5.150922150981606E-16	9.86116550230473E-16	8.824162031267174E-16	5.536993036449793E-16	6.857472904203538E-16
36.0	9.999999999987793E-16	9.999999999999981E-16	1.0000000000000038E-15	0.0	2.91012694260577	1.6566461475553071	0.8414779820177368	0.5978502720289883	0.7871678444677459	3.883142246069778	5.491546437182436E-16	1.1058482381888427E-15	1.4497622844149676E-15	4.679026971181798E-16	1.4807047377157585E-15	5.753317256829919E-16	1.1359155168550758E-15	1.0233181978080736E-15	5.546956299662961E-16	7.11860079941042E-16
37.0	9.999999999987734E-16	9.999999999999989E-16	1.0000000000000048E-15	0.0	2.859439904200792	1.761901231052318	0.9144061655869291	0.6798460587996228	0.9028270863048753	4.258980541743745	4.566257485411129E-16	1.086587163594968E-15	1.4987325804378625E-15	4.957310887847327E-16	1.5687692683061162E-15	6.342211864812711E-16	1.2917075117192818E-15	1.1736752121963434E-15	5.532576830460316E-16	7.340531328182359E-16
38.0	9.999999999987706E-16	9.999999999999977E-16	1.0000000000000054E-15	0.0	2.717591339987287	1.818400082303899	0.9764489941905182	0.7614370204910104	1.0216198995548034	4.577905996540231	3.637538858435522E-16	1.0326847091938995E-15	1.5239053367769516E-15	5.183322186377985E-16	1.6402918311322737E-15	6.893485301681962E-16	1.4467303389329162E-15	1.3281058694212516E-15	5.489927664333879E-16	7.52379151259468E-16
39.0	9.999999999987785E-16	9.999999999999971E-16	1.0000000000000056E-15	0.0	2.4944139546750783	1.812765178365176	1.0216805735032832	0.8380772183380474	1.1379909977865412	4.810513967993048	2.8389077902151175E-16	9.47877302775372E-16	1.5214282284375599E-15	5.342243386976022E-16	1.690583350308868E-15	7.382438477385892E-16	1.5923467148422853E-15	1.479388297122512E-15	5.414645720600543E-16	7.669692999291608E-16
40.0	9.999999999987726E-16	9.999999999999967E-16	1.0000000000000058E-15	0.0	2.2102566163251853	1.7394580400257547	1.0443739881998875	0.9043565330462433	1.2450224811603616	4.933211042432247	2.2334869375402473E-16	8.398975142025395E-16	1.488522044773114E-15	5.420197740986197E-16	1.7152524496791762E-15	7.784482748212245E-16	1.7182774127878566E-15	1.6185292255084797E-15	5.300851557589149E-16	7.779541123590683E-16
41.0	9.999999999987683E-16	9.999999999999963E-16	1.0000000000000058E-15	0.0	1.889046740517638	1.602462736319531	1.039669933256545	0.9541673030149876	1.3346138648752268	4.93091383746629	1.8213833284732443E-16	7.178377613958183E-16	1.423437556903475E-15	5.404134431087572E-16	1.7101691237618896E-15	8.074756819300421E-16	1.81291787572847E-15	1.734998024337805E-15	5.139624773814236E-16	7.85379152135333E-16
42.0	9.999999999988949E-16	9.999999999999963E-16	1.0000000000000058E-15	0.0	1.5542831769994623	1.414706027397379	1.0043033129773198	0.980918722957562	1.397727374917909	4.79765543825017	1.5778383994295574E-16	5.906276072591429E-16	1.3257537402486241E-15	5.281754434213942E-16	1.6714412766499816E-15	8.226647672435744E-16	1.863745573619361E-15	1.817045587393292E-15	4.917939631503448E-16	7.891083176967876E-16
43.0	9.999999999988836E-16	9.999999999999963E-16	1.0000000000000058E-15	0.0	1.2285655791022811	1.196028811079586	0.9376199338926305	0.9780013956010384	1.4248198929439804	4.536470033517235	1.4839826647083108E-16	4.668549200583457E-16	1.1975149229527258E-15	5.042992384611513E-16	1.5958836660163013E-15	8.210216061732642E-16	1.858202651641966E-15	1.8522658608271853E-15	4.619828348260936E-16	7.887098685031168E-16
44.0	9.999999999988119E-16	9.999999999999965E-16	1.000000000000006E-15	0.0	0.9351486855552582	0.9701279564801172	0.8428859280583565	0.9398588871078539	1.4068093167864069	4.159682088432735	1.545693725264657E-16	3.553565005105759E-16	1.0452106798844395E-15	4.684534659615303E-16	1.4824476770934502E-15	7.9923809543156E-16	1.7857318855049163E-15	1.82885211182234E-15	4.2354262783283683E-16	7.833127002395121E-16
