time	compartment_0000002	compartment_0000001	species_0000001	species_0000002	species_0000003	species_0000004	species_0000005	species_0000006	species_0000007	species_0000008	species_0000009	parameter_0000001	parameter_0000002	parameter_0000003	parameter_0000005	parameter_0000006	parameter_0000007	parameter_0000008	parameter_0000010	parameter_0000011	parameter_0000012	parameter_0000013	parameter_0000014	parameter_0000015	parameter_0000016	parameter_0000017	parameter_0000018	parameter_0000019	parameter_0000020	parameter_0000021	parameter_0000022	parameter_0000023	parameter_0000024	parameter_0000025	parameter_0000026	parameter_0000027	parameter_0000028	parameter_0000029	parameter_0000030	parameter_0000031	parameter_0000032	parameter_0000033	parameter_0000034	parameter_0000036	parameter_0000037	parameter_0000038	parameter_0000039	parameter_0000040	parameter_0000041	parameter_0000042	parameter_0000043	parameter_0000044	parameter_0000045	parameter_0000046	parameter_0000047	parameter_0000048	reaction_0000001	reaction_0000002	reaction_0000003	reaction_0000004	reaction_0000005	reaction_0000006	reaction_0000007	reaction_0000008	reaction_0000009	reaction_0000010	reaction_0000011	reaction_0000012	reaction_0000013	reaction_0000014	reaction_0000015	reaction_0000016	reaction_0000017	reaction_0000018	reaction_0000019	reaction_0000020	reaction_0000021	reaction_0000022
0.0	1.0	1.0	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	1.0	1.0	1.0	0.2	0.24	0.1	0.54	0.54	0.083	0.134	0.248	0.2124	0.2124	0.2124	1.062	1.062	1.062	1.0	1.0	1.0	2.8249	2.8249	2.8249	5.0	10.62	76.464	344.09	1.062	0.02124	0.19116	0.001062	0.38232	0.2124	0.7434	0.6903	2.8249	1.6992	0.25	0.3186	0.001	1.6992	0.25	5.31	0.01	0.00531	10.64124	76.65516	344.47231999999997	0.001065641950329516	2.124E-4	6.903E-4	7.434E-4	0.006769721115537849	0.006769721115537849	0.006769721115537849	0.1593	0.1593	0.4827272727272727	5.31E-6	5.31E-6	5.31E-6	5.31E-6	5.31E-6	5.31E-6	5.31E-6	5.31E-6	5.31E-6
1.0	1.0	1.0	0.32387000340826216	0.019428051054132547	6.051059098191894E-4	8.614429654106402	0.6249149845890172	0.3148506385297379	51.17412356694713	0.009652470211842058	248.21404465272252	0.8146577957527641	0.8128082160820405	0.8103087435571746	0.2	0.24	0.1	0.54	0.54	0.083	0.134	0.248	0.2124	0.2124	0.2124	1.062	1.062	1.062	0.8822223475410976	0.8814757311704788	0.8806268537606257	2.8249	2.8249	2.8249	5.0	10.62	76.464	344.09	1.062	0.02124	0.19116	0.001062	0.38232	0.2124	0.7434	0.6903	2.8249	1.6992	0.25	0.3186	0.001	1.6992	0.25	5.31	0.01	0.00531	9.382512265030485	67.64940958238249	344.47231999999997	0.0011802390137003278	0.002050184672995253	171.34215502377435	38.0428434596685	1.6512781351338028	1.2136671111107489	0.9471427816427345	0.31761930003799205	0.3030037985241109	0.3029778682516408	5.125461682488132E-5	1.3180165771059564	0.2717345961404892	0.045742621463304996	0.0033182985681676808	0.001671856890592908	0.001719749718097872	1.0316295109744382E-4	3.2131123811398952E-6
2.0	1.0	1.0	1.0732729331090456	0.03094657835858587	6.170654559191914E-4	15.221219761316455	0.9876070761936026	0.5383537423705713	65.87669080804379	0.008794456144862234	372.01529110969705	0.6643888094387853	0.6614580249202444	0.6564218186728941	0.2	0.24	0.1	0.54	0.54	0.083	0.134	0.248	0.2124	0.2124	0.2124	1.062	1.062	1.062	0.6843547606123779	0.6827721095838751	0.680554449455988	2.8249	2.8249	2.8249	5.0	10.62	76.464	344.09	1.062	0.02124	0.19116	0.001062	0.38232	0.2124	0.7434	0.6903	2.8249	1.6992	0.25	0.3186	0.001	1.6992	0.25	5.31	0.01	0.00531	7.272279803780753	52.519662415464865	344.47231999999997	0.0011333540109374751	0.0018679424851687386	256.8021554530239	48.97273194669975	1.6717425657088687	1.3559569722479936	1.1603555991062706	0.31830342732262845	0.30862710098014695	0.308618006033309	4.669856212921846E-5	1.975401195792491	0.3498052281907125	0.08082467693259036	0.005244193574588029	0.0028586583719877336	0.0056990792748090316	1.6432633108409095E-4	3.276617570930906E-6
3.0	1.0	1.0	1.9606821474887546	0.039354961416237066	6.21485872164889E-4	19.733342343182894	1.2662139500237501	0.7119222260877507	62.509569693708045	0.008094048245874433	433.16301989749377	0.5413095770129727	0.5379603914651087	0.5315956465081224	0.2	0.24	0.1	0.54	0.54	0.083	0.134	0.248	0.2124	0.2124	0.2124	1.062	1.062	1.062	0.5037768227156928	0.5020608337651691	0.4994395242511611	2.8249	2.8249	2.8249	5.0	10.62	76.464	344.09	1.062	0.02124	0.19116	0.001062	0.38232	0.2124	0.7434	0.6903	2.8249	1.6992	0.25	0.3186	0.001	1.6992	0.25	5.31	0.01	0.00531	5.353126054586095	38.711950972132726	337.2800689587474	0.0011412475663377872	0.0017191758474237296	299.01243263524	46.46961411030256	1.6779422948221214	1.4190284582506671	1.2575842555258225	0.31843758836751007	0.3107050599772892	0.3106994653021113	4.297939618559324E-5	2.300095635655692	0.3319258150735897	0.10478404784230116	0.006723596074626113	0.003780307020525956	0.010411222203165286	2.089748451202188E-4	3.3000899811955604E-6
4.0	1.0	1.0	2.9180691701701074	0.046266455997462826	6.239404277615914E-4	22.5071969637989	1.4992137828019363	0.8580137346659384	52.35134650996706	0.007549681709836094	442.1940200766299	0.44086788413379696	0.43741191203368907	0.4304613639387347	0.2	0.24	0.1	0.54	0.54	0.083	0.134	0.248	0.2124	0.2124	0.2124	1.062	1.062	1.062	0.36199817867687867	0.36050659749803354	0.358127989320684	2.8249	2.8249	2.8249	5.0	10.62	76.464	344.09	1.062	0.02124	0.19116	0.001062	0.38232	0.2124	0.7434	0.6903	2.8249	1.6992	0.25	0.3186	0.001	1.6992	0.25	5.31	0.01	0.00531	3.849820065429116	27.87098873434885	291.34281993962696	0.0011749820551530548	0.0016035523951691865	305.2465320588976	38.917990995509506	1.6805333777144984	1.45634803749171	1.3158112506465678	0.3184908556182033	0.3118594904086504	0.3118545038860038	4.008880987922966E-5	2.3480502466069044	0.2779856499679251	0.11951321587777215	0.007960825186678282	0.0045560529310761325	0.015494947293603269	2.456748813465276E-4	3.3131236714140497E-6
5.0	1.0	1.0	3.9182057380270807	0.05224956458952425	6.255538577783326E-4	23.967040445701713	1.7021871632844854	0.9860282779315434	41.05944508231049	0.0071578236718502055	402.96153629360737	0.35905650260514493	0.35565693779616114	0.3485611884258467	0.2	0.24	0.1	0.54	0.54	0.083	0.134	0.248	0.2124	0.2124	0.2124	1.062	1.062	1.062	0.25709135212112405	0.2559176723758929	0.2540018906021123	2.8249	2.8249	2.8249	5.0	10.62	76.464	344.09	1.062	0.02124	0.19116	0.001062	0.38232	0.2124	0.7434	0.6903	2.8249	1.6992	0.25	0.3186	0.001	1.6992	0.25	5.31	0.01	0.00531	2.7390856806319825	19.84939314858963	223.64209747244698	0.0012456580604231643	0.0015203217479009836	278.1643485034772	30.523591474189615	1.6816586327568612	1.4815979134842334	1.355518542557222	0.3185187080185894	0.31261685248591353	0.312613443897923	3.800804369752459E-5	2.139725757719055	0.21802565338706867	0.12726498476667608	0.009038613837040617	0.005235810155816495	0.020805672468923796	2.774451879703737E-4	3.3216909848029455E-6
6.0	1.0	1.0	4.946960489439658	0.05758300384915553	6.267105032552887E-4	24.473188120225455	1.883277424889486	1.1009418339419785	30.99497438402075	0.006934494283551872	337.33440019789623	0.2925012172776248	0.2892424835972186	0.2822553032176652	0.2	0.24	0.1	0.54	0.54	0.083	0.134	0.248	0.2124	0.2124	0.2124	1.062	1.062	1.062	0.18152688408594705	0.18064911173574863	0.17919742166018662	2.8249	2.8249	2.8249	5.0	10.62	76.464	344.09	1.062	0.02124	0.19116	0.001062	0.38232	0.2124	0.7434	0.6903	2.8249	1.6992	0.25	0.3186	0.001	1.6992	0.25	5.31	0.01	0.00531	1.9397335666336502	14.071431664747855	163.7204234514867	0.0013842526946451308	0.0014728865858264176	232.86193645660776	23.041663957081024	1.6820177499627371	1.500069781377822	1.3847527089864	0.31853560983344953	0.3131615625852789	0.313157375583551	3.682216464566044E-5	1.7912456650508288	0.16458331397915016	0.12995262891839715	0.01000020312616317	0.005846001138231906	0.026268360198924583	3.0576575043901583E-4	3.327832772285583E-6
7.0	1.0	1.0	5.995889834812205	0.06242800476394318	6.275947990111108E-4	24.300828600317594	2.0473591761065144	1.2057630903644636	22.858264753679983	0.006934077084065811	266.90587482153455	0.2384159942773695	0.23533474529040388	0.22858667778857109	0.2	0.24	0.1	0.54	0.54	0.083	0.134	0.248	0.2124	0.2124	0.2124	1.062	1.062	1.062	0.1277977321615601	0.1271590668071523	0.12609486624313962	2.8249	2.8249	2.8249	5.0	10.62	76.464	344.09	1.062	0.02124	0.19116	0.001062	0.38232	0.2124	0.7434	0.6903	2.8249	1.6992	0.25	0.3186	0.001	1.6992	0.25	5.31	0.01	0.00531	1.3716692894919573	9.96308579200153	117.3369658415105	0.001654354150139638	0.0014727979726555783	184.24512538930531	16.9928340178857	1.6818971216770051	1.5142920394085106	1.4073942777559725	0.3185468724607628	0.31357698215187885	0.3135731504421948	3.6819949316389456E-5	1.4172701953023483	0.1213773858420407	0.12903739986768642	0.010871477225125591	0.006402602009835301	0.031838175022852806	3.3149270529653826E-4	3.3325283827489983E-6
8.0	1.0	1.0	7.05947518554363	0.06688781606169221	6.28297862681392E-4	23.65104989296099	2.1976046730689145	1.3024740198059674	16.618077776249137	0.007283523121444562	203.44927031754125	0.19452768579201757	0.19162772654638757	0.1851592690437449	0.2	0.24	0.1	0.54	0.54	0.083	0.134	0.248	0.2124	0.2124	0.2124	1.062	1.062	1.062	0.08983833408584936	0.08938069247045917	0.08861482329218634	2.8249	2.8249	2.8249	5.0	10.62	76.464	344.09	1.062	0.02124	0.19116	0.001062	0.38232	0.2124	0.7434	0.6903	2.8249	1.6992	0.25	0.3186	0.001	1.6992	0.25	5.31	0.01	0.00531	0.9704629540362764	7.060558377540385	83.27484938961922	0.0021821832371607557	0.001547020310994825	140.44103130019872	12.353879018863609	1.6814267221773758	1.5256425604861397	1.4255722325909888	0.3185548755584252	0.3139069634805975	0.3139036649088129	3.8675507774870624E-5	1.080315625386144	0.08824199299188291	0.12558707493162286	0.011669280813995936	0.006916137045169687	0.03748581323523667	3.551743032875856E-4	3.3362616508381913E-6
9.0	1.0	1.0	8.13387718334602	0.07103331564444823	6.288731881197713E-4	22.667836966531848	2.3361927609370654	1.3924605140991024	11.98008233229727	0.008248938501751731	151.26391947826843	0.1590050496383371	0.15626326904606327	0.15003657691714262	0.2	0.24	0.1	0.54	0.54	0.083	0.134	0.248	0.2124	0.2124	0.2124	1.062	1.062	1.062	0.06310635338516439	0.06278123386798344	0.062235770948521583	2.8249	2.8249	2.8249	5.0	10.62	76.464	344.09	1.062	0.02124	0.19116	0.001062	0.38232	0.2124	0.7434	0.6903	2.8249	1.6992	0.25	0.3186	0.001	1.6992	0.25	5.31	0.01	0.00531	0.6879767036779841	5.0165242052432095	58.84292341187021	0.0032153043528988464	0.0017520745377720677	104.41748361584871	8.90599320582979	1.680664219305672	1.5349431022094113	1.4405636453640989	0.3185608353030022	0.31417704657699513	0.31417409633303794	4.380186344430169E-5	0.8032114124296054	0.0636142371844985	0.1203662142922841	0.012405183560575817	0.007393965329866233	0.04319088784356736	3.771869060720201E-4	3.3393166289159858E-6
