time	Cytoplasm	ER	Ca_cyt	Ca_er	IP3_cyt	Na_cyt	ATP_cyt	ADP_cyt	n	V	Vca	TV	Ca_ec	Vk	K_ec	K_cyt	Vna	Na_ec	Vnaca	pvca	Vcah	Kcah	f_CRAN	gm_CRAN	Kcar	p_CRAN	V_CRAN	pna	f_5	f5_ast	b_5	b5_ast	F1	f_1	F4	f_4	F5	B2	b_2	B3	b_3	B4	b_4	P	B6	b_6	Ksup	D	f_2	f_3	f_6	b_1	f_Ca	Kkca	Okatp	Kdd	Ktd	Ktt	n_infinity	Vn	Sn	tau_n	c	Vtau	a	b	I_Vca	gmvca	I_CaPump	Pmcap	Kcap	I_NaCa	gnaca	Knaca	I_CRAN	I_Na	gmna	I_NaK	Pnak	I_KDr	gmKDr	I_KCa	gmkca	I_KATP	gmkatp	Jerp	Pcaer	Kcarp	O_infinity	Krca	Kip3	Jout	Pleak	Pip3	Cm	fi	F	ksg	fer	kip	Kipca	kdip	kadp	katpca	katp	Calcium_cyt_Ivca	Calcium_cyt_Inaca	Calcium_cyt_Icapump	Calcium_cyt_Jerp	Calcium_cyt_Jout	Calcium_cyt_sequestration	IP3_synthesis	IP3_degradation	Na_Inaca	Na_Inak	Na_Ina	Na_Icran	ATP_production	ATP_NaKATPase	ATP_Capump	ATP_Jerp	ATP_Ca_dependent_consumption	ATP_consumption
0.0	7.64E-13	2.8E-13	0.085	22.8	0.33	9858.0	932.1	3067.9	0.00123	-60.9	138.03867502699111	26.73	2600.0	-75.01470050173072	8000.0	132400.0	70.92428912593715	140000.0	-63.30448267617082	0.012002961185474397	-19.0	9.5	-0.7	0.7	200.0	-60.9	0.0	0.004552571839055196	6.401695012806424E-4	0.002	0.09372517728503398	0.03	239.500514178	2.5E-10	0.96	1.5E-8	0.5967019921436868	0.30679	1.0E-4	0.047196800000000004	1.72E-17	0.9900000000000001	2.0E-4	4950.0	13572.096	6.0E-7	150400.0	353.2930890750527	10.0	0.172	11.5	100.0	0.34297247465311004	0.1	0.013193117750835003	17.0	26.0	1.0	0.0012293986212774202	-14.0	7.0	11.518367866627056	20.0	-75.0	65.0	20.0	-1838.646959871783	770.0	838.8969521044993	2000.0	0.1	0.0121834738269802	271.0	0.75	-5619.669445438701	-720.1674556538538	1200.0	1511.9257426868103	600.0	52.08324485138635	3000.0	629.3239888085901	130.0	4469.205737690478	24000.0	0.0029492662066284386	0.105	0.5	5.748039734783459E-4	0.077	3.2	2.2871680067090727E-15	1.0E-16	1.2E-15	6158.0	0.01	9.6485E16	1.0E-4	0.03	3.0E-4	0.4	4.0E-5	3.7E-4	5.0E-5	5.0E-5	9.528149245332348E-17	1.2627324275255428E-21	8.694584154060209E-17	2.253239381864127E-15	2.2871680067090727E-15	6.494000000000001E-18	9.902646135446253E-18	1.0084800000000002E-17	3.788197282576628E-19	4.7010180111524395E-14	7.46403540087945E-15	5.824396999988289E-14	8.67233972E-13	1.56700600371748E-14	8.694584154060209E-15	1.1266196909320634E-15	3.0265287000000005E-15	3.5606220000000005E-14
1.0	7.64E-13	2.8E-13	0.08500350928365111	22.79999637953968	0.32999976215999194	9858.023952446034	933.150849274252	3066.849150725748	0.0012307381260735356	-60.79476943452849	138.03812325513417	26.73	2600.0	-75.01470050173072	8000.0	132400.0	70.92422417887845	140000.0	-63.30357397363304	0.012135033510534046	-19.0	9.5	-0.7	0.7	200.0	-60.79476943452849	0.0	0.0044933475704051875	6.414308507588367E-4	0.002	0.09354087027310544	0.03	239.50225995921716	2.5E-10	0.96	1.5E-8	0.5985517431363144	0.30668491507257484	1.0E-4	0.047196800000000004	1.72E-17	0.9900000000000001	2.0E-4	4950.0	13572.096	6.0E-7	150400.0	354.2579528378632	10.0	0.172	11.5	100.0	0.3430096885085323	0.1	0.013183081892234277	17.0	26.0	1.0	0.00124799646953	-14.0	7.0	11.52221795381591	20.0	-75.0	65.0	20.0	-1857.8897381548168	770.0	838.9371656951157	2000.0	0.1	0.012714695276361121	271.0	0.75	-5605.478092812644	-710.2310639148222	1200.0	1529.218126451349	600.0	52.50303394362995	3000.0	634.0846363765987	130.0	4499.100378260479	24000.0	0.00294950289575563	0.105	0.5	5.748140113756337E-4	0.077	3.2	2.287167562429748E-15	1.0E-16	1.2E-15	6158.0	0.01	9.6485E16	1.0E-4	0.03	3.0E-4	0.4	4.0E-5	3.7E-4	5.0E-5	5.0E-5	9.627868260117203E-17	1.3177898405307686E-21	8.695000939991871E-17	2.253420212357301E-15	2.287167562429748E-15	6.494268109270945E-18	9.90342849609259E-18	1.0084792731609356E-17	3.953369521592306E-19	4.7547850747308356E-14	7.361051602993441E-15	5.809688648818619E-14	8.669369179271545E-13	1.584928358243612E-14	8.695000939991871E-15	1.1267101061786506E-15	3.0300659007904366E-15	3.564636244227643E-14
2.0	7.64E-13	2.8E-13	0.08500826352350106	22.799992784338457	0.32999952557768986	9858.046912285638	934.2010250676246	3065.798974932375	0.0012329045190790616	-60.698424268844036	138.0373757725974	26.73	2600.0	-75.01470050173072	8000.0	132400.0	70.92416192342027	140000.0	-63.30226577493399	0.012257212140450353	-19.0	9.5	-0.7	0.7	200.0	-60.698424268844036	0.0	0.004439796892773777	6.425878743590108E-4	0.002	0.093372443511871	0.03	239.50393340198028	2.5E-10	0.96	1.5E-8	0.6003062509222139	0.30657989749323755	1.0E-4	0.047196800000000004	1.72E-17	0.9900000000000001	2.0E-4	4950.0	13572.096	6.0E-7	150400.0	355.1687243580732	10.0	0.172	11.5	100.0	0.3430601050073312	0.1	0.01317306713177301	17.0	26.0	1.0	0.0012652702561895249	-14.0	7.0	11.525646947918268	20.0	-75.0	65.0	20.0	-1875.6790829777535	770.0	838.9916436953695	2000.0	0.1	0.013200036120218209	271.0	0.75	-5592.498506042385	-701.2530590343164	1200.0	1545.3927642283968	600.0	52.95180499173045	3000.0	638.4746196098483	130.0	4526.142429427743	24000.0	0.0029498235667368704	0.105	0.5	5.748280564796499E-4	0.077	3.2	2.287167104567574E-15	1.0E-16	1.2E-15	6158.0	0.01	9.6485E16	1.0E-4	0.03	3.0E-4	0.4	4.0E-5	3.7E-4	5.0E-5	5.0E-5	9.72005536082165E-17	1.3680920474911342E-21	8.695565566620401E-17	2.253665204986969E-15	2.287167104567574E-15	6.494631333195482E-18	9.90448845022602E-18	1.0084785501654203E-17	4.104276142473403E-19	4.8050767400996945E-14	7.268000819135786E-15	5.796236208781038E-14	8.666400542338837E-13	1.6016922466998982E-14	8.695565566620402E-15	1.1268326024934845E-15	3.0336456244537666E-15	3.5686479157583265E-14
3.0	7.64E-13	2.8E-13	0.08501416484755561	22.79998922081452	0.32999929059879085	9858.068950797493	935.2505418193806	3064.7494581806195	0.0012362730555318454	-60.610191248822325	138.0364479985763	26.73	2600.0	-75.01470050173072	8000.0	132400.0	70.92410216627276	140000.0	-63.30058949833433	0.012370168788788822	-19.0	9.5	-0.7	0.7	200.0	-60.610191248822325	0.0	0.004391312697205003	6.436493087526548E-4	0.002	0.09321846412959815	0.03	239.50553970050657	2.5E-10	0.96	1.5E-8	0.6019733647525902	0.30647494581806195	1.0E-4	0.047196800000000004	1.72E-17	0.9900000000000001	2.0E-4	4950.0	13572.096	6.0E-7	150400.0	356.02986151650435	10.0	0.172	11.5	100.0	0.3431226868018054	0.1	0.013163073271206705	17.0	26.0	1.0	0.0012812990019312794	-14.0	7.0	11.52870687086565	20.0	-75.0	65.0	20.0	-1892.1151917482919	770.0	839.0592630589085	2000.0	0.1	0.013643565577858811	271.0	0.75	-5580.623075767336	-693.1298553499145	1200.0	1560.553784104286	600.0	53.423720002589384	3000.0	642.5268091995212	130.0	4550.582657563395	24000.0	0.0029502216300891907	0.105	0.5	5.74845795339673E-4	0.077	3.2	2.287166635079298E-15	1.0E-16	1.2E-15	6158.0	0.01	9.6485E16	1.0E-4	0.03	3.0E-4	0.4	4.0E-5	3.7E-4	5.0E-5	5.0E-5	9.805229785709136E-17	1.4140607947202996E-21	8.696266394350505E-17	2.2539693253881416E-15	2.287166635079298E-15	6.4950821943532495E-18	9.90580421411187E-18	1.008477832069905E-17	4.242182384160899E-19	4.852216771843145E-14	7.183809455873083E-15	5.783928150248573E-14	8.663433768384975E-13	1.6174055906143817E-14	8.696266394350505E-15	1.1269846626940708E-15	3.037264570715144E-15	3.5726570697500344E-14
4.0	7.64E-13	2.8E-13	0.08502112218507853	22.799985694878206	0.3299990575416859	9858.090132560292	936.2994126504212	3063.7005873495787	0.0012406431229150209	-60.52937227025515	138.03535428658665	26.73	2600.0	-75.01470050173072	8000.0	132400.0	70.92404473231545	140000.0	-63.29857437622698	0.012474535576988913	-19.0	9.5	-0.7	0.7	200.0	-60.52937227025515	0.0	0.00434736524265448	6.446230913907629E-4	0.002	0.09307764614908699	0.03	239.50708356080727	2.5E-10	0.96	1.5E-8	0.6035602218500701	0.3063700587349579	1.0E-4	0.047196800000000004	1.72E-17	0.9900000000000001	2.0E-4	4950.0	13572.096	6.0E-7	150400.0	356.84541723944017	10.0	0.172	11.5	100.0	0.34319646872925763	0.1	0.013153100125857822	17.0	26.0	1.0	0.001296158769824074	-14.0	7.0	11.531442381803465	20.0	-75.0	65.0	20.0	-1907.2921142416667	770.0	839.1389784930773	2000.0	0.1	0.01404894334700733	271.0	0.75	-5569.754969761979	-685.771219326169	1200.0	1574.7941206066948	600.0	53.913368560640876	3000.0	646.2707546654626	130.0	4572.647342028314	24000.0	0.0029506909564611943	0.105	0.5	5.748669361464612E-4	0.077	3.2	2.287166155775608E-15	1.0E-16	1.2E-15	6158.0	0.01	9.6485E16	1.0E-4	0.03	3.0E-4	0.4	4.0E-5	3.7E-4	5.0E-5	5.0E-5	9.883878915073156E-17	1.456075384464666E-21	8.697092589449938E-17	2.2543278907363524E-15	2.287166155775608E-15	6.49561373494E-18	9.907355524632047E-18	1.0084771198473922E-17	4.368226153393998E-19	4.89649413050742E-14	7.10754230529273E-15	5.772664113346094E-14	8.660468820319789E-13	1.63216471016914E-14	8.697092589449938E-15	1.1271639453681762E-15	3.0409196624141654E-15	3.5766637563246095E-14
5.0	7.64E-13	2.8E-13	0.08502905084325907	22.799982211967706	0.32999882669937586	9858.11051618257	937.3476495042005	3062.6523504957995	0.001245837170681283	-60.45533584911709	138.03410798951126	26.73	2600.0	-75.01470050173072	8000.0	132400.0	70.92398946261788	140000.0	-63.29624759116885	0.012570906387417409	-19.0	9.5	-0.7	0.7	200.0	-60.45533584911709	0.0	0.004307490421491953	6.455164443530609E-4	0.002	0.0929488327135217	0.03	239.50856925386344	2.5E-10	0.96	1.5E-8	0.6050733218306507	0.30626523504958	1.0E-4	0.047196800000000004	1.72E-17	0.9900000000000001	2.0E-4	4950.0	13572.096	6.0E-7	150400.0	357.6190818483636	10.0	0.172	11.5	100.0	0.34328055329597384	0.1	0.013143147523180852	17.0	26.0	1.0	0.0013099224643541762	-14.0	7.0	11.533891944419478	20.0	-75.0	65.0	20.0	-1921.2980073871754	770.0	839.22981768245	2000.0	0.1	0.014419467999221022	271.0	0.75	-5559.806864745944	-679.0982224348485	1200.0	1588.196937672056	600.0	54.415792997187715	3000.0	649.7330779663163	130.0	4592.541059354055	24000.0	0.0029512258475049924	0.105	0.5	5.748912074138883E-4	0.077	3.2	2.2871656683314228E-15	1.0E-16	1.2E-15	6158.0	0.01	9.6485E16	1.0E-4	0.03	3.0E-4	0.4	4.0E-5	3.7E-4	5.0E-5	5.0E-5	9.956459591579911E-17	1.4944776907520363E-21	8.698034074544748E-17	2.254736547493814E-15	2.2871656683314228E-15	6.496219484424994E-18	9.90912354313337E-18	1.0084764143932927E-17	4.483433072256109E-19	4.938167397021473E-14	7.038381328028694E-15	5.762353593559562E-14	8.657505664381526E-13	1.6460557990071577E-14	8.698034074544747E-15	1.127368273746907E-15	3.0446080321945786E-15	3.580668021106046E-14
6.0	7.64E-13	2.8E-13	0.08503787210259299	22.79997877708248	0.3299985983412645	9858.130154937951	938.3952632698647	3061.6047367301353	0.001251698469293335	-60.38750973784427	138.03272152200702	26.73	2600.0	-75.01470050173072	8000.0	132400.0	70.92393621271694	140000.0	-63.29363440586327	0.012659838369714918	-19.0	9.5	-0.7	0.7	200.0	-60.38750973784427	0.0	0.00427128008552947	6.463359478355451E-4	0.002	0.09283098085589772	0.03	239.51000066191037	2.5E-10	0.96	1.5E-8	0.6065185919299139	0.3061604736730135	1.0E-4	0.047196800000000004	1.72E-17	0.9900000000000001	2.0E-4	4950.0	13572.096	6.0E-7	150400.0	358.3542201774737	10.0	0.172	11.5	100.0	0.3433741063649874	0.1	0.013133215301508246	17.0	26.0	1.0	0.0013226597063216892	-14.0	7.0	11.536088790993405	20.0	-75.0	65.0	20.0	-1934.215403914003	770.0	839.3308767119063	2000.0	0.1	0.014758118667151855	271.0	0.75	-5550.699854720949	-673.0415569088539	1200.0	1600.8368386190623	600.0	54.92649686765481	3000.0	652.9378124333617	130.0	4610.449093400485	24000.0	0.0029518210081252837	0.105	0.5	5.74918356713596E-4	0.077	3.2	2.287165174295514E-15	1.0E-16	1.2E-15	6158.0	0.01	9.6485E16	1.0E-4	0.03	3.0E-4	0.4	4.0E-5	3.7E-4	5.0E-5	5.0E-5	1.0023399512432E-16	1.5295764799867186E-21	8.699081481182633E-17	2.2551912502077166E-15	2.287165174295514E-15	6.496893428638105E-18	9.911090763802154E-18	1.0084757165309044E-17	4.588729439960156E-19	4.9774685348574253E-14	6.975608197220852E-15	5.752914810303103E-14	8.654544269788747E-13	1.6591561782858085E-14	8.699081481182632E-15	1.1275956251038583E-15	3.048327009701554E-15	3.584669905690884E-14
7.0	7.64E-13	2.8E-13	0.08504751283163733	22.799975394814485	0.32999837271483506	9858.149097320247	939.4422638902539	3060.557736109746	0.0012580890614770598	-60.32537450897041	138.03120642012024	26.73	2600.0	-75.01470050173072	8000.0	132400.0	70.9238848511114	140000.0	-63.29075828690625	0.012741853545626607	-19.0	9.5	-0.7	0.7	200.0	-60.32537450897041	0.0	0.004238374025785734	6.47087604769933E-4	0.002	0.09272314839245381	0.03	239.51138131888362	2.5E-10	0.96	1.5E-8	0.6079014443603877	0.30605577361097464	1.0E-4	0.047196800000000004	1.72E-17	0.9900000000000001	2.0E-4	4950.0	13572.096	6.0E-7	150400.0	359.0539042137294	10.0	0.172	11.5	100.0	0.3434763530538214	0.1	0.01312330330895046	17.0	26.0	1.0	0.001334436768962585	-14.0	7.0	11.538061721607315	20.0	-75.0	65.0	20.0	-1946.1214880874727	770.0	839.4413156992025	2000.0	0.1	0.015067591086167875	271.0	0.75	-5542.362507445347	-667.5401421304631	1200.0	1612.7808996742415	600.0	55.44144105588716	3000.0	655.9066957055617	130.0	4626.539529769038	24000.0	0.002952471520131765	0.105	0.5	5.749481494658574E-4	0.077	3.2	2.2871646750994807E-15	1.0E-16	1.2E-15	6158.0	0.01	9.6485E16	1.0E-4	0.03	3.0E-4	0.4	4.0E-5	3.7E-4	5.0E-5	5.0E-5	1.0085098658275756E-16	1.5616511464132118E-21	8.700226104567575E-17	2.2556882413806684E-15	2.2871646750994807E-15	6.497629980337093E-18	9.91324092665572E-18	1.008475027016536E-17	4.684953439239635E-19	5.0146061035629624E-14	6.918589854697239E-15	5.744273729020414E-14	8.65158460843503E-13	1.6715353678543208E-14	8.700226104567575E-15	1.1278441206903342E-15	3.0520741093245323E-15	3.58866944806077E-14
8.0	7.64E-13	2.8E-13	0.08505790512139604	22.799972069377358	0.32999815004721644	9858.167387530402	940.4886604569543	3059.511339543046	0.0012648878910614355	-60.268457958855734	138.02957339802757	26.73	2600.0	-75.01470050173072	8000.0	132400.0	70.92383525794142	140000.0	-63.28764102223088	0.012817440469540975	-19.0	9.5	-0.7	0.7	200.0	-60.268457958855734	0.0	0.004208453287669665	6.477768978244801E-4	0.002	0.09262448259810808	0.03	239.51271444589864	2.5E-10	0.96	1.5E-8	0.6092268269099067	0.30595113395430457	1.0E-4	0.047196800000000004	1.72E-17	0.9900000000000001	2.0E-4	4950.0	13572.096	6.0E-7	150400.0	359.7209418907488	10.0	0.172	11.5	100.0	0.34358657384422125	0.1	0.013113411402427924	17.0	26.0	1.0	0.0013453165631005103	-14.0	7.0	11.539835769112672	20.0	-75.0	65.0	20.0	-1957.0883733508965	770.0	839.560354642034	2000.0	0.1	0.015350328865459794	271.0	0.75	-5534.730045783689	-662.5399652461833	1200.0	1624.0895565940814	600.0	55.957030893412664	3000.0	658.6594238097005	130.0	4640.965082512908	24000.0	0.0029531728172963834	0.105	0.5	5.749803677884015E-4	0.077	3.2	2.287164172066131E-15	1.0E-16	1.2E-15	6158.0	0.01	9.6485E16	1.0E-4	0.03	3.0E-4	0.4	4.0E-5	3.7E-4	5.0E-5	5.0E-5	1.0141930731983709E-16	1.590954953149173E-21	8.701459860517531E-17	2.256224032414437E-15	2.287164172066131E-15	6.498423951274658E-18	9.915558935159379E-18	1.0084743465442935E-17	4.772864859447518E-19	5.0497680155280555E-14	6.86676649475238E-15	5.736363212710462E-14	8.648626654620282E-13	1.6832560051760183E-14	8.701459860517531E-15	1.1281120162072184E-15	3.055847018507846E-15	3.592666682945566E-14
9.0	7.64E-13	2.8E-13	0.0850689859392843	22.799968804633597	0.3299979305466447	9858.185065905169	941.5344612942255	3058.4655387057746	0.0012719890958245213	-60.21633020954113	138.02783240187625	26.73	2600.0	-75.01470050173072	8000.0	132400.0	70.92378732382595	140000.0	-63.284302832274655	0.01288705591156188	-19.0	9.5	-0.7	0.7	200.0	-60.21633020954113	0.0	0.0041812345708194445	6.484088398357451E-4	0.002	0.09253421038368201	0.03	239.5140029824858	2.5E-10	0.96	1.5E-8	0.610499267713162	0.30584655387057746	1.0E-4	0.047196800000000004	1.72E-17	0.9900000000000001	2.0E-4	4950.0	13572.096	6.0E-7	150400.0	360.3579025668491	10.0	0.172	11.5	100.0	0.3437041009027025	0.1	0.01310353944681626	17.0	26.0	1.0	0.0013553586611939588	-14.0	7.0	11.541432754324664	20.0	-75.0	65.0	20.0	-1967.1833779398578	770.0	839.6872694807558	2000.0	0.1	0.015608550712618859	271.0	0.75	-5527.743634775085	-657.9931116622074	1200.0	1634.8173683991631	600.0	56.47009694291608	3000.0	661.2138722932971	130.0	4653.8646929352035	24000.0	0.0029539206617983406	0.105	0.5	5.7501480940383E-4	0.077	3.2	2.2871636664172797E-15	1.0E-16	1.2E-15	6158.0	0.01	9.6485E16	1.0E-4	0.03	3.0E-4	0.4	4.0E-5	3.7E-4	5.0E-5	5.0E-5	1.0194244586929875E-16	1.6177178538237923E-21	8.702775244657262E-17	2.256795385613932E-15	2.2871636664172797E-15	6.499270525761321E-18	9.918030778415516E-18	1.0084736757505465E-17	4.853153561471377E-19	5.083123910657086E-14	6.8196415159061766E-15	5.729122283023356E-14	8.645670384813483E-13	1.6943746368856954E-14	8.702775244657262E-15	1.128397692806966E-15	3.0596435866390616E-15	3.5966616421439416E-14
