time	cytoplasm	nucleus	cLc	cLm	cLn	cP7c	cP7m	cP7n	cP9c	cP9m	cP9n	cPn	cTc	cTm	cTn	cXc	cXm	cXn	cYc	cYm	cYn	q1	n1	g1	m1	k1	p1	r1	r2	m2	k2	m3	k3	n2	g2	g3	m4	k4	p2	p3	r5	r6	m10	k8	m11	k9	q2	n4	n5	g5	g6	m12	k10	r3	r4	m5	m6	k5	m7	m8	k6	n3	g4	m9	k7	p4	r7	r8	m13	k11	m14	k12	p5	k13	q3	m15	g7	g8	n6	g9	m16	k14	p6	r9	r10	m17	k15	m18	k16	n7	g10	m19	k17	p7	r11	r12	m20	k18	m21	k19	q4	n8	ld	lmax	a	b	c	d	e	f	h	i	j	k	Day_in_hours	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	R23	R24	R25	R26	R27	R28	R29	R30	R31a	R31b	R32	R33	R34	R35	R36	R37	R38	R39	R40	R41	R42	R43	R44	R45
0.0	1.0	1.0	0.0731	0.1114	0.2366	0.0266	0.0204	1.5103	0.734	0.002	1.1162	0.0	5.2235	3.6732	4.5333	2.4188	0.652	14.7289	49.2611	0.2992	17.4355	7.9798	2.3023	16.3389	8.0568	22.3951	1.2294	31.5166	9.1138	10.4609	32.7881	12.7853	29.0823	7.5433	16.7487	11.5922	8.5185	4.0551	1.0494	8.583	27.818	4.2863	9.2511	13.4324	7.9066	14.605	2.5505	1.5293	2.6296	0.5061	7.8469	8.4753	16.1162	29.4222	33.6178	9.3024	10.899	16.9133	0.7527	13.7459	43.7049	0.6703	11.3625	2.6345	8.6873	14.6828	9.1917	25.8963	6.8544	48.5862	3.2581	23.2876	0.5	1.2	1.0	1.2	0.4444	11.0459	11.3117	14.5219	9.531	50.9418	6.7738	31.0318	0.4557	5.4062	49.4094	8.671	42.4837	0.0833	5.6855	6.1155	18.6089	10.4532	34.6266	22.838	3.4152	16.2407	0.028	26.5795	7.4548	2.0738	1.0	1.0	2.2802	3.1075	1.6808	1.0164	1.4943	1.9491	2.2116	1.1065	2.5579	3.3953	24.0	0.0	0.058959495103917715	0.039878591518005914	0.13695516	2.30386346	2.15632508	0.023270355008338104	0.1031758347004833	4.00107989232879	4.048775823919878	3.8546560800000003	153.68686169999998	152.39957274	2.571777605615987	1.2918037669316018	0.18910940233222348	0.18392106474789333	5.596116	67.28617840000001	63.13248407	1.4116635131725042	3.969997877541002	0.15120477391317938	0.1544774882122885	4.39309376	452.79325287000006	451.51493865000003	3.450839050643196	1.3949478932104875	0.0	0.0	0.0	3.019734960801111E-4	0.003815227757043456	0.13818552	0.82544588	0.68824371	0.002908910915122583	0.297672666727281	4.4237194417355035E-5	6.57195514456582E-4	0.020906400000000002	25.4159244	25.491775600000004	0.14767605907615453	0.001128463985384013
1.0	1.0	1.0	0.07730057412638143	0.13441756588918533	0.2527035912051108	0.023662285399291185	0.01721842958241909	1.3548264327117916	0.6840141502433313	0.0014818430162629858	1.040307971855313	0.0	5.20605348605234	3.6200014431843757	4.518751372621168	2.448260286098675	0.6564074081227828	14.914253846762932	48.91868504113466	0.2968558509705845	17.314416166853032	7.9798	2.3023	16.3389	8.0568	22.3951	1.2294	31.5166	9.1138	10.4609	32.7881	12.7853	29.0823	7.5433	16.7487	11.5922	8.5185	4.0551	1.0494	8.583	27.818	4.2863	9.2511	13.4324	7.9066	14.605	2.5505	1.5293	2.6296	0.5061	7.8469	8.4753	16.1162	29.4222	33.6178	9.3024	10.899	16.9133	0.7527	13.7459	43.7049	0.6703	11.3625	2.6345	8.6873	14.6828	9.1917	25.8963	6.8544	48.5862	3.2581	23.2876	0.5	1.2	1.0	1.2	0.4444	11.0459	11.3117	14.5219	9.531	50.9418	6.7738	31.0318	0.4557	5.4062	49.4094	8.671	42.4837	0.0833	5.6855	6.1155	18.6089	10.4532	34.6266	22.838	3.4152	16.2407	0.028	26.5795	7.4548	2.0738	1.0	1.0	2.2802	3.1075	1.6808	1.0164	1.4943	1.9491	2.2116	1.1065	2.5579	3.3953	24.0	0.0	0.07530803900988917	0.04806918042913033	0.16525295550416444	2.436251274511513	2.3030899895251387	0.024604403468469163	0.11013774771117985	3.959764675771715	4.017794751253728	3.798829514477684	153.17354687732916	151.9104798945039	2.565209556430441	1.2880464818592836	0.18866617998061339	0.18507699793725677	5.633944783917845	68.10570463869294	63.92696626337995	1.4262064879351148	3.9947161292407456	0.15188361396883532	0.15328908989133885	4.358675088630898	449.6458772925975	448.3793153816762	3.4388865194240883	1.3893915780290238	0.0	0.0	0.0	3.5736674077121744E-4	0.003220408426367351	0.11663419830539042	0.7342833080537242	0.6173944053867634	0.002587803413575529	0.2679766167796632	5.5319676251130645E-5	4.8694384899775604E-4	0.015490001417600244	23.68508437481574	23.75855346123164	0.13802567684000966	0.0010546280134036753
2.0	1.0	1.0	0.08738387818449624	0.16648199868167382	0.2841823977424019	0.02096127855865678	0.01465892585429852	1.2089248954414908	0.6360397520774629	0.0011244531984824584	0.9674245144072849	0.0	5.1655499284379855	3.5584737152391157	4.484128016270941	2.476265519325941	0.6591215089372313	15.09325822363115	48.57436991547913	0.2963920404003386	17.192319110935216	7.9798	2.3023	16.3389	8.0568	22.3951	1.2294	31.5166	9.1138	10.4609	32.7881	12.7853	29.0823	7.5433	16.7487	11.5922	8.5185	4.0551	1.0494	8.583	27.818	4.2863	9.2511	13.4324	7.9066	14.605	2.5505	1.5293	2.6296	0.5061	7.8469	8.4753	16.1162	29.4222	33.6178	9.3024	10.899	16.9133	0.7527	13.7459	43.7049	0.6703	11.3625	2.6345	8.6873	14.6828	9.1917	25.8963	6.8544	48.5862	3.2581	23.2876	0.5	1.2	1.0	1.2	0.4444	11.0459	11.3117	14.5219	9.531	50.9418	6.7738	31.0318	0.4557	5.4062	49.4094	8.671	42.4837	0.0833	5.6855	6.1155	18.6089	10.4532	34.6266	22.838	3.4152	16.2407	0.028	26.5795	7.4548	2.0738	1.0	1.0	2.2802	3.1075	1.6808	1.0164	1.4943	1.9491	2.2116	1.1065	2.5579	3.3953	24.0	0.0	0.09669722643953961	0.0594511575942186	0.2046729691792498	2.7540427351894943	2.5899815365447023	0.027805340133922236	0.12372463138912583	3.917073787582689	3.9814231104889726	3.7342623167719284	151.9818431044881	150.74651882539325	2.5499212528063326	1.2790956330981949	0.18760818699418305	0.18578828417215115	5.657239911208256	68.88475421660904	64.6942327239502	1.4399812428017436	4.018294762350915	0.1535257631612795	0.15305391456886033	4.351865050790092	446.48103595210955	445.21745339251163	3.4267827107055346	1.3837551093378142	0.0	0.0	0.0	4.8253164737687776E-4	0.0027418353877496572	0.09929663195184732	0.6504662039765254	0.5509070748526874	0.002292535624111761	0.23991664024440035	8.24111790625494E-5	3.6951018267671347E-4	0.011754134174376835	22.02389407928548	22.094041060033575	0.12870986892048042	9.833361393660036E-4
3.0	1.0	1.0	0.10321370565183056	0.20961120538402286	0.3343391983714648	0.01856215119793451	0.012702797126573821	1.074750486046336	0.5905262202601752	9.035382368167747E-4	0.8982457028030905	0.0	5.105423610330464	3.4926331736141574	4.432360956805213	2.5012217792202245	0.6600277731806395	15.255377164899073	48.248154648532726	0.29777234740628417	17.076370735204005	7.9798	2.3023	16.3389	8.0568	22.3951	1.2294	31.5166	9.1138	10.4609	32.7881	12.7853	29.0823	7.5433	16.7487	11.5922	8.5185	4.0551	1.0494	8.583	27.818	4.2863	9.2511	13.4324	7.9066	14.605	2.5505	1.5293	2.6296	0.5061	7.8469	8.4753	16.1162	29.4222	33.6178	9.3024	10.899	16.9133	0.7527	13.7459	43.7049	0.6703	11.3625	2.6345	8.6873	14.6828	9.1917	25.8963	6.8544	48.5862	3.2581	23.2876	0.5	1.2	1.0	1.2	0.4444	11.0459	11.3117	14.5219	9.531	50.9418	6.7738	31.0318	0.4557	5.4062	49.4094	8.671	42.4837	0.0833	5.6855	6.1155	18.6089	10.4532	34.6266	22.838	3.4152	16.2407	0.028	26.5795	7.4548	2.0738	1.0	1.0	2.2802	3.1075	1.6808	1.0164	1.4943	1.9491	2.2116	1.1065	2.5579	3.3953	24.0	0.0	0.12410174005482098	0.07470989318084081	0.2576960158991177	3.2529450755464833	3.047100586117856	0.03282654694536279	0.1453132332389397	3.875159772643303	3.94184518782952	3.6651692523906974	150.212794547865	149.0062241736863	2.5271225032719595	1.2656887671863992	0.18601788399638322	0.18602569746548156	5.665018377209429	69.57898745434821	65.3891231419069	1.452215517750078	4.03940527696274	0.15602168875983366	0.15375376067154603	4.372131822496989	443.4825630829183	442.2148194700635	3.4152357644479205	1.3783709203773649	0.0	0.0	0.0	7.312716322685607E-4	0.0023760482934238837	0.08604620717598574	0.5760169635440642	0.4897637964913153	0.0020302415361431497	0.2139461197659708	1.4310293829763405E-4	2.969181311290999E-4	0.00944486589709311	20.447915218460984	20.51413536061698	0.11982282936729344	9.153181614866176E-4
4.0	1.0	1.0	0.125807196089424	0.2659280913978111	0.40646331768574234	0.016502827813690835	0.01140264520769373	0.9541532112753268	0.5478518609486485	8.252694906881852E-4	0.8333457472308788	0.0	5.030103624965807	3.426319101614598	4.367277001974824	2.5217158827891724	0.6591229509498707	15.391348175865762	47.958445630981785	0.3008710283779336	16.973120451102762	7.9798	2.3023	16.3389	8.0568	22.3951	1.2294	31.5166	9.1138	10.4609	32.7881	12.7853	29.0823	7.5433	16.7487	11.5922	8.5185	4.0551	1.0494	8.583	27.818	4.2863	9.2511	13.4324	7.9066	14.605	2.5505	1.5293	2.6296	0.5061	7.8469	8.4753	16.1162	29.4222	33.6178	9.3024	10.899	16.9133	0.7527	13.7459	43.7049	0.6703	11.3625	2.6345	8.6873	14.6828	9.1917	25.8963	6.8544	48.5862	3.2581	23.2876	0.5	1.2	1.0	1.2	0.4444	11.0459	11.3117	14.5219	9.531	50.9418	6.7738	31.0318	0.4557	5.4062	49.4094	8.671	42.4837	0.0833	5.6855	6.1155	18.6089	10.4532	34.6266	22.838	3.4152	16.2407	0.028	26.5795	7.4548	2.0738	1.0	1.0	2.2802	3.1075	1.6808	1.0164	1.4943	1.9491	2.2116	1.1065	2.5579	3.3953	24.0	0.0	0.1580857432037866	0.09454687749084054	0.32693199556446895	3.9650150762719405	3.7044253847243183	0.03998481522510397	0.1762283280455777	3.835897592471811	3.901278470124064	3.5955792652343597	147.99671487446895	146.81824479698926	2.4983863189814404	1.24879205988486	0.1840039876662129	0.18578866197157912	5.6572522880027405	70.1490924274292	65.97193568621341	1.4622336940925171	4.056934956676202	0.15921804812378285	0.15532443164823462	4.417629135467524	440.8196447062953	439.5410191378925	3.4049155971785052	1.3735502773454022	0.0	0.0	0.0	0.0012051957002974284	0.0021329103144167227	0.07723923810787578	0.5121124521488912	0.43480761837816645	0.0018050775529014622	0.190466652546742	2.777528512576988E-4	2.711988219717401E-4	0.008626707040061738	18.970247248324473	19.03195017525881	0.11144640055965499	8.511951344862352E-4
5.0	1.0	1.0	0.15630396609274047	0.3369893956006554	0.5043238619947965	0.014850838324461525	0.010932182433444569	0.8492593361564302	0.5084890565030395	9.48665140071442E-4	0.7734275771985739	0.0	4.944575564404225	3.362869665840315	4.293198325935347	2.536626483212218	0.6565085919708306	15.493642097253748	47.721105297277674	0.3054723989166447	16.888228309726312	7.9798	2.3023	16.3389	8.0568	22.3951	1.2294	31.5166	9.1138	10.4609	32.7881	12.7853	29.0823	7.5433	16.7487	11.5922	8.5185	4.0551	1.0494	8.583	27.818	4.2863	9.2511	13.4324	7.9066	14.605	2.5505	1.5293	2.6296	0.5061	7.8469	8.4753	16.1162	29.4222	33.6178	9.3024	10.899	16.9133	0.7527	13.7459	43.7049	0.6703	11.3625	2.6345	8.6873	14.6828	9.1917	25.8963	6.8544	48.5862	3.2581	23.2876	0.5	1.2	1.0	1.2	0.4444	11.0459	11.3117	14.5219	9.531	50.9418	6.7738	31.0318	0.4557	5.4062	49.4094	8.671	42.4837	0.0833	5.6855	6.1155	18.6089	10.4532	34.6266	22.838	3.4152	16.2407	0.028	26.5795	7.4548	2.0738	1.0	1.0	2.2802	3.1075	1.6808	1.0164	1.4943	1.9491	2.2116	1.1065	2.5579	3.3953	24.0	0.0	0.19800451999492277	0.11943715842507664	0.41429476295144574	4.926169577758464	4.596306813448176	0.0496314991942916	0.21793401987459265	3.8006974821715365	3.8617851701899086	3.528995427332827	145.480291171014	144.3278826816293	2.4655154119462357	1.2295044371911514	0.18169189592726917	0.18510352267204838	5.634813244885639	70.56387550999747	66.41039812145874	1.469506314834802	4.070018514799503	0.16291371213398967	0.1576556978879347	4.48519013881331	438.63808356098724	437.3426267771655	3.396414665948568	1.3695681948789704	0.0	0.0	0.0	0.002092514348716686	0.0020449272553255252	0.07405241736766681	0.4608482447170252	0.38700747948648523	0.0016244374125636359	0.16993825985173475	5.776935705450762E-4	3.1174684805333085E-4	0.009916586442194798	17.607247163908152	17.663539008061033	0.10368214364951187	7.917241070609388E-4
6.0	1.0	1.0	0.19561907137704607	0.4223526529959046	0.6311191632972798	0.013733398432547457	0.011665851168040857	0.7633690317048746	0.4733016540466898	0.001435506694143745	0.7197616731990399	0.0	4.853894572569895	3.3048469818659725	4.214519742096721	2.5451776783241926	0.652377079899776	15.55683854604374	47.54857395970852	0.3112697593263253	16.82615357988613	7.9798	2.3023	16.3389	8.0568	22.3951	1.2294	31.5166	9.1138	10.4609	32.7881	12.7853	29.0823	7.5433	16.7487	11.5922	8.5185	4.0551	1.0494	8.583	27.818	4.2863	9.2511	13.4324	7.9066	14.605	2.5505	1.5293	2.6296	0.5061	7.8469	8.4753	16.1162	29.4222	33.6178	9.3024	10.899	16.9133	0.7527	13.7459	43.7049	0.6703	11.3625	2.6345	8.6873	14.6828	9.1917	25.8963	6.8544	48.5862	3.2581	23.2876	0.5	1.2	1.0	1.2	0.4444	11.0459	11.3117	14.5219	9.531	50.9418	6.7738	31.0318	0.4557	5.4062	49.4094	8.671	42.4837	0.0833	5.6855	6.1155	18.6089	10.4532	34.6266	22.838	3.4152	16.2407	0.028	26.5795	7.4548	2.0738	1.0	1.0	2.2802	3.1075	1.6808	1.0164	1.4943	1.9491	2.2116	1.1065	2.5579	3.3953	24.0	0.0	0.240534534183253	0.14913193450674783	0.5192403515931651	6.1652480249618105	5.751893830458748	0.0620412616096996	0.27156241407827575	3.770388799029751	3.825073615936266	3.468106422770152	142.81225689306598	141.68288178585917	2.430381957126662	1.208953848662619	0.17921276445924086	0.18402000436340601	5.599352476779778	70.8017526556224	66.68127705990729	1.4736710216022262	4.078057093912907	0.16686227343162535	0.16059104840054145	4.570311622236569	437.05222726545287	435.73512095080525	3.390208682302853	1.3666457532938412	0.0	0.0	0.0	0.0037132175699988996	0.0021821327681097987	0.07902214264207515	0.42617207347912617	0.3478672677479113	0.0015022418349621021	0.153054831740398	0.0012367254420595356	4.7171858803288745E-4	0.015005638575223395	16.38882705401311	16.437917092519676	0.09671052105639211	7.382370662924771E-4
7.0	1.0	1.0	0.2437160394474726	0.5170144848946502	0.7872316498460975	0.01337752271194265	0.014277250440513211	0.7022470057945056	0.44410009812528717	0.0026392884697683068	0.6750063006313761	0.0	4.762721719640044	3.253896925016785	4.135304349092201	2.5469675838278634	0.6469907035677203	15.577849213559334	47.44905550855028	0.3178723662738533	16.789864845445678	7.9798	2.3023	16.3389	8.0568	22.3951	1.2294	31.5166	9.1138	10.4609	32.7881	12.7853	29.0823	7.5433	16.7487	11.5922	8.5185	4.0551	1.0494	8.583	27.818	4.2863	9.2511	13.4324	7.9066	14.605	2.5505	1.5293	2.6296	0.5061	7.8469	8.4753	16.1162	29.4222	33.6178	9.3024	10.899	16.9133	0.7527	13.7459	43.7049	0.6703	11.3625	2.6345	8.6873	14.6828	9.1917	25.8963	6.8544	48.5862	3.2581	23.2876	0.5	1.2	1.0	1.2	0.4444	11.0459	11.3117	14.5219	9.531	50.9418	6.7738	31.0318	0.4557	5.4062	49.4094	8.671	42.4837	0.0833	5.6855	6.1155	18.6089	10.4532	34.6266	22.838	3.4152	16.2407	0.028	26.5795	7.4548	2.0738	1.0	1.0	2.2802	3.1075	1.6808	1.0164	1.4943	1.9491	2.2116	1.1065	2.5579	3.3953	24.0	0.0	0.27762635246908307	0.18180261383755789	0.635617607729483	7.681100928850215	7.174671810367363	0.07718283227332699	0.3369652035648564	3.745278323846695	3.792356357530117	3.4146394331126144	140.12975097959333	139.0198345469118	2.3947615800423203	1.1881947584796453	0.1766919508187722	0.1826059486124288	5.553121208721743	70.85154424692351	66.77133508407937	1.4745421989413676	4.080722191614579	0.17079044558647383	0.16393159320690168	4.667256379525734	436.13748351794163	434.7953769971149	3.3866188448767183	1.3649331080172582	0.0	0.0	0.0	0.00653398127269297	0.0026704660423473837	0.09671123903394838	0.4151286092924619	0.3200139605405562	0.0014633245420508675	0.14099919555838702	0.002617663807068165	8.672344821509468E-4	0.027589010232182066	15.37767645774507	15.415793893819368	0.09090253681180735	6.934697774085415E-4
8.0	1.0	1.0	0.29836937308255956	0.6080666405542131	0.966303976739212	0.014141816744937717	0.019776872785303573	0.6756695225678819	0.42455379886637645	0.005203755024868799	0.6445682588598646	0.0	4.674988685292083	3.210903746476522	4.058987300152303	2.5419688102611127	0.6406558440708089	15.555965477339926	47.425927421059754	0.3248358363686129	16.78062629646791	7.9798	2.3023	16.3389	8.0568	22.3951	1.2294	31.5166	9.1138	10.4609	32.7881	12.7853	29.0823	7.5433	16.7487	11.5922	8.5185	4.0551	1.0494	8.583	27.818	4.2863	9.2511	13.4324	7.9066	14.605	2.5505	1.5293	2.6296	0.5061	7.8469	8.4753	16.1162	29.4222	33.6178	9.3024	10.899	16.9133	0.7527	13.7459	43.7049	0.6703	11.3625	2.6345	8.6873	14.6828	9.1917	25.8963	6.8544	48.5862	3.2581	23.2876	0.5	1.2	1.0	1.2	0.4444	11.0459	11.3117	14.5219	9.531	50.9418	6.7738	31.0318	0.4557	5.4062	49.4094	8.671	42.4837	0.0833	5.6855	6.1155	18.6089	10.4532	34.6266	22.838	3.4152	16.2407	0.028	26.5795	7.4548	2.0738	1.0	1.0	2.2802	3.1075	1.6808	1.0164	1.4943	1.9491	2.2116	1.1065	2.5579	3.3953	24.0	0.0	0.2954810888237374	0.21297377818322633	0.7475571278973496	9.403588183693797	8.80670118320583	0.09433500261646546	0.41115009014620185	3.725593080210228	3.7643916131510387	3.3695223915524624	137.54845209640072	136.45422325906011	2.3602010526990984	1.1681300807563382	0.17423953118798804	0.18094080304607987	5.4987491096597525	70.71248836384363	66.67753482552212	1.4721087224116864	4.077946269178366	0.17444716795433365	0.16745180725687095	4.76949961823307	435.924897076155	434.556132761222	3.3857835009664443	1.3644965996745813	0.0	0.0	0.0	0.011032827466640896	0.0036987351271971403	0.13396458087308932	0.43884602886555824	0.3079026014341838	0.001546904306655325	0.13574643223466448	0.005243292386754079	0.0017096479246815407	0.054395892025958535	14.700854571826472	14.720649895841587	0.08700354350361457	6.629395385167188E-4
9.0	1.0	1.0	0.35371800854154184	0.6734418006081576	1.150386646274217	0.016480527556709007	0.02927327679389269	0.6982672482793433	0.421178651087195	0.010001739410930494	0.6381207054159184	0.0	4.593857821503245	3.1766453471932294	3.9883312690999615	2.530502128897895	0.6336973594706585	15.492730176498638	47.47771994791263	0.33173502609345557	16.797979746714425	7.9798	2.3023	16.3389	8.0568	22.3951	1.2294	31.5166	9.1138	10.4609	32.7881	12.7853	29.0823	7.5433	16.7487	11.5922	8.5185	4.0551	1.0494	8.583	27.818	4.2863	9.2511	13.4324	7.9066	14.605	2.5505	1.5293	2.6296	0.5061	7.8469	8.4753	16.1162	29.4222	33.6178	9.3024	10.899	16.9133	0.7527	13.7459	43.7049	0.6703	11.3625	2.6345	8.6873	14.6828	9.1917	25.8963	6.8544	48.5862	3.2581	23.2876	0.5	1.2	1.0	1.2	0.4444	11.0459	11.3117	14.5219	9.531	50.9418	6.7738	31.0318	0.4557	5.4062	49.4094	8.671	42.4837	0.0833	5.6855	6.1155	18.6089	10.4532	34.6266	22.838	3.4152	16.2407	0.028	26.5795	7.4548	2.0738	1.0	1.0	2.2802	3.1075	1.6808	1.0164	1.4943	1.9491	2.2116	1.1065	2.5579	3.3953	24.0	0.0	0.2790786367828617	0.23520281195219564	0.827929349667669	11.147988988000357	10.484393816813958	0.1116477289990118	0.48649458649492267	3.7124350558683954	3.7418703357092205	3.3335716273445755	135.16140359583278	134.07892293834868	2.327990374744194	1.1494965078501747	0.1719478846659614	0.17910912632425202	5.439024436336663	70.39350822168164	66.4064893555261	1.4665208153013698	4.069902271539147	0.17768926823491124	0.1709365863975957	4.8707990411249895	436.4009584452286	435.00552291484075	3.3876535934347287	1.3653163596132376	0.0	0.0	0.0	0.01722497993501364	0.005473763513031929	0.1982913223464703	0.5114204350342826	0.3182003850408967	0.0018026391664869874	0.1402130494661853	0.009459725996015725	0.003285136697299129	0.10455018241033864	14.583984679735867	14.573400670288745	0.08632936053097058	6.564636911150121E-4
