time	cytoplasm	nucleus	cLc	cLm	cLn	cP7c	cP7m	cP7n	cP9c	cP9m	cP9n	cPn	cTc	cTm	cTn	cXc	cXm	cXn	cYc	cYm	cYn	q1	n1	g1	m1	k1	p1	r1	r2	m2	k2	m3	k3	n2	g2	g3	m4	k4	p2	p3	r5	r6	m10	k8	m11	k9	n4	n5	g5	g6	m12	k10	r3	r4	m5	m6	k5	m7	m8	k6	n3	g4	m9	k7	p4	r7	r8	m13	k11	m14	k12	p5	k13	q3	m15	g7	g8	n6	g9	m16	k14	p6	r9	r10	m17	k15	m18	k16	n7	g10	m19	k17	p7	r11	r12	m20	k18	m21	k19	q4	n8	a	b	c	d	e	f	h	i	j	k	ld	lmax	Day_in_hours	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	R23	R24	R25	R26	R27	R28	R29	R30	R31a	R31b	R32	R33	R34	R35	R36	R37	R38	R39	R40	R41	R42	R43	R44	R45
0.0	1.0	1.0	0.0659	0.1951	0.3952	0.0861	0.0772	2.7182	0.0077	0.0011	0.0073	0.0	0.7852	0.1234	4.5209	2.5615	1.6104	14.5474	7.6795	1.1149	9.7016	13.4334	3.2016	9.041	6.8248	13.0594	0.6926	25.6818	3.9781	9.4099	30.5639	13.7795	33.514	11.6086	16.6598	13.4112	12.1232	1.3722	0.5403	6.9124	29.4607	4.5034	8.5523	12.528	23.5996	15.0626	1.7832	7.4615	1.5987	16.489	5.9504	11.5688	51.1965	8.9147	7.2129	9.5754	34.2078	1.1032	2.2006	56.7596	2.4751	20.5277	4.2193	14.9114	6.0042	35.7842	27.9229	7.5959	26.9638	8.1796	21.8348	0.5	1.2	1.0	1.2	0.2778	0.9187	11.0924	20.3795	9.3186	51.261	9.8416	24.5689	0.5024	3.6143	32.939	6.7455	24.451	0.1031	5.8418	1.9234	9.8065	1.5323	25.7542	27.2451	3.7484	25.9739	0.0193	21.6441	6.274	3.5262	1.2497	4.2126	1.4509	1.3058	2.4146	2.1349	1.4176	2.0074	1.7615	3.8877	1.0	1.0	24.0	0.0	0.0782498740052738	0.10045784299671809	0.13512626	1.6924306199999999	1.57214512	0.020245395333955824	0.1605953074681797	1.0729093970663215	1.000269376838727	0.06667302	40.199491800000004	40.30246723	0.2148602314748664	0.16234679123048934	0.301397000938822	0.41126031788303935	11.13172896	75.46358305	65.51276116	1.4517854435203288	11.594489059101655	0.6945749551585985	0.523041459511026	6.69408258	274.8047639	270.89680663999997	1.6838093960448342	2.5163052016083	0.0	0.0	0.0	0.010672253075901854	0.014012877740162298	0.75977152	2.11538229	1.36562368	0.009422870180559635	0.6748677951503907	1.0286134924266643E-4	2.157245401525348E-4	0.0016855300000000002	0.19830734000000003	0.19888923	0.0011108892446962467	6.507200458168986E-6
1.0	1.0	1.0	0.059588260897067084	0.1750186884404511	0.35729462362180403	0.08565630819595667	0.07330657626894732	2.7692289761672684	0.00794960035970538	9.809663045046266E-4	0.007508032020479709	0.0	0.7451942545757118	0.22684327566103946	4.284955926585529	2.29379873766939	1.5036069488314943	12.933818672707945	8.913768635866917	1.2936925415937228	11.26168573875015	13.4334	3.2016	9.041	6.8248	13.0594	0.6926	25.6818	3.9781	9.4099	30.5639	13.7795	33.514	11.6086	16.6598	13.4112	12.1232	1.3722	0.5403	6.9124	29.4607	4.5034	8.5523	12.528	23.5996	15.0626	1.7832	7.4615	1.5987	16.489	5.9504	11.5688	51.1965	8.9147	7.2129	9.5754	34.2078	1.1032	2.2006	56.7596	2.4751	20.5277	4.2193	14.9114	6.0042	35.7842	27.9229	7.5959	26.9638	8.1796	21.8348	0.5	1.2	1.0	1.2	0.2778	0.9187	11.0924	20.3795	9.3186	51.261	9.8416	24.5689	0.5024	3.6143	32.939	6.7455	24.451	0.1031	5.8418	1.9234	9.8065	1.5323	25.7542	27.2451	3.7484	25.9739	0.0193	21.6441	6.274	3.5262	1.2497	4.2126	1.4509	1.3058	2.4146	2.1349	1.4176	2.0074	1.7615	3.8877	1.0	1.0	24.0	0.0	0.07222377533390609	0.09025462870626069	0.12121794361385643	1.5303337987062975	1.4213537422298985	0.018310114492452866	0.14535438697885245	1.8611727754736715	1.719819870639239	0.12256342183965963	38.15133765438543	38.19909659873202	0.20414654645303112	0.15446871336707493	0.2833554313002169	0.38648590396462396	10.39353267310282	67.57691647085659	58.24615901067296	1.3235407720328136	10.902571172290404	0.7824738842715356	0.5984833868401584	7.76758875823703	318.97207961958895	314.4589247145466	1.8871985409148804	2.7832587845068106	0.0	0.0	0.0	0.008936906875334721	0.013307176178661109	0.7214540010084719	2.10448127043564	1.3912606376264356	0.009374438050875754	0.6862482338077125	6.950436144223979E-5	1.9238279396785292E-4	0.0015031346683924394	0.2047355975839243	0.20455708320117172	0.0011468884027373903	6.692575340406999E-6
2.0	0.9999999999999999	1.0	0.053846448882346076	0.15887039332081695	0.322765762094706	0.08390300441186627	0.0685988950367153	2.772966713610365	0.008073622319686457	8.580831881127383E-4	0.007628948377494518	0.0	0.7198345796025227	0.4235224856907885	4.128697532312137	2.0440548259962994	1.4055758455591152	11.428302228672326	10.40988349659084	1.476122382694008	13.156969312907435	13.4334	3.2016	9.041	6.8248	13.0594	0.6926	25.6818	3.9781	9.4099	30.5639	13.7795	33.514	11.6086	16.6598	13.4112	12.1232	1.3722	0.5403	6.9124	29.4607	4.5034	8.5523	12.528	23.5996	15.0626	1.7832	7.4615	1.5987	16.489	5.9504	11.5688	51.1965	8.9147	7.2129	9.5754	34.2078	1.1032	2.2006	56.7596	2.4751	20.5277	4.2193	14.9114	6.0042	35.7842	27.9229	7.5959	26.9638	8.1796	21.8348	0.5	1.2	1.0	1.2	0.2778	0.9187	11.0924	20.3795	9.3186	51.261	9.8416	24.5689	0.5024	3.6143	32.939	6.7455	24.451	0.1031	5.8418	1.9234	9.8065	1.5323	25.7542	27.2451	3.7484	25.9739	0.0193	21.6441	6.274	3.5262	1.2497	4.2126	1.4509	1.3058	2.4146	2.1349	1.4176	2.0074	1.7615	3.8877	1.0	1.0	24.0	0.0	0.06767674320441332	0.0820272719556249	0.1100336344139978	1.3828737309066352	1.2839944781889499	0.01654888938948948	0.13144136913245782	3.120903942843998	2.8592657492682783	0.22882919901873297	36.85301105462055	36.80609989130301	0.19734242288343462	0.14921770123043016	0.2714096696093728	0.3634586593312664	9.715902474842826	60.21928601222917	51.466216256602955	1.19965030993307	10.180980585246472	0.849204099904326	0.6733285464109042	8.862934010171362	372.50935301870584	367.380738427383	2.1157249340693753	3.0755445724820856	0.0	0.0	0.0	0.00747297802941353	0.012453743591418298	0.6751228853933372	2.0614045250947006	1.3931384769178472	0.009183039686283603	0.6870801438831948	4.681828484959949E-5	1.6828560658402382E-4	0.0013148408691451487	0.20792968394566894	0.2078514614396759	0.0011647754840731302	6.800320844432045E-6
3.0	0.9999999999999999	1.0	0.0488199980819424	0.14616514002670355	0.29232672507857743	0.08108589949332645	0.06346046440570195	2.7333760541414507	0.008097194576087674	7.403182662597516E-4	0.007654518105317566	0.0	0.7179174490747509	0.767972368012198	4.100010086555253	1.823822329646567	1.3217147752031804	10.098997605763625	12.124525381518001	1.6317291735723545	15.335596499104081	13.4334	3.2016	9.041	6.8248	13.0594	0.6926	25.6818	3.9781	9.4099	30.5639	13.7795	33.514	11.6086	16.6598	13.4112	12.1232	1.3722	0.5403	6.9124	29.4607	4.5034	8.5523	12.528	23.5996	15.0626	1.7832	7.4615	1.5987	16.489	5.9504	11.5688	51.1965	8.9147	7.2129	9.5754	34.2078	1.1032	2.2006	56.7596	2.4751	20.5277	4.2193	14.9114	6.0042	35.7842	27.9229	7.5959	26.9638	8.1796	21.8348	0.5	1.2	1.0	1.2	0.2778	0.9187	11.0924	20.3795	9.3186	51.261	9.8416	24.5689	0.5024	3.6143	32.939	6.7455	24.451	0.1031	5.8418	1.9234	9.8065	1.5323	25.7542	27.2451	3.7484	25.9739	0.0193	21.6441	6.274	3.5262	1.2497	4.2126	1.4509	1.3058	2.4146	2.1349	1.4176	2.0074	1.7615	3.8877	1.0	1.0	24.0	0.0	0.06441797252960875	0.07553995887920245	0.10123397598249487	1.2537854267408282	1.1629049450350888	0.01500654956436583	0.11915272963483715	4.783325714256962	4.3502489570655065	0.41493547043699053	36.75486068155548	36.55035991861411	0.19682764575685138	0.14825073942540232	0.26921732878643384	0.34353919307793335	9.136221212114462	53.731082507018606	45.479825817795906	1.0868219625054716	9.472065630776394	0.8623141888819083	0.7355342461469936	9.797228303963129	433.8664411573164	428.21432748483335	2.3561173687174213	3.3747029071130625	0.0	0.0	0.0	0.006277152695988011	0.011522043841475807	0.6245525064951563	1.9921913560615878	1.3732481296006647	0.008875469537867761	0.6782568095912648	3.185462977688277E-5	1.451915224991377E-4	0.0011343896793898172	0.20853676855147715	0.20854811123118763	0.0011681751761309217	6.8231052272966855E-6
4.0	0.9999999999999999	1.0	0.044545278187223654	0.13654566233821494	0.26626543381277773	0.07745361361953391	0.05819781696819905	2.6566711680098067	0.008033573058311197	6.325765389326329E-4	0.00759716964883358	0.0	0.7510432667725382	1.2890766176115658	4.264236814347214	1.6439444047760257	1.2601388260718702	9.005900696037893	13.924492525373292	1.7113905768527637	17.632753411138278	13.4334	3.2016	9.041	6.8248	13.0594	0.6926	25.6818	3.9781	9.4099	30.5639	13.7795	33.514	11.6086	16.6598	13.4112	12.1232	1.3722	0.5403	6.9124	29.4607	4.5034	8.5523	12.528	23.5996	15.0626	1.7832	7.4615	1.5987	16.489	5.9504	11.5688	51.1965	8.9147	7.2129	9.5754	34.2078	1.1032	2.2006	56.7596	2.4751	20.5277	4.2193	14.9114	6.0042	35.7842	27.9229	7.5959	26.9638	8.1796	21.8348	0.5	1.2	1.0	1.2	0.2778	0.9187	11.0924	20.3795	9.3186	51.261	9.8416	24.5689	0.5024	3.6143	32.939	6.7455	24.451	0.1031	5.8418	1.9234	9.8065	1.5323	25.7542	27.2451	3.7484	25.9739	0.0193	21.6441	6.274	3.5262	1.2497	4.2126	1.4509	1.3058	2.4146	2.1349	1.4176	2.0074	1.7615	3.8877	1.0	1.0	24.0	0.0	0.06248961665903667	0.07061993586299178	0.09457152573544765	1.1440029253486403	1.059230522250611	0.013694475802489399	0.10861384592764729	6.472981094021642	5.872269551841651	0.6964880964955289	38.450786607320246	38.01439192886111	0.20571446377029098	0.15377400084168832	0.28177118602001927	0.32878155913481105	8.710583621339195	48.431752925785055	40.55717319453704	0.9920661083194674	8.830448425115364	0.7910004485597294	0.7668156890951813	10.275531301539363	498.27682542646284	492.357610223873	2.5867808666220986	3.6543656075991606	0.0	0.0	0.0	0.00532555131642795	0.010567627715734598	0.5727596354742276	1.9029500876569665	1.3347115948081267	0.008478820862504864	0.661088710009088	2.2157103377976804E-5	1.2406253361901782E-4	9.692970306064733E-4	0.2068982472583582	0.20698564679943576	0.001158999393447726	6.772003740567105E-6
5.0	1.0	1.0	0.041032562787876994	0.129943354942083	0.24465971370664447	0.07324892867165389	0.053041000954672325	2.550244309243504	0.007897589696589321	5.36965195016857E-4	0.007470902495799876	0.0	0.828907779911905	1.9379808387281363	4.679719021610903	1.515417683128412	1.2315187807617094	8.206298017940782	15.568169515202767	1.6699491129977904	19.744227328391347	13.4334	3.2016	9.041	6.8248	13.0594	0.6926	25.6818	3.9781	9.4099	30.5639	13.7795	33.514	11.6086	16.6598	13.4112	12.1232	1.3722	0.5403	6.9124	29.4607	4.5034	8.5523	12.528	23.5996	15.0626	1.7832	7.4615	1.5987	16.489	5.9504	11.5688	51.1965	8.9147	7.2129	9.5754	34.2078	1.1032	2.2006	56.7596	2.4751	20.5277	4.2193	14.9114	6.0042	35.7842	27.9229	7.5959	26.9638	8.1796	21.8348	0.5	1.2	1.0	1.2	0.2778	0.9187	11.0924	20.3795	9.3186	51.261	9.8416	24.5689	0.5024	3.6143	32.939	6.7455	24.451	0.1031	5.8418	1.9234	9.8065	1.5323	25.7542	27.2451	3.7484	25.9739	0.0193	21.6441	6.274	3.5262	1.2497	4.2126	1.4509	1.3058	2.4146	2.1349	1.4176	2.0074	1.7615	3.8877	1.0	1.0	24.0	0.0	0.06222166524583687	0.06723893562725605	0.0899987676328867	1.0537900710056993	0.9732808070964023	0.012616015793712692	0.09986440675107434	7.773359819958159	7.097657333155307	1.047091047164812	42.43717715425984	41.71829116195472	0.22653736776944433	0.1676156220959192	0.3135358222266348	0.32188399522026817	8.51275042013724	44.645265737341205	36.956242493994516	0.9228741139693845	8.322927478339345	0.6430250085123234	0.7505894338783147	10.026708464261333	557.0944915659188	551.3160852679387	2.780361694237073	3.8841669041409523	0.0	0.0	0.0	0.004588325569857811	0.009632214923143822	0.5220083149955032	1.7996456036409971	1.2812427409639362	0.008019556724838117	0.6371066751954448	1.5945263628521076E-5	1.0531201827430709E-4	8.2279176832433E-4	0.2033961045639007	0.2035454855883172	0.0011393871080896643	6.659489919612107E-6
6.0	0.9999999999999999	1.0	0.038306687015443125	0.12670276789785556	0.22762020018799578	0.06869664234623858	0.04815631970716898	2.421837591307408	0.007703873150075963	4.5388727475985873E-4	0.007289570528823391	0.0	0.953218323145527	2.5948500018405762	5.362438977548652	1.4491048199421	1.2467159955372535	7.75604418034352	16.77108535420379	1.5053205547003368	21.305715252984395	13.4334	3.2016	9.041	6.8248	13.0594	0.6926	25.6818	3.9781	9.4099	30.5639	13.7795	33.514	11.6086	16.6598	13.4112	12.1232	1.3722	0.5403	6.9124	29.4607	4.5034	8.5523	12.528	23.5996	15.0626	1.7832	7.4615	1.5987	16.489	5.9504	11.5688	51.1965	8.9147	7.2129	9.5754	34.2078	1.1032	2.2006	56.7596	2.4751	20.5277	4.2193	14.9114	6.0042	35.7842	27.9229	7.5959	26.9638	8.1796	21.8348	0.5	1.2	1.0	1.2	0.2778	0.9187	11.0924	20.3795	9.3186	51.261	9.8416	24.5689	0.5024	3.6143	32.939	6.7455	24.451	0.1031	5.8418	1.9234	9.8065	1.5323	25.7542	27.2451	3.7484	25.9739	0.0193	21.6441	6.274	3.5262	1.2497	4.2126	1.4509	1.3058	2.4146	2.1349	1.4176	2.0074	1.7615	3.8877	1.0	1.0	24.0	0.0	0.06425081956792013	0.06557821257502147	0.08775433704605475	0.9837846745932071	0.905495918367866	0.011778957571042182	0.09295619267485598	8.545416694545542	7.929793052197045	1.401997455994463	48.80144188091997	47.804534753152964	0.25958994269057706	0.18995807942264065	0.36554315281403	0.3255496371868588	8.61779964755171	42.691642368868216	34.92856936175901	0.8866771274340459	8.021490619329136	0.47204096335737633	0.6851137245685424	9.03824567453176	600.1398725318992	594.9173564375579	2.9128117339343094	4.039641795220684	0.0	0.0	0.0	0.004040635962893383	0.008745992197319878	0.47393523603007415	1.6878009361405009	1.2167312058728417	0.007522193296986179	0.6079188852556646	1.20433224285595E-5	8.901915868146401E-5	6.954914711145314E-4	0.19840708988168634	0.19860507801484617	0.0011114478635242003	6.497906785520705E-6
7.0	0.9999999999999999	1.0	0.036440686732188976	0.1276277251477665	0.2154993697809903	0.06399932193367533	0.04366491089437212	2.278983968504655	0.007465907791930679	3.828397410409794E-4	0.007065968211763664	0.0	1.1154873898647861	3.1286348703661866	6.270226451337777	1.4539427436416357	1.3128920980996408	7.703230438910647	17.331357816276856	1.264700808818498	22.05278850211726	13.4334	3.2016	9.041	6.8248	13.0594	0.6926	25.6818	3.9781	9.4099	30.5639	13.7795	33.514	11.6086	16.6598	13.4112	12.1232	1.3722	0.5403	6.9124	29.4607	4.5034	8.5523	12.528	23.5996	15.0626	1.7832	7.4615	1.5987	16.489	5.9504	11.5688	51.1965	8.9147	7.2129	9.5754	34.2078	1.1032	2.2006	56.7596	2.4751	20.5277	4.2193	14.9114	6.0042	35.7842	27.9229	7.5959	26.9638	8.1796	21.8348	0.5	1.2	1.0	1.2	0.2778	0.9187	11.0924	20.3795	9.3186	51.261	9.8416	24.5689	0.5024	3.6143	32.939	6.7455	24.451	0.1031	5.8418	1.9234	9.8065	1.5323	25.7542	27.2451	3.7484	25.9739	0.0193	21.6441	6.274	3.5262	1.2497	4.2126	1.4509	1.3058	2.4146	2.1349	1.4176	2.0074	1.7615	3.8877	1.0	1.0	24.0	0.0	0.06942946402763307	0.06605231419415374	0.08839496243734306	0.9358624285187307	0.8572780429257575	0.01120586275792355	0.08803787845595992	8.860752652549474	8.42711793541927	1.6904014204588502	57.109050155212515	55.89718774574088	0.3023851612400042	0.21891636239022283	0.4338459455503572	0.3414315765530785	9.075235338903957	42.83417098760313	34.69072795859021	0.8893295269787198	7.9853514482564405	0.3288629440854997	0.5863930508830828	7.593516596308024	620.1887743692141	615.77780806577	2.9720463212410495	4.11011392943625	0.0	0.0	0.0	0.0036694635082830714	0.007930971566951859	0.42973258705805256	1.5723929406562756	1.1449615457767386	0.007008840227171506	0.5751176797435299	9.735453578592963E-6	7.508542418129507E-5	5.866253351970926E-4	0.19227848245494109	0.1925130105263222	0.001077126155206492	6.298653231297649E-6
8.0	0.9999999999999999	1.0	0.03557383441262451	0.13388121035527734	0.20902164190757022	0.05933906421901019	0.03966303753854192	2.128706518458177	0.00719564722725185	3.22928753269735E-4	0.006811449973050536	0.0	1.2986174565356996	3.4284383864267944	7.310242840490837	1.5348288956028584	1.4302619340932248	8.079061064072317	17.202913364937235	1.0085826531965476	21.919061192146994	13.4334	3.2016	9.041	6.8248	13.0594	0.6926	25.6818	3.9781	9.4099	30.5639	13.7795	33.514	11.6086	16.6598	13.4112	12.1232	1.3722	0.5403	6.9124	29.4607	4.5034	8.5523	12.528	23.5996	15.0626	1.7832	7.4615	1.5987	16.489	5.9504	11.5688	51.1965	8.9147	7.2129	9.5754	34.2078	1.1032	2.2006	56.7596	2.4751	20.5277	4.2193	14.9114	6.0042	35.7842	27.9229	7.5959	26.9638	8.1796	21.8348	0.5	1.2	1.0	1.2	0.2778	0.9187	11.0924	20.3795	9.3186	51.261	9.8416	24.5689	0.5024	3.6143	32.939	6.7455	24.451	0.1031	5.8418	1.9234	9.8065	1.5323	25.7542	27.2451	3.7484	25.9739	0.0193	21.6441	6.274	3.5262	1.2497	4.2126	1.4509	1.3058	2.4146	2.1349	1.4176	2.0074	1.7615	3.8877	0.0	1.0	24.0	0.0	0.07860471620961987	0.06925589395574565	0.09272612629206507	0.91360010061814	0.8315089936725051	0.010939607205366216	0.08540793720234503	8.808031183714608	8.657941069638849	1.8523852601863966	66.48466861352993	65.16862185012366	0.35021222877621105	0.25108412447388634	0.5102636025797076	0.3692833815102662	9.886542593226006	45.217133644687124	36.38324359594327	0.933405167716194	8.238933625369134	0.22956132184325234	0.4771636822272765	6.0557319663227105	615.5924924335868	612.0437537622013	2.9585993539755533	4.097676137425435	0.0	0.0	0.0	0.003477457666615036	0.007204662858571714	0.39034775023931406	1.4578955348904392	1.069462154873388	0.006499393178225846	0.5402313155823578	8.646211022183822E-6	6.333561527025253E-5	4.948237286352149E-4	0.18531813782008957	0.18557863566075916	0.0010381457515441367	6.071845279291416E-6
9.0	0.9999999999999999	1.0	0.03590456542517946	0.14669850923223665	0.20927933034183266	0.054883544184200425	0.0362416656001266	1.9774389566142307	0.006903374098732513	2.72976107604648E-4	0.0065357942816695385	0.3402009723677084	1.4167950245063787	3.392747278279542	8.018138631171873	1.6866924646718926	1.580056459325491	8.874406074182405	16.434452245041363	0.7557403719951619	20.964627016506988	13.4334	3.2016	9.041	6.8248	13.0594	0.6926	25.6818	3.9781	9.4099	30.5639	13.7795	33.514	11.6086	16.6598	13.4112	12.1232	1.3722	0.5403	6.9124	29.4607	4.5034	8.5523	12.528	23.5996	15.0626	1.7832	7.4615	1.5987	16.489	5.9504	11.5688	51.1965	8.9147	7.2129	9.5754	34.2078	1.1032	2.2006	56.7596	2.4751	20.5277	4.2193	14.9114	6.0042	35.7842	27.9229	7.5959	26.9638	8.1796	21.8348	0.5	1.2	1.0	1.2	0.2778	0.9187	11.0924	20.3795	9.3186	51.261	9.8416	24.5689	0.5024	3.6143	32.939	6.7455	24.451	0.1031	5.8418	1.9234	9.8065	1.5323	25.7542	27.2451	3.7484	25.9739	0.0193	21.6441	6.274	3.5262	1.2497	4.2126	1.4509	1.3058	2.4146	2.1349	1.4176	2.0074	1.7615	3.8877	0.0	1.0	24.0	0.0	0.09222224352382932	0.07581254865759553	0.10160338749424709	0.9220938683363737	0.8325341040328444	0.01104119372632018	0.08551257735633896	8.39342164982261	8.63198507809923	1.8331013544544361	72.5349464721408	71.4793004553079	0.6676729909086176	0.4089418212095189	0.5608871891072836	0.40425369555896196	10.921982269441523	49.69114069395922	39.965000314473045	1.014802114183227	8.749316140006387	0.1489595642136937	0.3648783138183692	4.53761634153335	588.093726027009	585.393183719223	2.876485788027861	4.0066485721428675	0.5	0.2650570764240411	0.0	0.0034850105971984627	0.006583620758069248	0.35667597617020586	1.3484283087072015	0.9934653318029895	0.006012192941134427	0.5047144291699831	8.440926855294189E-6	5.353873763020197E-5	4.18281289682602E-4	0.17779087721357686	0.17806836878351476	9.959895042154986E-4	5.826195167420357E-6
