time	extracellular	cytosol	intravesicular	EC	Z	A	Y	GP	v0	v1	beta	Vm2	K2	Vm3	m	Ka	Ky	Kz	Kf	K	V4	Vm5	n	K5	Kd	epsilon	Vpm1	gamma	Ka5	K1	Ka6	Vpm2	alpha	G	Ka1	Kp2	Ka2	p	vin	R2	R3	Rkf	Rkz	R4	R5	R6	R7	R8
0.0	1.0	1.0	1.0	1000.0	0.0	0.45	0.36	1.0	2.0	2.0	0.5	6.0	0.1	20.0	2.0	0.2	0.2	0.5	1.0	10.0	2.0	30.0	4.0	1.0	0.4	0.1	1.5	9.0	0.5	0.1	0.5	0.6	9.0	10000.0	10000.0	0.2	10000.0	2.0	3.0	0.0	0.0	0.36	0.0	1.0	0.0	0.045000000000000005	0.0	2.9999999999999996
1.0	1.0	1.0	1.0	1000.0	0.46538423502357484	0.5828387667225918	1.2096997983679034	0.32553318244566376	2.0	2.0	0.5	6.0	0.1	20.0	2.0	0.2	0.2	0.5	1.0	10.0	2.0	30.0	4.0	1.0	0.4	0.1	1.5	9.0	0.5	0.1	0.5	0.6	9.0	10000.0	10000.0	0.2	10000.0	2.0	3.0	5.73519577349507	8.913186126874544	1.2096997983679034	4.653842350235749	1.0	4.921201281806875	0.058283876672259184	6.718960255497548	2.524502310011658
2.0	1.0	1.0	1.0	1000.0	0.20946599221492557	0.742915464793134	1.46909442396694	0.1340432372283104	2.0	2.0	0.5	6.0	0.1	20.0	2.0	0.2	0.2	0.5	1.0	10.0	2.0	30.0	4.0	1.0	0.4	0.1	1.5	9.0	0.5	0.1	0.5	0.6	9.0	10000.0	10000.0	0.2	10000.0	2.0	3.0	4.886331615374888	2.9163685233763443	1.46909442396694	2.0946599221492557	1.0	0.7461994182974655	0.0742915464793134	1.7116440767971521	1.8900041209988763
3.0	1.0	1.0	1.0	1000.0	0.15789508962932705	0.617678820916607	1.2780631867127517	0.26605005640302454	2.0	2.0	0.5	6.0	0.1	20.0	2.0	0.2	0.2	0.5	1.0	10.0	2.0	30.0	4.0	1.0	0.4	0.1	1.5	9.0	0.5	0.1	0.5	0.6	9.0	10000.0	10000.0	0.2	10000.0	2.0	3.0	4.282321100812544	1.751012287074014	1.2780631867127517	1.5789508962932706	1.0	0.1963827931993447	0.0617678820916607	1.4388242241378812	2.3984839525972728
4.0	1.0	1.0	1.0	1000.0	0.1366145892601258	0.4484691260256064	0.9858713348883003	0.5164550269141399	2.0	2.0	0.5	6.0	0.1	20.0	2.0	0.2	0.2	0.5	1.0	10.0	2.0	30.0	4.0	1.0	0.4	0.1	1.5	9.0	0.5	0.1	0.5	0.6	9.0	10000.0	10000.0	0.2	10000.0	2.0	3.0	3.9067488718006387	1.2836691905130475	0.9858713348883003	1.366145892601258	1.0	0.06743374103602262	0.04484691260256064	1.3061908772317867	2.764681143648193
5.0	1.0	1.0	1.0	1000.0	0.24519911995962626	0.27515299939064014	0.6119806926016592	0.8362989948141527	2.0	2.0	0.5	6.0	0.1	20.0	2.0	0.2	0.2	0.5	1.0	10.0	2.0	30.0	4.0	1.0	0.4	0.1	1.5	9.0	0.5	0.1	0.5	0.6	9.0	10000.0	10000.0	0.2	10000.0	2.0	3.0	5.144355845507773	2.738707626186604	0.6119806926016592	2.4519911995962627	1.0	0.2612454083075018	0.027515299939064014	1.4187852835530255	2.947548484161833
6.0	1.0	1.0	1.0	1000.0	0.6324710365705011	0.23506577796877462	0.4709863479833849	0.9902413301868324	2.0	2.0	0.5	6.0	0.1	20.0	2.0	0.2	0.2	0.5	1.0	10.0	2.0	30.0	4.0	1.0	0.4	0.1	1.5	9.0	0.5	0.1	0.5	0.6	9.0	10000.0	10000.0	0.2	10000.0	2.0	3.0	5.853665536405405	6.842101109455894	0.4709863479833849	6.324710365705011	1.0	1.3542229077948216	0.023506577796877464	2.8899962479779457	2.997314722105198
7.0	1.0	1.0	1.0	1000.0	0.4050471488231576	0.5490492461873214	1.313842670414419	0.2562476197003938	2.0	2.0	0.5	6.0	0.1	20.0	2.0	0.2	0.2	0.5	1.0	10.0	2.0	30.0	4.0	1.0	0.4	0.1	1.5	9.0	0.5	0.1	0.5	0.6	9.0	10000.0	10000.0	0.2	10000.0	2.0	3.0	5.6552976017200765	7.611070728533055	1.313842670414419	4.050471488231576	1.0	3.5615521182131378	0.05490492461873214	5.085878494437281	2.373678021266411
8.0	1.0	1.0	1.0	1000.0	0.2054590186620559	0.722852026444342	1.4644177366675708	0.14603309656399238	2.0	2.0	0.5	6.0	0.1	20.0	2.0	0.2	0.2	0.5	1.0	10.0	2.0	30.0	4.0	1.0	0.4	0.1	1.5	9.0	0.5	0.1	0.5	0.6	9.0	10000.0	10000.0	0.2	10000.0	2.0	3.0	4.850869883875559	2.8197893484845875	1.4644177366675708	2.054590186620559	1.0	0.6700305175956363	0.07228520264443421	1.6826578837830672	1.9587170400703868
9.0	1.0	1.0	1.0	1000.0	0.1563770756889716	0.6088845850315956	1.26621541360961	0.27726947979337946	2.0	2.0	0.5	6.0	0.1	20.0	2.0	0.2	0.2	0.5	1.0	10.0	2.0	30.0	4.0	1.0	0.4	0.1	1.5	9.0	0.5	0.1	0.5	0.6	9.0	10000.0	10000.0	0.2	10000.0	2.0	3.0	4.258537004303697	1.7186149320498305	1.26621541360961	1.5637707568897161	1.0	0.1852082813621275	0.06088845850315956	1.4317199387911153	2.425293675542659
10.0	1.0	1.0	1.0	1000.0	0.13679340964380843	0.44001685305678906	0.9704836254394084	0.5303938975643758	2.0	2.0	0.5	6.0	0.1	20.0	2.0	0.2	0.2	0.5	1.0	10.0	2.0	30.0	4.0	1.0	0.4	0.1	1.5	9.0	0.5	0.1	0.5	0.6	9.0	10000.0	10000.0	0.2	10000.0	2.0	3.0	3.9103132150350066	1.281318701623571	0.9704836254394084	1.3679340964380842	1.0	0.06566234782343121	0.04400168530567891	1.2999395118297403	2.7765177751957846
11.0	1.0	1.0	1.0	1000.0	0.25714616054854433	0.2686603804849055	0.5955020839293034	0.8503840702738116	2.0	2.0	0.5	6.0	0.1	20.0	2.0	0.2	0.2	0.5	1.0	10.0	2.0	30.0	4.0	1.0	0.4	0.1	1.5	9.0	0.5	0.1	0.5	0.6	9.0	10000.0	10000.0	0.2	10000.0	2.0	3.0	5.211813837433641	2.8760871403063866	0.5955020839293034	2.5714616054854433	1.0	0.29461853560870055	0.02686603804849055	1.4665611298283885	2.9527719578623355
